date,camicie,isPartial
2018-01-07,64,False
2018-01-14,42,False
2018-01-21,73,False
2018-01-28,21,False
2018-02-04,51,False
2018-02-11,20,False
2018-02-18,20,False
2018-02-25,20,False
2018-03-04,50,False
2018-03-11,41,False
2018-03-18,32,False
2018-03-25,52,False
2018-04-01,67,False
2018-04-08,69,False
2018-04-15,61,False
2018-04-22,73,False
2018-04-29,23,False
2018-05-06,89,False
2018-05-13,22,False
2018-05-20,44,False
2018-05-27,43,False
2018-06-03,56,False
2018-06-10,22,False
2018-06-17,56,False
2018-06-24,65,False
2018-07-01,40,False
2018-07-08,20,False
2018-07-15,49,False
2018-07-22,39,False
2018-07-29,37,False
2018-08-05,70,False
2018-08-12,35,False
2018-08-19,0,False
2018-08-26,38,False
2018-09-02,100,False
2018-09-09,32,False
2018-09-16,42,False
2018-09-23,32,False
2018-09-30,42,False
2018-10-07,56,False
2018-10-14,23,False
2018-10-21,0,False
2018-10-28,22,False
2018-11-04,68,False
2018-11-11,48,False
2018-11-18,23,False
2018-11-25,23,False
2018-12-02,34,False
2018-12-09,22,False
2018-12-16,68,False
2018-12-23,43,False
2018-12-30,52,False
2019-01-06,47,False
2019-01-13,20,False
2019-01-20,19,False
2019-01-27,19,False
2019-02-03,29,False
2019-02-10,19,False
2019-02-17,20,False
2019-02-24,50,False
2019-03-03,60,False
2019-03-10,40,False
2019-03-17,42,False
2019-03-24,44,False
2019-03-31,33,False
2019-04-07,55,False
2019-04-14,76,False
2019-04-21,45,False
2019-04-28,54,False
2019-05-05,53,False
2019-05-12,32,False
2019-05-19,62,False
2019-05-26,49,False
2019-06-02,42,False
2019-06-09,0,False
2019-06-16,88,False
2019-06-23,21,False
2019-06-30,20,False
2019-07-07,74,False
2019-07-14,27,False
2019-07-21,43,False
2019-07-28,50,False
2019-08-04,16,False
2019-08-11,29,False
2019-08-18,50,False
2019-08-25,54,False
2019-09-01,41,False
2019-09-08,28,False
2019-09-15,37,False
2019-09-22,56,False
2019-09-29,19,False
2019-10-06,57,False
2019-10-13,67,False
2019-10-20,40,False
2019-10-27,39,False
2019-11-03,57,False
2019-11-10,59,False
2019-11-17,39,False
2019-11-24,39,False
2019-12-01,40,False
2019-12-08,20,False
2019-12-15,48,False
2019-12-22,38,False
2019-12-29,23,False
2020-01-05,16,False
2020-01-12,17,False
2020-01-19,26,False
2020-01-26,0,False
2020-02-02,33,False
2020-02-09,67,False
2020-02-16,42,False
2020-02-23,38,False
2020-03-01,32,False
2020-03-08,16,False
2020-03-15,34,False
2020-03-22,62,False
2020-03-29,80,False
2020-04-05,35,False
2020-04-12,70,False
2020-04-19,42,False
2020-04-26,0,True
