date,camicie,isPartial
2018-01-07,63,False
2018-01-14,71,False
2018-01-21,14,False
2018-01-28,55,False
2018-02-04,13,False
2018-02-11,27,False
2018-02-18,14,False
2018-02-25,13,False
2018-03-04,40,False
2018-03-11,53,False
2018-03-18,49,False
2018-03-25,34,False
2018-04-01,35,False
2018-04-08,40,False
2018-04-15,28,False
2018-04-22,35,False
2018-04-29,52,False
2018-05-06,80,False
2018-05-13,54,False
2018-05-20,54,False
2018-05-27,27,False
2018-06-03,67,False
2018-06-10,57,False
2018-06-17,33,False
2018-06-24,53,False
2018-07-01,19,False
2018-07-08,19,False
2018-07-15,50,False
2018-07-22,44,False
2018-07-29,26,False
2018-08-05,19,False
2018-08-12,36,False
2018-08-19,44,False
2018-08-26,32,False
2018-09-02,47,False
2018-09-09,54,False
2018-09-16,27,False
2018-09-23,61,False
2018-09-30,41,False
2018-10-07,62,False
2018-10-14,72,False
2018-10-21,21,False
2018-10-28,26,False
2018-11-04,13,False
2018-11-11,64,False
2018-11-18,42,False
2018-11-25,35,False
2018-12-02,100,False
2018-12-09,29,False
2018-12-16,22,False
2018-12-23,33,False
2018-12-30,37,False
2019-01-06,57,False
2019-01-13,47,False
2019-01-20,26,False
2019-01-27,24,False
2019-02-03,26,False
2019-02-10,26,False
2019-02-17,34,False
2019-02-24,13,False
2019-03-03,32,False
2019-03-10,52,False
2019-03-17,46,False
2019-03-24,72,False
2019-03-31,33,False
2019-04-07,26,False
2019-04-14,78,False
2019-04-21,29,False
2019-04-28,44,False
2019-05-05,37,False
2019-05-12,63,False
2019-05-19,49,False
2019-05-26,59,False
2019-06-02,59,False
2019-06-09,61,False
2019-06-16,50,False
2019-06-23,57,False
2019-06-30,37,False
2019-07-07,53,False
2019-07-14,41,False
2019-07-21,42,False
2019-07-28,30,False
2019-08-04,12,False
2019-08-11,29,False
2019-08-18,22,False
2019-08-25,34,False
2019-09-01,23,False
2019-09-08,55,False
2019-09-15,59,False
2019-09-22,12,False
2019-09-29,42,False
2019-10-06,24,False
2019-10-13,47,False
2019-10-20,44,False
2019-10-27,46,False
2019-11-03,57,False
2019-11-10,12,False
2019-11-17,22,False
2019-11-24,29,False
2019-12-01,47,False
2019-12-08,18,False
2019-12-15,43,False
2019-12-22,51,False
2019-12-29,33,False
2020-01-05,37,False
2020-01-12,34,False
2020-01-19,66,False
2020-01-26,23,False
2020-02-02,34,False
2020-02-09,72,False
2020-02-16,35,False
2020-02-23,32,False
2020-03-01,33,False
2020-03-08,31,False
2020-03-15,37,False
2020-03-22,15,False
2020-03-29,25,False
2020-04-05,31,False
2020-04-12,47,False
2020-04-19,40,False
2020-04-26,43,True
