date,Wandmalerei,isPartial
2018-01-07,24,False
2018-01-14,71,False
2018-01-21,24,False
2018-01-28,24,False
2018-02-04,25,False
2018-02-11,25,False
2018-02-18,0,False
2018-02-25,25,False
2018-03-04,25,False
2018-03-11,100,False
2018-03-18,0,False
2018-03-25,27,False
2018-04-01,27,False
2018-04-08,26,False
2018-04-15,52,False
2018-04-22,25,False
2018-04-29,0,False
2018-05-06,26,False
2018-05-13,24,False
2018-05-20,0,False
2018-05-27,0,False
2018-06-03,25,False
2018-06-10,24,False
2018-06-17,36,False
2018-06-24,0,False
2018-07-01,0,False
2018-07-08,71,False
2018-07-15,71,False
2018-07-22,0,False
2018-07-29,25,False
2018-08-05,0,False
2018-08-12,27,False
2018-08-19,27,False
2018-08-26,40,False
2018-09-02,26,False
2018-09-09,25,False
2018-09-16,38,False
2018-09-23,38,False
2018-09-30,50,False
2018-10-07,57,False
2018-10-14,25,False
2018-10-21,73,False
2018-10-28,41,False
2018-11-04,0,False
2018-11-11,48,False
2018-11-18,0,False
2018-11-25,24,False
2018-12-02,39,False
2018-12-09,71,False
2018-12-16,25,False
2018-12-23,43,False
2018-12-30,25,False
2019-01-06,23,False
2019-01-13,22,False
2019-01-20,0,False
2019-01-27,23,False
2019-02-03,22,False
2019-02-10,23,False
2019-02-17,23,False
2019-02-24,23,False
2019-03-03,71,False
2019-03-10,46,False
2019-03-17,24,False
2019-03-24,24,False
2019-03-31,25,False
2019-04-07,24,False
2019-04-14,52,False
2019-04-21,25,False
2019-04-28,0,False
2019-05-05,45,False
2019-05-12,23,False
2019-05-19,23,False
2019-05-26,0,False
2019-06-02,24,False
2019-06-09,25,False
2019-06-16,0,False
2019-06-23,48,False
2019-06-30,23,False
2019-07-07,22,False
2019-07-14,23,False
2019-07-21,0,False
2019-07-28,24,False
2019-08-04,0,False
2019-08-11,25,False
2019-08-18,51,False
2019-08-25,25,False
2019-09-01,0,False
2019-09-08,23,False
2019-09-15,0,False
2019-09-22,23,False
2019-09-29,23,False
2019-10-06,22,False
2019-10-13,33,False
2019-10-20,37,False
2019-10-27,0,False
2019-11-03,22,False
2019-11-10,22,False
2019-11-17,51,False
2019-11-24,22,False
2019-12-01,22,False
2019-12-08,37,False
2019-12-15,23,False
2019-12-22,26,False
2019-12-29,24,False
2020-01-05,32,False
2020-01-12,21,False
2020-01-19,21,False
2020-01-26,62,False
2020-02-02,21,False
2020-02-09,30,False
2020-02-16,0,False
2020-02-23,21,False
2020-03-01,31,False
2020-03-08,20,False
2020-03-15,0,False
2020-03-22,38,False
2020-03-29,56,False
2020-04-05,35,False
2020-04-12,30,False
2020-04-19,19,False
2020-04-26,76,False
2020-05-03,48,False
2020-05-10,19,False
2020-05-17,94,True
