date,Wandmalerei,isPartial
2018-01-07,34,False
2018-01-14,34,False
2018-01-21,21,False
2018-01-28,36,False
2018-02-04,27,False
2018-02-11,21,False
2018-02-18,27,False
2018-02-25,26,False
2018-03-04,29,False
2018-03-11,29,False
2018-03-18,35,False
2018-03-25,48,False
2018-04-01,20,False
2018-04-08,35,False
2018-04-15,22,False
2018-04-22,19,False
2018-04-29,25,False
2018-05-06,36,False
2018-05-13,40,False
2018-05-20,34,False
2018-05-27,20,False
2018-06-03,35,False
2018-06-10,39,False
2018-06-17,29,False
2018-06-24,22,False
2018-07-01,29,False
2018-07-08,50,False
2018-07-15,39,False
2018-07-22,36,False
2018-07-29,19,False
2018-08-05,16,False
2018-08-12,22,False
2018-08-19,27,False
2018-08-26,22,False
2018-09-02,30,False
2018-09-09,27,False
2018-09-16,24,False
2018-09-23,30,False
2018-09-30,38,False
2018-10-07,78,False
2018-10-14,27,False
2018-10-21,21,False
2018-10-28,39,False
2018-11-04,23,False
2018-11-11,39,False
2018-11-18,28,False
2018-11-25,41,False
2018-12-02,28,False
2018-12-09,13,False
2018-12-16,24,False
2018-12-23,36,False
2018-12-30,22,False
2019-01-06,32,False
2019-01-13,34,False
2019-01-20,31,False
2019-01-27,51,False
2019-02-03,30,False
2019-02-10,30,False
2019-02-17,20,False
2019-02-24,23,False
2019-03-03,40,False
2019-03-10,42,False
2019-03-17,28,False
2019-03-24,26,False
2019-03-31,15,False
2019-04-07,20,False
2019-04-14,31,False
2019-04-21,13,False
2019-04-28,25,False
2019-05-05,27,False
2019-05-12,25,False
2019-05-19,28,False
2019-05-26,15,False
2019-06-02,35,False
2019-06-09,23,False
2019-06-16,39,False
2019-06-23,31,False
2019-06-30,25,False
2019-07-07,40,False
2019-07-14,11,False
2019-07-21,19,False
2019-07-28,37,False
2019-08-04,19,False
2019-08-11,41,False
2019-08-18,37,False
2019-08-25,33,False
2019-09-01,10,False
2019-09-08,18,False
2019-09-15,33,False
2019-09-22,25,False
2019-09-29,50,False
2019-10-06,20,False
2019-10-13,41,False
2019-10-20,36,False
2019-10-27,36,False
2019-11-03,30,False
2019-11-10,12,False
2019-11-17,100,False
2019-11-24,34,False
2019-12-01,24,False
2019-12-08,16,False
2019-12-15,43,False
2019-12-22,22,False
2019-12-29,36,False
2020-01-05,25,False
2020-01-12,22,False
2020-01-19,27,False
2020-01-26,25,False
2020-02-02,29,False
2020-02-09,33,False
2020-02-16,18,False
2020-02-23,20,False
2020-03-01,24,False
2020-03-08,29,False
2020-03-15,26,False
2020-03-22,47,False
2020-03-29,42,False
2020-04-05,31,False
2020-04-12,38,False
2020-04-19,27,False
2020-04-26,28,False
2020-05-03,30,False
2020-05-10,27,False
2020-05-17,34,True
