date,Umzug,isPartial
2018-01-07,15,False
2018-01-14,18,False
2018-01-21,24,False
2018-01-28,29,False
2018-02-04,53,False
2018-02-11,75,False
2018-02-18,8,False
2018-02-25,7,False
2018-03-04,6,False
2018-03-11,6,False
2018-03-18,6,False
2018-03-25,6,False
2018-04-01,5,False
2018-04-08,5,False
2018-04-15,5,False
2018-04-22,6,False
2018-04-29,5,False
2018-05-06,5,False
2018-05-13,5,False
2018-05-20,5,False
2018-05-27,7,False
2018-06-03,6,False
2018-06-10,7,False
2018-06-17,6,False
2018-06-24,7,False
2018-07-01,5,False
2018-07-08,6,False
2018-07-15,8,False
2018-07-22,8,False
2018-07-29,7,False
2018-08-05,5,False
2018-08-12,7,False
2018-08-19,7,False
2018-08-26,7,False
2018-09-02,7,False
2018-09-09,7,False
2018-09-16,7,False
2018-09-23,10,False
2018-09-30,8,False
2018-10-07,6,False
2018-10-14,6,False
2018-10-21,7,False
2018-10-28,7,False
2018-11-04,9,False
2018-11-11,8,False
2018-11-18,5,False
2018-11-25,5,False
2018-12-02,5,False
2018-12-09,6,False
2018-12-16,4,False
2018-12-23,5,False
2018-12-30,7,False
2019-01-06,12,False
2019-01-13,16,False
2019-01-20,18,False
2019-01-27,20,False
2019-02-03,19,False
2019-02-10,24,False
2019-02-17,31,False
2019-02-24,58,False
2019-03-03,88,False
2019-03-10,9,False
2019-03-17,7,False
2019-03-24,7,False
2019-03-31,5,False
2019-04-07,5,False
2019-04-14,5,False
2019-04-21,5,False
2019-04-28,5,False
2019-05-05,5,False
2019-05-12,6,False
2019-05-19,5,False
2019-05-26,6,False
2019-06-02,5,False
2019-06-09,5,False
2019-06-16,6,False
2019-06-23,5,False
2019-06-30,7,False
2019-07-07,8,False
2019-07-14,7,False
2019-07-21,8,False
2019-07-28,6,False
2019-08-04,5,False
2019-08-11,6,False
2019-08-18,7,False
2019-08-25,7,False
2019-09-01,7,False
2019-09-08,7,False
2019-09-15,6,False
2019-09-22,8,False
2019-09-29,8,False
2019-10-06,7,False
2019-10-13,5,False
2019-10-20,6,False
2019-10-27,6,False
2019-11-03,8,False
2019-11-10,9,False
2019-11-17,6,False
2019-11-24,6,False
2019-12-01,5,False
2019-12-08,6,False
2019-12-15,6,False
2019-12-22,4,False
2019-12-29,6,False
2020-01-05,14,False
2020-01-12,17,False
2020-01-19,22,False
2020-01-26,24,False
2020-02-02,24,False
2020-02-09,36,False
2020-02-16,72,False
2020-02-23,100,False
2020-03-01,8,False
2020-03-08,5,False
2020-03-15,6,False
2020-03-22,6,False
2020-03-29,6,False
2020-04-05,5,False
2020-04-12,5,False
2020-04-19,5,False
2020-04-26,6,False
2020-05-03,5,False
2020-05-10,5,False
2020-05-17,6,True
