date,Umzug,isPartial
2018-01-07,18,False
2018-01-14,19,False
2018-01-21,23,False
2018-01-28,27,False
2018-02-04,50,False
2018-02-11,65,False
2018-02-18,16,False
2018-02-25,14,False
2018-03-04,13,False
2018-03-11,13,False
2018-03-18,14,False
2018-03-25,14,False
2018-04-01,13,False
2018-04-08,13,False
2018-04-15,13,False
2018-04-22,14,False
2018-04-29,13,False
2018-05-06,13,False
2018-05-13,16,False
2018-05-20,18,False
2018-05-27,16,False
2018-06-03,15,False
2018-06-10,15,False
2018-06-17,13,False
2018-06-24,15,False
2018-07-01,15,False
2018-07-08,15,False
2018-07-15,15,False
2018-07-22,16,False
2018-07-29,16,False
2018-08-05,15,False
2018-08-12,16,False
2018-08-19,16,False
2018-08-26,18,False
2018-09-02,17,False
2018-09-09,15,False
2018-09-16,18,False
2018-09-23,18,False
2018-09-30,15,False
2018-10-07,16,False
2018-10-14,14,False
2018-10-21,15,False
2018-10-28,15,False
2018-11-04,19,False
2018-11-11,17,False
2018-11-18,12,False
2018-11-25,13,False
2018-12-02,13,False
2018-12-09,12,False
2018-12-16,12,False
2018-12-23,11,False
2018-12-30,13,False
2019-01-06,18,False
2019-01-13,17,False
2019-01-20,19,False
2019-01-27,20,False
2019-02-03,19,False
2019-02-10,22,False
2019-02-17,27,False
2019-02-24,55,False
2019-03-03,83,False
2019-03-10,15,False
2019-03-17,14,False
2019-03-24,15,False
2019-03-31,14,False
2019-04-07,13,False
2019-04-14,12,False
2019-04-21,14,False
2019-04-28,14,False
2019-05-05,14,False
2019-05-12,14,False
2019-05-19,13,False
2019-05-26,14,False
2019-06-02,16,False
2019-06-09,16,False
2019-06-16,15,False
2019-06-23,15,False
2019-06-30,16,False
2019-07-07,15,False
2019-07-14,16,False
2019-07-21,15,False
2019-07-28,16,False
2019-08-04,14,False
2019-08-11,15,False
2019-08-18,16,False
2019-08-25,17,False
2019-09-01,17,False
2019-09-08,16,False
2019-09-15,17,False
2019-09-22,19,False
2019-09-29,16,False
2019-10-06,15,False
2019-10-13,14,False
2019-10-20,16,False
2019-10-27,15,False
2019-11-03,18,False
2019-11-10,18,False
2019-11-17,13,False
2019-11-24,12,False
2019-12-01,13,False
2019-12-08,13,False
2019-12-15,12,False
2019-12-22,10,False
2019-12-29,14,False
2020-01-05,17,False
2020-01-12,19,False
2020-01-19,21,False
2020-01-26,23,False
2020-02-02,23,False
2020-02-09,30,False
2020-02-16,61,False
2020-02-23,100,False
2020-03-01,15,False
2020-03-08,11,False
2020-03-15,17,False
2020-03-22,20,False
2020-03-29,16,False
2020-04-05,12,False
2020-04-12,13,False
2020-04-19,14,False
2020-04-26,14,False
2020-05-03,14,False
2020-05-10,13,False
2020-05-17,14,True
