date,Laminat reparieren,isPartial
2018-01-07,28,False
2018-01-14,0,False
2018-01-21,0,False
2018-01-28,0,False
2018-02-04,0,False
2018-02-11,0,False
2018-02-18,44,False
2018-02-25,29,False
2018-03-04,29,False
2018-03-11,0,False
2018-03-18,0,False
2018-03-25,31,False
2018-04-01,31,False
2018-04-08,30,False
2018-04-15,0,False
2018-04-22,0,False
2018-04-29,30,False
2018-05-06,60,False
2018-05-13,0,False
2018-05-20,0,False
2018-05-27,31,False
2018-06-03,0,False
2018-06-10,0,False
2018-06-17,0,False
2018-06-24,28,False
2018-07-01,41,False
2018-07-08,0,False
2018-07-15,0,False
2018-07-22,28,False
2018-07-29,29,False
2018-08-05,30,False
2018-08-12,31,False
2018-08-19,0,False
2018-08-26,0,False
2018-09-02,30,False
2018-09-09,58,False
2018-09-16,0,False
2018-09-23,29,False
2018-09-30,0,False
2018-10-07,0,False
2018-10-14,0,False
2018-10-21,43,False
2018-10-28,0,False
2018-11-04,0,False
2018-11-11,28,False
2018-11-18,27,False
2018-11-25,27,False
2018-12-02,27,False
2018-12-09,28,False
2018-12-16,29,False
2018-12-23,100,False
2018-12-30,0,False
2019-01-06,0,False
2019-01-13,26,False
2019-01-20,0,False
2019-01-27,26,False
2019-02-03,26,False
2019-02-10,26,False
2019-02-17,40,False
2019-02-24,41,False
2019-03-03,27,False
2019-03-10,0,False
2019-03-17,28,False
2019-03-24,0,False
2019-03-31,0,False
2019-04-07,27,False
2019-04-14,0,False
2019-04-21,29,False
2019-04-28,0,False
2019-05-05,0,False
2019-05-12,0,False
2019-05-19,27,False
2019-05-26,28,False
2019-06-02,0,False
2019-06-09,29,False
2019-06-16,86,False
2019-06-23,0,False
2019-06-30,0,False
2019-07-07,52,False
2019-07-14,0,False
2019-07-21,28,False
2019-07-28,0,False
2019-08-04,0,False
2019-08-11,0,False
2019-08-18,0,False
2019-08-25,0,False
2019-09-01,0,False
2019-09-08,0,False
2019-09-15,0,False
2019-09-22,78,False
2019-09-29,26,False
2019-10-06,26,False
2019-10-13,0,False
2019-10-20,52,False
2019-10-27,0,False
2019-11-03,25,False
2019-11-10,0,False
2019-11-17,26,False
2019-11-24,25,False
2019-12-01,0,False
2019-12-08,26,False
2019-12-15,35,False
2019-12-22,0,False
2019-12-29,56,False
2020-01-05,0,False
2020-01-12,24,False
2020-01-19,0,False
2020-01-26,0,False
2020-02-02,24,False
2020-02-09,35,False
2020-02-16,25,False
2020-02-23,0,False
2020-03-01,24,False
2020-03-08,0,False
2020-03-15,0,False
2020-03-22,33,False
2020-03-29,22,False
2020-04-05,24,False
2020-04-12,23,False
2020-04-19,22,False
2020-04-26,22,False
2020-05-03,22,False
2020-05-10,22,False
