date,alquiler de bus,isPartial
2018-01-07,49,False
2018-01-14,0,False
2018-01-21,0,False
2018-01-28,0,False
2018-02-04,0,False
2018-02-11,24,False
2018-02-18,0,False
2018-02-25,69,False
2018-03-04,0,False
2018-03-11,47,False
2018-03-18,24,False
2018-03-25,0,False
2018-04-01,0,False
2018-04-08,0,False
2018-04-15,0,False
2018-04-22,23,False
2018-04-29,24,False
2018-05-06,22,False
2018-05-13,0,False
2018-05-20,0,False
2018-05-27,0,False
2018-06-03,0,False
2018-06-10,68,False
2018-06-17,49,False
2018-06-24,0,False
2018-07-01,0,False
2018-07-08,70,False
2018-07-15,24,False
2018-07-22,0,False
2018-07-29,25,False
2018-08-05,0,False
2018-08-12,53,False
2018-08-19,0,False
2018-08-26,25,False
2018-09-02,24,False
2018-09-09,0,False
2018-09-16,0,False
2018-09-23,0,False
2018-09-30,0,False
2018-10-07,24,False
2018-10-14,46,False
2018-10-21,0,False
2018-10-28,0,False
2018-11-04,0,False
2018-11-11,23,False
2018-11-18,0,False
2018-11-25,0,False
2018-12-02,0,False
2018-12-09,24,False
2018-12-16,49,False
2018-12-23,0,False
2018-12-30,27,False
2019-01-06,24,False
2019-01-13,23,False
2019-01-20,0,False
2019-01-27,0,False
2019-02-03,23,False
2019-02-10,23,False
2019-02-17,47,False
2019-02-24,23,False
2019-03-03,0,False
2019-03-10,23,False
2019-03-17,23,False
2019-03-24,24,False
2019-03-31,23,False
2019-04-07,46,False
2019-04-14,25,False
2019-04-21,0,False
2019-04-28,22,False
2019-05-05,23,False
2019-05-12,0,False
2019-05-19,44,False
2019-05-26,0,False
2019-06-02,0,False
2019-06-09,44,False
2019-06-16,0,False
2019-06-23,0,False
2019-06-30,23,False
2019-07-07,0,False
2019-07-14,23,False
2019-07-21,24,False
2019-07-28,73,False
2019-08-04,100,False
2019-08-11,25,False
2019-08-18,0,False
2019-08-25,0,False
2019-09-01,0,False
2019-09-08,0,False
2019-09-15,0,False
2019-09-22,43,False
2019-09-29,42,False
2019-10-06,84,False
2019-10-13,21,False
2019-10-20,21,False
2019-10-27,21,False
2019-11-03,0,False
2019-11-10,0,False
2019-11-17,21,False
2019-11-24,0,False
2019-12-01,0,False
2019-12-08,0,False
2019-12-15,22,False
2019-12-22,25,False
2019-12-29,0,False
2020-01-05,22,False
2020-01-12,0,False
2020-01-19,20,False
2020-01-26,20,False
2020-02-02,0,False
2020-02-09,21,False
2020-02-16,0,False
2020-02-23,60,False
2020-03-01,0,False
2020-03-08,20,False
2020-03-15,0,False
2020-03-22,0,False
2020-03-29,0,False
2020-04-05,0,False
2020-04-12,0,True
