date,chauffage piscine solaire,isPartial
2018-01-07,0,False
2018-01-14,17,False
2018-01-21,0,False
2018-01-28,0,False
2018-02-04,0,False
2018-02-11,0,False
2018-02-18,19,False
2018-02-25,0,False
2018-03-04,35,False
2018-03-11,17,False
2018-03-18,18,False
2018-03-25,18,False
2018-04-01,18,False
2018-04-08,17,False
2018-04-15,38,False
2018-04-22,19,False
2018-04-29,36,False
2018-05-06,32,False
2018-05-13,23,False
2018-05-20,45,False
2018-05-27,40,False
2018-06-03,17,False
2018-06-10,17,False
2018-06-17,34,False
2018-06-24,40,False
2018-07-01,17,False
2018-07-08,27,False
2018-07-15,39,False
2018-07-22,39,False
2018-07-29,0,False
2018-08-05,32,False
2018-08-12,45,False
2018-08-19,21,False
2018-08-26,37,False
2018-09-02,35,False
2018-09-09,17,False
2018-09-16,34,False
2018-09-23,0,False
2018-09-30,17,False
2018-10-07,17,False
2018-10-14,17,False
2018-10-21,17,False
2018-10-28,0,False
2018-11-04,0,False
2018-11-11,0,False
2018-11-18,0,False
2018-11-25,17,False
2018-12-02,0,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,20,False
2019-01-06,0,False
2019-01-13,18,False
2019-01-20,0,False
2019-01-27,0,False
2019-02-03,0,False
2019-02-10,17,False
2019-02-17,17,False
2019-02-24,18,False
2019-03-03,0,False
2019-03-10,0,False
2019-03-17,52,False
2019-03-24,18,False
2019-03-31,0,False
2019-04-07,0,False
2019-04-14,0,False
2019-04-21,0,False
2019-04-28,19,False
2019-05-05,19,False
2019-05-12,0,False
2019-05-19,18,False
2019-05-26,31,False
2019-06-02,25,False
2019-06-09,18,False
2019-06-16,27,False
2019-06-23,37,False
2019-06-30,0,False
2019-07-07,56,False
2019-07-14,40,False
2019-07-21,21,False
2019-07-28,44,False
2019-08-04,23,False
2019-08-11,24,False
2019-08-18,23,False
2019-08-25,40,False
2019-09-01,0,False
2019-09-08,18,False
2019-09-15,18,False
2019-09-22,17,False
2019-09-29,0,False
2019-10-06,0,False
2019-10-13,0,False
2019-10-20,0,False
2019-10-27,0,False
2019-11-03,0,False
2019-11-10,17,False
2019-11-17,0,False
2019-11-24,0,False
2019-12-01,16,False
2019-12-08,0,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,0,False
2020-01-05,0,False
2020-01-12,16,False
2020-01-19,17,False
2020-01-26,0,False
2020-02-02,0,False
2020-02-09,0,False
2020-02-16,17,False
2020-02-23,0,False
2020-03-01,0,False
2020-03-08,0,False
2020-03-15,0,False
2020-03-22,0,False
2020-03-29,17,False
2020-04-05,34,False
2020-04-12,35,False
2020-04-19,45,False
2020-04-26,49,False
2020-05-03,26,False
2020-05-10,44,False
2020-05-17,100,True
