date,chauffage piscine solaire,isPartial
2018-01-07,3,False
2018-01-14,0,False
2018-01-21,4,False
2018-01-28,4,False
2018-02-04,9,False
2018-02-11,3,False
2018-02-18,4,False
2018-02-25,3,False
2018-03-04,0,False
2018-03-11,3,False
2018-03-18,3,False
2018-03-25,6,False
2018-04-01,15,False
2018-04-08,13,False
2018-04-15,21,False
2018-04-22,18,False
2018-04-29,17,False
2018-05-06,34,False
2018-05-13,9,False
2018-05-20,44,False
2018-05-27,16,False
2018-06-03,26,False
2018-06-10,11,False
2018-06-17,13,False
2018-06-24,28,False
2018-07-01,14,False
2018-07-08,24,False
2018-07-15,14,False
2018-07-22,6,False
2018-07-29,7,False
2018-08-05,11,False
2018-08-12,8,False
2018-08-19,13,False
2018-08-26,5,False
2018-09-02,9,False
2018-09-09,10,False
2018-09-16,6,False
2018-09-23,0,False
2018-09-30,3,False
2018-10-07,3,False
2018-10-14,4,False
2018-10-21,6,False
2018-10-28,0,False
2018-11-04,0,False
2018-11-11,11,False
2018-11-18,0,False
2018-11-25,6,False
2018-12-02,0,False
2018-12-09,3,False
2018-12-16,5,False
2018-12-23,3,False
2018-12-30,3,False
2019-01-06,3,False
2019-01-13,9,False
2019-01-20,3,False
2019-01-27,6,False
2019-02-03,6,False
2019-02-10,0,False
2019-02-17,6,False
2019-02-24,3,False
2019-03-03,9,False
2019-03-10,3,False
2019-03-17,6,False
2019-03-24,6,False
2019-03-31,13,False
2019-04-07,12,False
2019-04-14,12,False
2019-04-21,18,False
2019-04-28,15,False
2019-05-05,12,False
2019-05-12,16,False
2019-05-19,23,False
2019-05-26,19,False
2019-06-02,26,False
2019-06-09,17,False
2019-06-16,18,False
2019-06-23,31,False
2019-06-30,12,False
2019-07-07,13,False
2019-07-14,14,False
2019-07-21,11,False
2019-07-28,8,False
2019-08-04,8,False
2019-08-11,17,False
2019-08-18,11,False
2019-08-25,19,False
2019-09-01,6,False
2019-09-08,7,False
2019-09-15,6,False
2019-09-22,3,False
2019-09-29,0,False
2019-10-06,4,False
2019-10-13,3,False
2019-10-20,3,False
2019-10-27,0,False
2019-11-03,3,False
2019-11-10,3,False
2019-11-17,3,False
2019-11-24,3,False
2019-12-01,3,False
2019-12-08,4,False
2019-12-15,3,False
2019-12-22,4,False
2019-12-29,6,False
2020-01-05,5,False
2020-01-12,5,False
2020-01-19,3,False
2020-01-26,6,False
2020-02-02,4,False
2020-02-09,0,False
2020-02-16,7,False
2020-02-23,5,False
2020-03-01,7,False
2020-03-08,4,False
2020-03-15,11,False
2020-03-22,5,False
2020-03-29,4,False
2020-04-05,38,False
2020-04-12,44,False
2020-04-19,31,False
2020-04-26,37,False
2020-05-03,36,False
2020-05-10,31,False
2020-05-17,100,True
