date,Schornsteinverlängerung,isPartial
2018-01-07,20,False
2018-01-14,30,False
2018-01-21,23,False
2018-01-28,38,False
2018-02-04,21,False
2018-02-11,16,False
2018-02-18,23,False
2018-02-25,15,False
2018-03-04,15,False
2018-03-11,15,False
2018-03-18,16,False
2018-03-25,0,False
2018-04-01,17,False
2018-04-08,0,False
2018-04-15,49,False
2018-04-22,0,False
2018-04-29,16,False
2018-05-06,25,False
2018-05-13,16,False
2018-05-20,100,False
2018-05-27,16,False
2018-06-03,16,False
2018-06-10,0,False
2018-06-17,15,False
2018-06-24,16,False
2018-07-01,31,False
2018-07-08,16,False
2018-07-15,16,False
2018-07-22,0,False
2018-07-29,0,False
2018-08-05,16,False
2018-08-12,16,False
2018-08-19,32,False
2018-08-26,16,False
2018-09-02,47,False
2018-09-09,23,False
2018-09-16,31,False
2018-09-23,31,False
2018-09-30,47,False
2018-10-07,21,False
2018-10-14,52,False
2018-10-21,39,False
2018-10-28,15,False
2018-11-04,40,False
2018-11-11,23,False
2018-11-18,25,False
2018-11-25,15,False
2018-12-02,30,False
2018-12-09,23,False
2018-12-16,42,False
2018-12-23,0,False
2018-12-30,16,False
2019-01-06,14,False
2019-01-13,19,False
2019-01-20,28,False
2019-01-27,14,False
2019-02-03,22,False
2019-02-10,15,False
2019-02-17,0,False
2019-02-24,30,False
2019-03-03,14,False
2019-03-10,22,False
2019-03-17,30,False
2019-03-24,15,False
2019-03-31,15,False
2019-04-07,15,False
2019-04-14,16,False
2019-04-21,16,False
2019-04-28,20,False
2019-05-05,14,False
2019-05-12,15,False
2019-05-19,29,False
2019-05-26,15,False
2019-06-02,15,False
2019-06-09,15,False
2019-06-16,15,False
2019-06-23,15,False
2019-06-30,15,False
2019-07-07,0,False
2019-07-14,31,False
2019-07-21,32,False
2019-07-28,16,False
2019-08-04,39,False
2019-08-11,20,False
2019-08-18,62,False
2019-08-25,15,False
2019-09-01,44,False
2019-09-08,30,False
2019-09-15,45,False
2019-09-22,22,False
2019-09-29,19,False
2019-10-06,29,False
2019-10-13,28,False
2019-10-20,19,False
2019-10-27,28,False
2019-11-03,34,False
2019-11-10,32,False
2019-11-17,23,False
2019-11-24,31,False
2019-12-01,28,False
2019-12-08,28,False
2019-12-15,14,False
2019-12-22,0,False
2019-12-29,15,False
2020-01-05,13,False
2020-01-12,30,False
2020-01-19,33,False
2020-01-26,0,False
2020-02-02,13,False
2020-02-09,0,False
2020-02-16,13,False
2020-02-23,19,False
2020-03-01,26,False
2020-03-08,12,False
2020-03-15,12,False
2020-03-22,0,False
2020-03-29,12,False
2020-04-05,19,False
2020-04-12,16,False
2020-04-19,18,False
2020-04-26,12,False
2020-05-03,18,False
2020-05-10,18,False
