date,docteur naturopathe,isPartial
2018-01-07,21,False
2018-01-14,32,False
2018-01-21,22,False
2018-01-28,33,False
2018-02-04,21,False
2018-02-11,65,False
2018-02-18,30,False
2018-02-25,22,False
2018-03-04,0,False
2018-03-11,22,False
2018-03-18,33,False
2018-03-25,0,False
2018-04-01,23,False
2018-04-08,22,False
2018-04-15,0,False
2018-04-22,30,False
2018-04-29,34,False
2018-05-06,23,False
2018-05-13,0,False
2018-05-20,23,False
2018-05-27,33,False
2018-06-03,22,False
2018-06-10,21,False
2018-06-17,44,False
2018-06-24,22,False
2018-07-01,22,False
2018-07-08,23,False
2018-07-15,48,False
2018-07-22,24,False
2018-07-29,24,False
2018-08-05,24,False
2018-08-12,0,False
2018-08-19,24,False
2018-08-26,23,False
2018-09-02,23,False
2018-09-09,22,False
2018-09-16,45,False
2018-09-23,68,False
2018-09-30,67,False
2018-10-07,22,False
2018-10-14,0,False
2018-10-21,0,False
2018-10-28,23,False
2018-11-04,43,False
2018-11-11,22,False
2018-11-18,32,False
2018-11-25,22,False
2018-12-02,33,False
2018-12-09,22,False
2018-12-16,23,False
2018-12-23,0,False
2018-12-30,24,False
2019-01-06,43,False
2019-01-13,22,False
2019-01-20,21,False
2019-01-27,21,False
2019-02-03,64,False
2019-02-10,0,False
2019-02-17,45,False
2019-02-24,45,False
2019-03-03,0,False
2019-03-10,0,False
2019-03-17,56,False
2019-03-24,34,False
2019-03-31,22,False
2019-04-07,22,False
2019-04-14,23,False
2019-04-21,22,False
2019-04-28,32,False
2019-05-05,21,False
2019-05-12,22,False
2019-05-19,22,False
2019-05-26,43,False
2019-06-02,31,False
2019-06-09,21,False
2019-06-16,33,False
2019-06-23,21,False
2019-06-30,22,False
2019-07-07,22,False
2019-07-14,22,False
2019-07-21,34,False
2019-07-28,0,False
2019-08-04,23,False
2019-08-11,46,False
2019-08-18,23,False
2019-08-25,0,False
2019-09-01,42,False
2019-09-08,0,False
2019-09-15,42,False
2019-09-22,27,False
2019-09-29,100,False
2019-10-06,41,False
2019-10-13,0,False
2019-10-20,20,False
2019-10-27,0,False
2019-11-03,20,False
2019-11-10,27,False
2019-11-17,20,False
2019-11-24,19,False
2019-12-01,39,False
2019-12-08,19,False
2019-12-15,20,False
2019-12-22,0,False
2019-12-29,0,False
2020-01-05,29,False
2020-01-12,0,False
2020-01-19,26,False
2020-01-26,28,False
2020-02-02,19,False
2020-02-09,19,False
2020-02-16,19,False
2020-02-23,49,False
2020-03-01,18,False
2020-03-08,18,False
2020-03-15,26,False
2020-03-22,0,False
2020-03-29,17,False
2020-04-05,17,False
2020-04-12,29,False
2020-04-19,23,False
2020-04-26,16,False
2020-05-03,16,False
2020-05-10,34,False
2020-05-17,0,True
