date,Zimmerei Holzbau,isPartial
2018-01-07,34,False
2018-01-14,51,False
2018-01-21,38,False
2018-01-28,26,False
2018-02-04,26,False
2018-02-11,27,False
2018-02-18,40,False
2018-02-25,26,False
2018-03-04,40,False
2018-03-11,40,False
2018-03-18,40,False
2018-03-25,29,False
2018-04-01,48,False
2018-04-08,55,False
2018-04-15,0,False
2018-04-22,27,False
2018-04-29,55,False
2018-05-06,28,False
2018-05-13,44,False
2018-05-20,56,False
2018-05-27,28,False
2018-06-03,66,False
2018-06-10,38,False
2018-06-17,38,False
2018-06-24,26,False
2018-07-01,25,False
2018-07-08,25,False
2018-07-15,25,False
2018-07-22,34,False
2018-07-29,53,False
2018-08-05,37,False
2018-08-12,43,False
2018-08-19,29,False
2018-08-26,28,False
2018-09-02,28,False
2018-09-09,27,False
2018-09-16,54,False
2018-09-23,27,False
2018-09-30,27,False
2018-10-07,26,False
2018-10-14,39,False
2018-10-21,0,False
2018-10-28,52,False
2018-11-04,38,False
2018-11-11,38,False
2018-11-18,37,False
2018-11-25,38,False
2018-12-02,38,False
2018-12-09,38,False
2018-12-16,53,False
2018-12-23,0,False
2018-12-30,28,False
2019-01-06,48,False
2019-01-13,24,False
2019-01-20,32,False
2019-01-27,40,False
2019-02-03,36,False
2019-02-10,0,False
2019-02-17,25,False
2019-02-24,42,False
2019-03-03,38,False
2019-03-10,25,False
2019-03-17,78,False
2019-03-24,26,False
2019-03-31,52,False
2019-04-07,51,False
2019-04-14,28,False
2019-04-21,27,False
2019-04-28,25,False
2019-05-05,65,False
2019-05-12,25,False
2019-05-19,24,False
2019-05-26,0,False
2019-06-02,34,False
2019-06-09,53,False
2019-06-16,26,False
2019-06-23,39,False
2019-06-30,25,False
2019-07-07,40,False
2019-07-14,25,False
2019-07-21,26,False
2019-07-28,51,False
2019-08-04,44,False
2019-08-11,27,False
2019-08-18,27,False
2019-08-25,40,False
2019-09-01,42,False
2019-09-08,25,False
2019-09-15,100,False
2019-09-22,24,False
2019-09-29,37,False
2019-10-06,24,False
2019-10-13,48,False
2019-10-20,24,False
2019-10-27,23,False
2019-11-03,23,False
2019-11-10,35,False
2019-11-17,39,False
2019-11-24,23,False
2019-12-01,36,False
2019-12-08,24,False
2019-12-15,36,False
2019-12-22,28,False
2019-12-29,0,False
2020-01-05,45,False
2020-01-12,44,False
2020-01-19,23,False
2020-01-26,34,False
2020-02-02,74,False
2020-02-09,43,False
2020-02-16,46,False
2020-02-23,44,False
2020-03-01,55,False
2020-03-08,41,False
2020-03-15,20,False
2020-03-22,20,False
2020-03-29,61,False
2020-04-05,33,False
2020-04-12,28,False
2020-04-19,28,False
2020-04-26,34,False
2020-05-03,27,False
2020-05-10,21,False
