date,Marmor,isPartial
2018-01-07,37,False
2018-01-14,61,False
2018-01-21,25,False
2018-01-28,50,False
2018-02-04,65,False
2018-02-11,25,False
2018-02-18,25,False
2018-02-25,0,False
2018-03-04,49,False
2018-03-11,24,False
2018-03-18,25,False
2018-03-25,52,False
2018-04-01,53,False
2018-04-08,26,False
2018-04-15,54,False
2018-04-22,0,False
2018-04-29,27,False
2018-05-06,55,False
2018-05-13,27,False
2018-05-20,54,False
2018-05-27,0,False
2018-06-03,52,False
2018-06-10,37,False
2018-06-17,0,False
2018-06-24,26,False
2018-07-01,53,False
2018-07-08,51,False
2018-07-15,81,False
2018-07-22,26,False
2018-07-29,0,False
2018-08-05,24,False
2018-08-12,0,False
2018-08-19,63,False
2018-08-26,0,False
2018-09-02,51,False
2018-09-09,25,False
2018-09-16,50,False
2018-09-23,76,False
2018-09-30,0,False
2018-10-07,52,False
2018-10-14,37,False
2018-10-21,97,False
2018-10-28,96,False
2018-11-04,47,False
2018-11-11,0,False
2018-11-18,23,False
2018-11-25,36,False
2018-12-02,72,False
2018-12-09,48,False
2018-12-16,24,False
2018-12-23,0,False
2018-12-30,36,False
2019-01-06,22,False
2019-01-13,33,False
2019-01-20,0,False
2019-01-27,55,False
2019-02-03,23,False
2019-02-10,36,False
2019-02-17,46,False
2019-02-24,0,False
2019-03-03,34,False
2019-03-10,34,False
2019-03-17,48,False
2019-03-24,35,False
2019-03-31,24,False
2019-04-07,70,False
2019-04-14,100,False
2019-04-21,50,False
2019-04-28,46,False
2019-05-05,23,False
2019-05-12,47,False
2019-05-19,23,False
2019-05-26,24,False
2019-06-02,0,False
2019-06-09,24,False
2019-06-16,58,False
2019-06-23,72,False
2019-06-30,81,False
2019-07-07,24,False
2019-07-14,25,False
2019-07-21,26,False
2019-07-28,24,False
2019-08-04,25,False
2019-08-11,23,False
2019-08-18,35,False
2019-08-25,34,False
2019-09-01,46,False
2019-09-08,23,False
2019-09-15,46,False
2019-09-22,67,False
2019-09-29,55,False
2019-10-06,68,False
2019-10-13,43,False
2019-10-20,22,False
2019-10-27,21,False
2019-11-03,41,False
2019-11-10,42,False
2019-11-17,42,False
2019-11-24,20,False
2019-12-01,21,False
2019-12-08,21,False
2019-12-15,21,False
2019-12-22,22,False
2019-12-29,43,False
2020-01-05,0,False
2020-01-12,39,False
2020-01-19,50,False
2020-01-26,29,False
2020-02-02,39,False
2020-02-09,51,False
2020-02-16,20,False
2020-02-23,39,False
2020-03-01,39,False
2020-03-08,55,False
2020-03-15,36,False
2020-03-22,86,False
2020-03-29,34,False
2020-04-05,29,False
2020-04-12,37,False
2020-04-19,64,False
2020-04-26,44,False
2020-05-03,72,False
2020-05-10,64,False
