date,Marmor,isPartial
2018-01-07,28,False
2018-01-14,30,False
2018-01-21,30,False
2018-01-28,45,False
2018-02-04,47,False
2018-02-11,77,False
2018-02-18,30,False
2018-02-25,61,False
2018-03-04,30,False
2018-03-11,0,False
2018-03-18,91,False
2018-03-25,31,False
2018-04-01,30,False
2018-04-08,31,False
2018-04-15,44,False
2018-04-22,47,False
2018-04-29,31,False
2018-05-06,32,False
2018-05-13,62,False
2018-05-20,64,False
2018-05-27,30,False
2018-06-03,0,False
2018-06-10,0,False
2018-06-17,28,False
2018-06-24,30,False
2018-07-01,28,False
2018-07-08,100,False
2018-07-15,38,False
2018-07-22,46,False
2018-07-29,46,False
2018-08-05,22,False
2018-08-12,52,False
2018-08-19,26,False
2018-08-26,29,False
2018-09-02,45,False
2018-09-09,29,False
2018-09-16,30,False
2018-09-23,30,False
2018-09-30,0,False
2018-10-07,31,False
2018-10-14,60,False
2018-10-21,43,False
2018-10-28,0,False
2018-11-04,0,False
2018-11-11,30,False
2018-11-18,57,False
2018-11-25,30,False
2018-12-02,0,False
2018-12-09,0,False
2018-12-16,58,False
2018-12-23,44,False
2018-12-30,27,False
2019-01-06,41,False
2019-01-13,83,False
2019-01-20,28,False
2019-01-27,28,False
2019-02-03,44,False
2019-02-10,29,False
2019-02-17,28,False
2019-02-24,56,False
2019-03-03,55,False
2019-03-10,28,False
2019-03-17,29,False
2019-03-24,43,False
2019-03-31,45,False
2019-04-07,43,False
2019-04-14,45,False
2019-04-21,56,False
2019-04-28,37,False
2019-05-05,55,False
2019-05-12,28,False
2019-05-19,28,False
2019-05-26,45,False
2019-06-02,41,False
2019-06-09,40,False
2019-06-16,27,False
2019-06-23,27,False
2019-06-30,39,False
2019-07-07,26,False
2019-07-14,26,False
2019-07-21,52,False
2019-07-28,50,False
2019-08-04,43,False
2019-08-11,37,False
2019-08-18,53,False
2019-08-25,34,False
2019-09-01,34,False
2019-09-08,64,False
2019-09-15,26,False
2019-09-22,26,False
2019-09-29,26,False
2019-10-06,66,False
2019-10-13,36,False
2019-10-20,49,False
2019-10-27,25,False
2019-11-03,48,False
2019-11-10,41,False
2019-11-17,61,False
2019-11-24,25,False
2019-12-01,26,False
2019-12-08,39,False
2019-12-15,26,False
2019-12-22,41,False
2019-12-29,40,False
2020-01-05,23,False
2020-01-12,46,False
2020-01-19,39,False
2020-01-26,23,False
2020-02-02,39,False
2020-02-09,33,False
2020-02-16,37,False
2020-02-23,35,False
2020-03-01,0,False
2020-03-08,37,False
2020-03-15,22,False
2020-03-22,36,False
2020-03-29,55,False
2020-04-05,47,False
2020-04-12,45,False
2020-04-19,22,False
2020-04-26,64,False
2020-05-03,37,False
2020-05-10,44,False
