date,Dachdeckermeister,isPartial
2018-01-07,36,False
2018-01-14,36,False
2018-01-21,36,False
2018-01-28,37,False
2018-02-04,74,False
2018-02-11,56,False
2018-02-18,37,False
2018-02-25,37,False
2018-03-04,74,False
2018-03-11,0,False
2018-03-18,0,False
2018-03-25,40,False
2018-04-01,41,False
2018-04-08,39,False
2018-04-15,40,False
2018-04-22,0,False
2018-04-29,40,False
2018-05-06,59,False
2018-05-13,38,False
2018-05-20,0,False
2018-05-27,39,False
2018-06-03,0,False
2018-06-10,0,False
2018-06-17,39,False
2018-06-24,41,False
2018-07-01,41,False
2018-07-08,41,False
2018-07-15,41,False
2018-07-22,82,False
2018-07-29,40,False
2018-08-05,0,False
2018-08-12,100,False
2018-08-19,39,False
2018-08-26,56,False
2018-09-02,37,False
2018-09-09,37,False
2018-09-16,38,False
2018-09-23,39,False
2018-09-30,41,False
2018-10-07,39,False
2018-10-14,38,False
2018-10-21,37,False
2018-10-28,37,False
2018-11-04,36,False
2018-11-11,0,False
2018-11-18,37,False
2018-11-25,39,False
2018-12-02,39,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,46,False
2018-12-30,0,False
2019-01-06,39,False
2019-01-13,74,False
2019-01-20,36,False
2019-01-27,0,False
2019-02-03,37,False
2019-02-10,37,False
2019-02-17,55,False
2019-02-24,57,False
2019-03-03,55,False
2019-03-10,37,False
2019-03-17,76,False
2019-03-24,38,False
2019-03-31,74,False
2019-04-07,37,False
2019-04-14,40,False
2019-04-21,0,False
2019-04-28,38,False
2019-05-05,36,False
2019-05-12,75,False
2019-05-19,0,False
2019-05-26,38,False
2019-06-02,36,False
2019-06-09,37,False
2019-06-16,39,False
2019-06-23,39,False
2019-06-30,39,False
2019-07-07,38,False
2019-07-14,40,False
2019-07-21,0,False
2019-07-28,41,False
2019-08-04,0,False
2019-08-11,37,False
2019-08-18,37,False
2019-08-25,73,False
2019-09-01,37,False
2019-09-08,37,False
2019-09-15,38,False
2019-09-22,74,False
2019-09-29,0,False
2019-10-06,0,False
2019-10-13,35,False
2019-10-20,0,False
2019-10-27,34,False
2019-11-03,35,False
2019-11-10,34,False
2019-11-17,52,False
2019-11-24,34,False
2019-12-01,70,False
2019-12-08,52,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,39,False
2020-01-05,35,False
2020-01-12,33,False
2020-01-19,0,False
2020-01-26,0,False
2020-02-02,33,False
2020-02-09,0,False
2020-02-16,56,False
2020-02-23,33,False
2020-03-01,49,False
2020-03-08,0,False
2020-03-15,31,False
2020-03-22,0,False
2020-03-29,47,False
2020-04-05,0,False
2020-04-12,0,False
2020-04-19,0,False
2020-04-26,31,False
2020-05-03,31,False
2020-05-10,32,False
