date,aerofotogrammetria,isPartial
2018-01-07,88,False
2018-01-14,75,False
2018-01-21,62,False
2018-01-28,49,False
2018-02-04,73,False
2018-02-11,62,False
2018-02-18,60,False
2018-02-25,0,False
2018-03-04,0,False
2018-03-11,61,False
2018-03-18,61,False
2018-03-25,51,False
2018-04-01,53,False
2018-04-08,25,False
2018-04-15,88,False
2018-04-22,52,False
2018-04-29,25,False
2018-05-06,0,False
2018-05-13,37,False
2018-05-20,0,False
2018-05-27,50,False
2018-06-03,87,False
2018-06-10,0,False
2018-06-17,62,False
2018-06-24,25,False
2018-07-01,73,False
2018-07-08,49,False
2018-07-15,51,False
2018-07-22,0,False
2018-07-29,51,False
2018-08-05,39,False
2018-08-12,0,False
2018-08-19,27,False
2018-08-26,63,False
2018-09-02,0,False
2018-09-09,24,False
2018-09-16,47,False
2018-09-23,24,False
2018-09-30,24,False
2018-10-07,87,False
2018-10-14,25,False
2018-10-21,48,False
2018-10-28,98,False
2018-11-04,59,False
2018-11-11,50,False
2018-11-18,24,False
2018-11-25,74,False
2018-12-02,25,False
2018-12-09,49,False
2018-12-16,0,False
2018-12-23,58,False
2018-12-30,27,False
2019-01-06,100,False
2019-01-13,24,False
2019-01-20,58,False
2019-01-27,23,False
2019-02-03,35,False
2019-02-10,70,False
2019-02-17,72,False
2019-02-24,47,False
2019-03-03,25,False
2019-03-10,49,False
2019-03-17,37,False
2019-03-24,24,False
2019-03-31,49,False
2019-04-07,0,False
2019-04-14,25,False
2019-04-21,79,False
2019-04-28,24,False
2019-05-05,0,False
2019-05-12,47,False
2019-05-19,58,False
2019-05-26,22,False
2019-06-02,48,False
2019-06-09,36,False
2019-06-16,74,False
2019-06-23,0,False
2019-06-30,62,False
2019-07-07,24,False
2019-07-14,25,False
2019-07-21,25,False
2019-07-28,25,False
2019-08-04,39,False
2019-08-11,0,False
2019-08-18,52,False
2019-08-25,47,False
2019-09-01,0,False
2019-09-08,23,False
2019-09-15,34,False
2019-09-22,45,False
2019-09-29,68,False
2019-10-06,23,False
2019-10-13,69,False
2019-10-20,44,False
2019-10-27,45,False
2019-11-03,44,False
2019-11-10,55,False
2019-11-17,33,False
2019-11-24,22,False
2019-12-01,45,False
2019-12-08,0,False
2019-12-15,46,False
2019-12-22,0,False
2019-12-29,25,False
2020-01-05,34,False
2020-01-12,42,False
2020-01-19,42,False
2020-01-26,53,False
2020-02-02,63,False
2020-02-09,32,False
2020-02-16,21,False
2020-02-23,79,False
2020-03-01,30,False
2020-03-08,38,False
2020-03-15,19,False
2020-03-22,36,False
2020-03-29,65,False
2020-04-05,29,False
2020-04-12,0,False
2020-04-19,46,False
2020-04-26,64,True
