date,torta fragole,isPartial
2018-01-07,6,False
2018-01-14,0,False
2018-01-21,4,False
2018-01-28,0,False
2018-02-04,0,False
2018-02-11,10,False
2018-02-18,11,False
2018-02-25,15,False
2018-03-04,6,False
2018-03-11,14,False
2018-03-18,23,False
2018-03-25,14,False
2018-04-01,24,False
2018-04-08,22,False
2018-04-15,44,False
2018-04-22,40,False
2018-04-29,22,False
2018-05-06,52,False
2018-05-13,33,False
2018-05-20,28,False
2018-05-27,12,False
2018-06-03,16,False
2018-06-10,26,False
2018-06-17,14,False
2018-06-24,8,False
2018-07-01,8,False
2018-07-08,8,False
2018-07-15,0,False
2018-07-22,4,False
2018-07-29,4,False
2018-08-05,4,False
2018-08-12,0,False
2018-08-19,0,False
2018-08-26,4,False
2018-09-02,4,False
2018-09-09,4,False
2018-09-16,4,False
2018-09-23,6,False
2018-09-30,0,False
2018-10-07,4,False
2018-10-14,4,False
2018-10-21,0,False
2018-10-28,0,False
2018-11-04,8,False
2018-11-11,4,False
2018-11-18,0,False
2018-11-25,4,False
2018-12-02,4,False
2018-12-09,4,False
2018-12-16,4,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,4,False
2019-01-13,4,False
2019-01-20,4,False
2019-01-27,4,False
2019-02-03,4,False
2019-02-10,8,False
2019-02-17,8,False
2019-02-24,10,False
2019-03-03,8,False
2019-03-10,15,False
2019-03-17,22,False
2019-03-24,20,False
2019-03-31,25,False
2019-04-07,28,False
2019-04-14,35,False
2019-04-21,14,False
2019-04-28,21,False
2019-05-05,36,False
2019-05-12,25,False
2019-05-19,21,False
2019-05-26,24,False
2019-06-02,14,False
2019-06-09,15,False
2019-06-16,8,False
2019-06-23,8,False
2019-06-30,0,False
2019-07-07,8,False
2019-07-14,0,False
2019-07-21,4,False
2019-07-28,0,False
2019-08-04,0,False
2019-08-11,0,False
2019-08-18,0,False
2019-08-25,4,False
2019-09-01,6,False
2019-09-08,4,False
2019-09-15,4,False
2019-09-22,4,False
2019-09-29,0,False
2019-10-06,4,False
2019-10-13,4,False
2019-10-20,0,False
2019-10-27,0,False
2019-11-03,3,False
2019-11-10,4,False
2019-11-17,0,False
2019-11-24,4,False
2019-12-01,0,False
2019-12-08,4,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,0,False
2020-01-05,4,False
2020-01-12,4,False
2020-01-19,4,False
2020-01-26,7,False
2020-02-02,14,False
2020-02-09,5,False
2020-02-16,11,False
2020-02-23,10,False
2020-03-01,11,False
2020-03-08,16,False
2020-03-15,26,False
2020-03-22,36,False
2020-03-29,60,False
2020-04-05,72,False
2020-04-12,65,False
2020-04-19,83,False
2020-04-26,100,True
