date,Gas Wasser Sanitär,isPartial
2018-01-07,39,False
2018-01-14,39,False
2018-01-21,20,False
2018-01-28,0,False
2018-02-04,100,False
2018-02-11,20,False
2018-02-18,30,False
2018-02-25,39,False
2018-03-04,29,False
2018-03-11,20,False
2018-03-18,40,False
2018-03-25,21,False
2018-04-01,43,False
2018-04-08,20,False
2018-04-15,31,False
2018-04-22,40,False
2018-04-29,0,False
2018-05-06,62,False
2018-05-13,0,False
2018-05-20,21,False
2018-05-27,31,False
2018-06-03,60,False
2018-06-10,19,False
2018-06-17,0,False
2018-06-24,20,False
2018-07-01,20,False
2018-07-08,40,False
2018-07-15,41,False
2018-07-22,41,False
2018-07-29,21,False
2018-08-05,0,False
2018-08-12,21,False
2018-08-19,51,False
2018-08-26,0,False
2018-09-02,20,False
2018-09-09,40,False
2018-09-16,20,False
2018-09-23,20,False
2018-09-30,40,False
2018-10-07,60,False
2018-10-14,20,False
2018-10-21,0,False
2018-10-28,19,False
2018-11-04,57,False
2018-11-11,20,False
2018-11-18,19,False
2018-11-25,19,False
2018-12-02,29,False
2018-12-09,29,False
2018-12-16,0,False
2018-12-23,46,False
2018-12-30,20,False
2019-01-06,0,False
2019-01-13,18,False
2019-01-20,36,False
2019-01-27,36,False
2019-02-03,19,False
2019-02-10,19,False
2019-02-17,0,False
2019-02-24,29,False
2019-03-03,56,False
2019-03-10,19,False
2019-03-17,19,False
2019-03-24,38,False
2019-03-31,38,False
2019-04-07,0,False
2019-04-14,41,False
2019-04-21,0,False
2019-04-28,0,False
2019-05-05,37,False
2019-05-12,19,False
2019-05-19,19,False
2019-05-26,19,False
2019-06-02,19,False
2019-06-09,39,False
2019-06-16,39,False
2019-06-23,29,False
2019-06-30,19,False
2019-07-07,19,False
2019-07-14,20,False
2019-07-21,0,False
2019-07-28,30,False
2019-08-04,20,False
2019-08-11,29,False
2019-08-18,59,False
2019-08-25,19,False
2019-09-01,0,False
2019-09-08,19,False
2019-09-15,19,False
2019-09-22,18,False
2019-09-29,28,False
2019-10-06,18,False
2019-10-13,18,False
2019-10-20,0,False
2019-10-27,18,False
2019-11-03,17,False
2019-11-10,53,False
2019-11-17,53,False
2019-11-24,17,False
2019-12-01,35,False
2019-12-08,18,False
2019-12-15,0,False
2019-12-22,41,False
2019-12-29,19,False
2020-01-05,25,False
2020-01-12,49,False
2020-01-19,25,False
2020-01-26,17,False
2020-02-02,17,False
2020-02-09,16,False
2020-02-16,34,False
2020-02-23,25,False
2020-03-01,16,False
2020-03-08,31,False
2020-03-15,23,False
2020-03-22,0,False
2020-03-29,15,False
2020-04-05,17,False
2020-04-12,24,False
2020-04-19,46,False
2020-04-26,30,False
2020-05-03,30,False
2020-05-10,0,False
