date,Asbestentsorgung,isPartial
2018-01-07,71,False
2018-01-14,35,False
2018-01-21,35,False
2018-01-28,35,False
2018-02-04,54,False
2018-02-11,54,False
2018-02-18,35,False
2018-02-25,70,False
2018-03-04,35,False
2018-03-11,53,False
2018-03-18,36,False
2018-03-25,38,False
2018-04-01,38,False
2018-04-08,36,False
2018-04-15,36,False
2018-04-22,35,False
2018-04-29,74,False
2018-05-06,0,False
2018-05-13,70,False
2018-05-20,56,False
2018-05-27,71,False
2018-06-03,47,False
2018-06-10,68,False
2018-06-17,34,False
2018-06-24,0,False
2018-07-01,52,False
2018-07-08,34,False
2018-07-15,55,False
2018-07-22,37,False
2018-07-29,0,False
2018-08-05,37,False
2018-08-12,0,False
2018-08-19,0,False
2018-08-26,71,False
2018-09-02,36,False
2018-09-09,36,False
2018-09-16,0,False
2018-09-23,36,False
2018-09-30,37,False
2018-10-07,36,False
2018-10-14,36,False
2018-10-21,0,False
2018-10-28,36,False
2018-11-04,51,False
2018-11-11,35,False
2018-11-18,0,False
2018-11-25,0,False
2018-12-02,34,False
2018-12-09,0,False
2018-12-16,35,False
2018-12-23,40,False
2018-12-30,0,False
2019-01-06,0,False
2019-01-13,49,False
2019-01-20,0,False
2019-01-27,32,False
2019-02-03,49,False
2019-02-10,0,False
2019-02-17,34,False
2019-02-24,0,False
2019-03-03,33,False
2019-03-10,0,False
2019-03-17,46,False
2019-03-24,34,False
2019-03-31,33,False
2019-04-07,0,False
2019-04-14,37,False
2019-04-21,36,False
2019-04-28,0,False
2019-05-05,33,False
2019-05-12,0,False
2019-05-19,33,False
2019-05-26,0,False
2019-06-02,100,False
2019-06-09,0,False
2019-06-16,34,False
2019-06-23,69,False
2019-06-30,33,False
2019-07-07,33,False
2019-07-14,0,False
2019-07-21,38,False
2019-07-28,37,False
2019-08-04,74,False
2019-08-11,36,False
2019-08-18,35,False
2019-08-25,34,False
2019-09-01,33,False
2019-09-08,68,False
2019-09-15,0,False
2019-09-22,33,False
2019-09-29,0,False
2019-10-06,65,False
2019-10-13,0,False
2019-10-20,34,False
2019-10-27,0,False
2019-11-03,31,False
2019-11-10,32,False
2019-11-17,0,False
2019-11-24,0,False
2019-12-01,32,False
2019-12-08,31,False
2019-12-15,31,False
2019-12-22,37,False
2019-12-29,0,False
2020-01-05,60,False
2020-01-12,29,False
2020-01-19,0,False
2020-01-26,30,False
2020-02-02,30,False
2020-02-09,29,False
2020-02-16,60,False
2020-02-23,28,False
2020-03-01,29,False
2020-03-08,27,False
2020-03-15,0,False
2020-03-22,27,False
2020-03-29,27,False
2020-04-05,58,False
2020-04-12,28,False
2020-04-19,55,False
2020-04-26,0,False
2020-05-03,0,False
2020-05-10,27,False
