date,maestro primaria,isPartial
2018-01-07,30,False
2018-01-14,53,False
2018-01-21,89,False
2018-01-28,45,False
2018-02-04,22,False
2018-02-11,69,False
2018-02-18,35,False
2018-02-25,45,False
2018-03-04,44,False
2018-03-11,22,False
2018-03-18,35,False
2018-03-25,59,False
2018-04-01,23,False
2018-04-08,21,False
2018-04-15,22,False
2018-04-22,33,False
2018-04-29,0,False
2018-05-06,37,False
2018-05-13,23,False
2018-05-20,45,False
2018-05-27,22,False
2018-06-03,37,False
2018-06-10,56,False
2018-06-17,24,False
2018-06-24,48,False
2018-07-01,37,False
2018-07-08,25,False
2018-07-15,45,False
2018-07-22,37,False
2018-07-29,28,False
2018-08-05,31,False
2018-08-12,34,False
2018-08-19,31,False
2018-08-26,0,False
2018-09-02,56,False
2018-09-09,23,False
2018-09-16,30,False
2018-09-23,44,False
2018-09-30,58,False
2018-10-07,0,False
2018-10-14,33,False
2018-10-21,29,False
2018-10-28,46,False
2018-11-04,20,False
2018-11-11,21,False
2018-11-18,41,False
2018-11-25,0,False
2018-12-02,32,False
2018-12-09,22,False
2018-12-16,0,False
2018-12-23,27,False
2018-12-30,24,False
2019-01-06,57,False
2019-01-13,28,False
2019-01-20,60,False
2019-01-27,31,False
2019-02-03,50,False
2019-02-10,36,False
2019-02-17,65,False
2019-02-24,19,False
2019-03-03,66,False
2019-03-10,30,False
2019-03-17,22,False
2019-03-24,33,False
2019-03-31,28,False
2019-04-07,51,False
2019-04-14,27,False
2019-04-21,43,False
2019-04-28,23,False
2019-05-05,38,False
2019-05-12,43,False
2019-05-19,63,False
2019-05-26,41,False
2019-06-02,61,False
2019-06-09,30,False
2019-06-16,37,False
2019-06-23,45,False
2019-06-30,55,False
2019-07-07,22,False
2019-07-14,100,False
2019-07-21,24,False
2019-07-28,42,False
2019-08-04,30,False
2019-08-11,32,False
2019-08-18,45,False
2019-08-25,26,False
2019-09-01,35,False
2019-09-08,56,False
2019-09-15,30,False
2019-09-22,34,False
2019-09-29,61,False
2019-10-06,0,False
2019-10-13,29,False
2019-10-20,39,False
2019-10-27,20,False
2019-11-03,19,False
2019-11-10,28,False
2019-11-17,19,False
2019-11-24,37,False
2019-12-01,20,False
2019-12-08,62,False
2019-12-15,20,False
2019-12-22,24,False
2019-12-29,23,False
2020-01-05,40,False
2020-01-12,37,False
2020-01-19,28,False
2020-01-26,19,False
2020-02-02,19,False
2020-02-09,0,False
2020-02-16,28,False
2020-02-23,37,False
2020-03-01,36,False
2020-03-08,36,False
2020-03-15,18,False
2020-03-22,18,False
2020-03-29,0,False
2020-04-05,25,False
2020-04-12,18,False
2020-04-19,35,False
2020-04-26,18,False
2020-05-03,29,False
2020-05-10,52,False
2020-05-17,34,True
