date,Pv Anlage,isPartial
2018-01-07,0,False
2018-01-14,0,False
2018-01-21,19,False
2018-01-28,20,False
2018-02-04,40,False
2018-02-11,60,False
2018-02-18,19,False
2018-02-25,19,False
2018-03-04,0,False
2018-03-11,19,False
2018-03-18,19,False
2018-03-25,20,False
2018-04-01,0,False
2018-04-08,0,False
2018-04-15,21,False
2018-04-22,0,False
2018-04-29,40,False
2018-05-06,0,False
2018-05-13,20,False
2018-05-20,0,False
2018-05-27,39,False
2018-06-03,0,False
2018-06-10,19,False
2018-06-17,0,False
2018-06-24,0,False
2018-07-01,20,False
2018-07-08,21,False
2018-07-15,0,False
2018-07-22,23,False
2018-07-29,0,False
2018-08-05,64,False
2018-08-12,0,False
2018-08-19,100,False
2018-08-26,40,False
2018-09-02,0,False
2018-09-09,20,False
2018-09-16,0,False
2018-09-23,0,False
2018-09-30,0,False
2018-10-07,0,False
2018-10-14,42,False
2018-10-21,0,False
2018-10-28,19,False
2018-11-04,19,False
2018-11-11,59,False
2018-11-18,38,False
2018-11-25,56,False
2018-12-02,39,False
2018-12-09,20,False
2018-12-16,40,False
2018-12-23,0,False
2018-12-30,88,False
2019-01-06,37,False
2019-01-13,56,False
2019-01-20,0,False
2019-01-27,18,False
2019-02-03,0,False
2019-02-10,58,False
2019-02-17,19,False
2019-02-24,38,False
2019-03-03,18,False
2019-03-10,57,False
2019-03-17,0,False
2019-03-24,19,False
2019-03-31,57,False
2019-04-07,18,False
2019-04-14,21,False
2019-04-21,42,False
2019-04-28,55,False
2019-05-05,55,False
2019-05-12,56,False
2019-05-19,19,False
2019-05-26,20,False
2019-06-02,38,False
2019-06-09,37,False
2019-06-16,39,False
2019-06-23,0,False
2019-06-30,20,False
2019-07-07,20,False
2019-07-14,43,False
2019-07-21,23,False
2019-07-28,70,False
2019-08-04,86,False
2019-08-11,20,False
2019-08-18,0,False
2019-08-25,0,False
2019-09-01,0,False
2019-09-08,38,False
2019-09-15,38,False
2019-09-22,19,False
2019-09-29,56,False
2019-10-06,57,False
2019-10-13,0,False
2019-10-20,36,False
2019-10-27,36,False
2019-11-03,18,False
2019-11-10,54,False
2019-11-17,36,False
2019-11-24,18,False
2019-12-01,72,False
2019-12-08,18,False
2019-12-15,37,False
2019-12-22,22,False
2019-12-29,0,False
2020-01-05,68,False
2020-01-12,34,False
2020-01-19,51,False
2020-01-26,17,False
2020-02-02,0,False
2020-02-09,35,False
2020-02-16,35,False
2020-02-23,66,False
2020-03-01,50,False
2020-03-08,16,False
2020-03-15,0,False
2020-03-22,0,False
2020-03-29,16,False
2020-04-05,0,False
2020-04-12,50,False
2020-04-19,16,False
2020-04-26,15,False
2020-05-03,47,False
2020-05-10,32,False
2020-05-17,17,False
2020-05-24,50,False
2020-05-31,48,False
2020-06-07,16,False
2020-06-14,32,False
2020-06-21,35,False
2020-06-28,17,False
2020-07-05,18,False
