date,torte da matrimonio,isPartial
2018-01-07,50,False
2018-01-14,50,False
2018-01-21,49,False
2018-01-28,48,False
2018-02-04,72,False
2018-02-11,0,False
2018-02-18,47,False
2018-02-25,0,False
2018-03-04,0,False
2018-03-11,0,False
2018-03-18,97,False
2018-03-25,51,False
2018-04-01,52,False
2018-04-08,48,False
2018-04-15,49,False
2018-04-22,51,False
2018-04-29,49,False
2018-05-06,48,False
2018-05-13,49,False
2018-05-20,97,False
2018-05-27,49,False
2018-06-03,49,False
2018-06-10,47,False
2018-06-17,48,False
2018-06-24,0,False
2018-07-01,0,False
2018-07-08,49,False
2018-07-15,50,False
2018-07-22,0,False
2018-07-29,0,False
2018-08-05,0,False
2018-08-12,0,False
2018-08-19,0,False
2018-08-26,100,False
2018-09-02,48,False
2018-09-09,0,False
2018-09-16,0,False
2018-09-23,48,False
2018-09-30,96,False
2018-10-07,49,False
2018-10-14,0,False
2018-10-21,0,False
2018-10-28,47,False
2018-11-04,47,False
2018-11-11,0,False
2018-11-18,0,False
2018-11-25,49,False
2018-12-02,0,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,58,False
2018-12-30,0,False
2019-01-06,48,False
2019-01-13,0,False
2019-01-20,46,False
2019-01-27,0,False
2019-02-03,0,False
2019-02-10,92,False
2019-02-17,95,False
2019-02-24,0,False
2019-03-03,49,False
2019-03-10,96,False
2019-03-17,48,False
2019-03-24,0,False
2019-03-31,0,False
2019-04-07,0,False
2019-04-14,49,False
2019-04-21,52,False
2019-04-28,48,False
2019-05-05,0,False
2019-05-12,0,False
2019-05-19,46,False
2019-05-26,89,False
2019-06-02,48,False
2019-06-09,0,False
2019-06-16,0,False
2019-06-23,0,False
2019-06-30,99,False
2019-07-07,0,False
2019-07-14,0,False
2019-07-21,0,False
2019-07-28,50,False
2019-08-04,0,False
2019-08-11,55,False
2019-08-18,51,False
2019-08-25,0,False
2019-09-01,44,False
2019-09-08,0,False
2019-09-15,0,False
2019-09-22,44,False
2019-09-29,0,False
2019-10-06,69,False
2019-10-13,0,False
2019-10-20,0,False
2019-10-27,0,False
2019-11-03,0,False
2019-11-10,44,False
2019-11-17,0,False
2019-11-24,0,False
2019-12-01,45,False
2019-12-08,0,False
2019-12-15,46,False
2019-12-22,0,False
2019-12-29,0,False
2020-01-05,45,False
2020-01-12,0,False
2020-01-19,42,False
2020-01-26,83,False
2020-02-02,0,False
2020-02-09,43,False
2020-02-16,42,False
2020-02-23,39,False
2020-03-01,39,False
2020-03-08,38,False
2020-03-15,0,False
2020-03-22,0,False
2020-03-29,0,False
2020-04-05,58,False
2020-04-12,0,False
2020-04-19,36,False
2020-04-26,0,True
