date,conversation en anglais,isPartial
2018-01-07,0,False
2018-01-14,47,False
2018-01-21,61,False
2018-01-28,78,False
2018-02-04,31,False
2018-02-11,0,False
2018-02-18,45,False
2018-02-25,33,False
2018-03-04,0,False
2018-03-11,0,False
2018-03-18,32,False
2018-03-25,32,False
2018-04-01,33,False
2018-04-08,32,False
2018-04-15,69,False
2018-04-22,51,False
2018-04-29,33,False
2018-05-06,69,False
2018-05-13,47,False
2018-05-20,43,False
2018-05-27,62,False
2018-06-03,31,False
2018-06-10,0,False
2018-06-17,61,False
2018-06-24,47,False
2018-07-01,71,False
2018-07-08,33,False
2018-07-15,35,False
2018-07-22,36,False
2018-07-29,75,False
2018-08-05,52,False
2018-08-12,82,False
2018-08-19,0,False
2018-08-26,67,False
2018-09-02,43,False
2018-09-09,52,False
2018-09-16,46,False
2018-09-23,47,False
2018-09-30,31,False
2018-10-07,46,False
2018-10-14,60,False
2018-10-21,46,False
2018-10-28,33,False
2018-11-04,0,False
2018-11-11,59,False
2018-11-18,41,False
2018-11-25,94,False
2018-12-02,72,False
2018-12-09,32,False
2018-12-16,32,False
2018-12-23,39,False
2018-12-30,36,False
2019-01-06,47,False
2019-01-13,94,False
2019-01-20,31,False
2019-01-27,46,False
2019-02-03,44,False
2019-02-10,62,False
2019-02-17,62,False
2019-02-24,32,False
2019-03-03,31,False
2019-03-10,32,False
2019-03-17,64,False
2019-03-24,55,False
2019-03-31,32,False
2019-04-07,33,False
2019-04-14,34,False
2019-04-21,0,False
2019-04-28,35,False
2019-05-05,69,False
2019-05-12,50,False
2019-05-19,33,False
2019-05-26,34,False
2019-06-02,60,False
2019-06-09,66,False
2019-06-16,49,False
2019-06-23,33,False
2019-06-30,33,False
2019-07-07,0,False
2019-07-14,36,False
2019-07-21,0,False
2019-07-28,100,False
2019-08-04,42,False
2019-08-11,88,False
2019-08-18,0,False
2019-08-25,36,False
2019-09-01,65,False
2019-09-08,43,False
2019-09-15,32,False
2019-09-22,52,False
2019-09-29,46,False
2019-10-06,47,False
2019-10-13,31,False
2019-10-20,32,False
2019-10-27,0,False
2019-11-03,31,False
2019-11-10,63,False
2019-11-17,31,False
2019-11-24,30,False
2019-12-01,45,False
2019-12-08,30,False
2019-12-15,78,False
2019-12-22,38,False
2019-12-29,53,False
2020-01-05,30,False
2020-01-12,40,False
2020-01-19,62,False
2020-01-26,50,False
2020-02-02,30,False
2020-02-09,51,False
2020-02-16,42,False
2020-02-23,73,False
2020-03-01,44,False
2020-03-08,29,False
2020-03-15,46,False
2020-03-22,31,False
2020-03-29,31,False
2020-04-05,61,False
2020-04-12,32,False
2020-04-19,45,False
2020-04-26,60,False
2020-05-03,29,False
2020-05-10,30,False
2020-05-17,90,True
