date,cheminee moderne,isPartial
2018-01-07,69,False
2018-01-14,35,False
2018-01-21,34,False
2018-01-28,34,False
2018-02-04,34,False
2018-02-11,35,False
2018-02-18,37,False
2018-02-25,37,False
2018-03-04,35,False
2018-03-11,0,False
2018-03-18,0,False
2018-03-25,36,False
2018-04-01,0,False
2018-04-08,53,False
2018-04-15,38,False
2018-04-22,37,False
2018-04-29,73,False
2018-05-06,76,False
2018-05-13,47,False
2018-05-20,0,False
2018-05-27,68,False
2018-06-03,0,False
2018-06-10,0,False
2018-06-17,0,False
2018-06-24,0,False
2018-07-01,34,False
2018-07-08,36,False
2018-07-15,39,False
2018-07-22,0,False
2018-07-29,42,False
2018-08-05,43,False
2018-08-12,45,False
2018-08-19,42,False
2018-08-26,37,False
2018-09-02,0,False
2018-09-09,70,False
2018-09-16,34,False
2018-09-23,69,False
2018-09-30,52,False
2018-10-07,69,False
2018-10-14,50,False
2018-10-21,51,False
2018-10-28,0,False
2018-11-04,34,False
2018-11-11,33,False
2018-11-18,34,False
2018-11-25,35,False
2018-12-02,34,False
2018-12-09,35,False
2018-12-16,36,False
2018-12-23,0,False
2018-12-30,40,False
2019-01-06,0,False
2019-01-13,35,False
2019-01-20,67,False
2019-01-27,34,False
2019-02-03,33,False
2019-02-10,0,False
2019-02-17,0,False
2019-02-24,0,False
2019-03-03,34,False
2019-03-10,0,False
2019-03-17,53,False
2019-03-24,0,False
2019-03-31,0,False
2019-04-07,0,False
2019-04-14,0,False
2019-04-21,40,False
2019-04-28,39,False
2019-05-05,38,False
2019-05-12,0,False
2019-05-19,0,False
2019-05-26,0,False
2019-06-02,0,False
2019-06-09,0,False
2019-06-16,0,False
2019-06-23,37,False
2019-06-30,37,False
2019-07-07,0,False
2019-07-14,79,False
2019-07-21,0,False
2019-07-28,0,False
2019-08-04,46,False
2019-08-11,0,False
2019-08-18,0,False
2019-08-25,40,False
2019-09-01,72,False
2019-09-08,36,False
2019-09-15,35,False
2019-09-22,34,False
2019-09-29,0,False
2019-10-06,35,False
2019-10-13,35,False
2019-10-20,0,False
2019-10-27,0,False
2019-11-03,34,False
2019-11-10,35,False
2019-11-17,35,False
2019-11-24,34,False
2019-12-01,33,False
2019-12-08,67,False
2019-12-15,35,False
2019-12-22,42,False
2019-12-29,39,False
2020-01-05,33,False
2020-01-12,33,False
2020-01-19,34,False
2020-01-26,67,False
2020-02-02,34,False
2020-02-09,0,False
2020-02-16,0,False
2020-02-23,0,False
2020-03-01,32,False
2020-03-08,32,False
2020-03-15,35,False
2020-03-22,0,False
2020-03-29,0,False
2020-04-05,0,False
2020-04-12,35,False
2020-04-19,34,False
2020-04-26,0,False
2020-05-03,31,False
2020-05-10,100,False
2020-05-17,40,True
