date,ville ricevimenti,isPartial
2018-01-07,100,False
2018-01-14,69,False
2018-01-21,49,False
2018-01-28,68,False
2018-02-04,48,False
2018-02-11,29,False
2018-02-18,38,False
2018-02-25,56,False
2018-03-04,57,False
2018-03-11,96,False
2018-03-18,48,False
2018-03-25,30,False
2018-04-01,42,False
2018-04-08,49,False
2018-04-15,50,False
2018-04-22,41,False
2018-04-29,49,False
2018-05-06,19,False
2018-05-13,39,False
2018-05-20,39,False
2018-05-27,50,False
2018-06-03,30,False
2018-06-10,38,False
2018-06-17,29,False
2018-06-24,39,False
2018-07-01,19,False
2018-07-08,20,False
2018-07-15,40,False
2018-07-22,20,False
2018-07-29,20,False
2018-08-05,42,False
2018-08-12,0,False
2018-08-19,43,False
2018-08-26,0,False
2018-09-02,29,False
2018-09-09,38,False
2018-09-16,38,False
2018-09-23,29,False
2018-09-30,77,False
2018-10-07,20,False
2018-10-14,70,False
2018-10-21,48,False
2018-10-28,38,False
2018-11-04,66,False
2018-11-11,29,False
2018-11-18,38,False
2018-11-25,59,False
2018-12-02,59,False
2018-12-09,20,False
2018-12-16,0,False
2018-12-23,35,False
2018-12-30,21,False
2019-01-06,29,False
2019-01-13,86,False
2019-01-20,46,False
2019-01-27,45,False
2019-02-03,46,False
2019-02-10,19,False
2019-02-17,38,False
2019-02-24,66,False
2019-03-03,39,False
2019-03-10,29,False
2019-03-17,20,False
2019-03-24,49,False
2019-03-31,19,False
2019-04-07,19,False
2019-04-14,59,False
2019-04-21,41,False
2019-04-28,19,False
2019-05-05,74,False
2019-05-12,74,False
2019-05-19,28,False
2019-05-26,27,False
2019-06-02,86,False
2019-06-09,29,False
2019-06-16,29,False
2019-06-23,20,False
2019-06-30,39,False
2019-07-07,38,False
2019-07-14,49,False
2019-07-21,20,False
2019-07-28,40,False
2019-08-04,41,False
2019-08-11,66,False
2019-08-18,20,False
2019-08-25,19,False
2019-09-01,88,False
2019-09-08,46,False
2019-09-15,27,False
2019-09-22,89,False
2019-09-29,18,False
2019-10-06,55,False
2019-10-13,36,False
2019-10-20,18,False
2019-10-27,18,False
2019-11-03,43,False
2019-11-10,35,False
2019-11-17,44,False
2019-11-24,35,False
2019-12-01,18,False
2019-12-08,18,False
2019-12-15,18,False
2019-12-22,21,False
2019-12-29,0,False
2020-01-05,45,False
2020-01-12,75,False
2020-01-19,25,False
2020-01-26,25,False
2020-02-02,25,False
2020-02-09,34,False
2020-02-16,34,False
2020-02-23,16,False
2020-03-01,48,False
2020-03-08,0,False
2020-03-15,15,False
2020-03-22,0,False
2020-03-29,0,False
2020-04-05,16,False
2020-04-12,0,False
2020-04-19,15,False
2020-04-26,26,True
