date,Composizioni floreali,isPartial
2018-01-07,28,False
2018-01-14,69,False
2018-01-21,54,False
2018-01-28,27,False
2018-02-04,27,False
2018-02-11,54,False
2018-02-18,0,False
2018-02-25,52,False
2018-03-04,25,False
2018-03-11,65,False
2018-03-18,79,False
2018-03-25,27,False
2018-04-01,43,False
2018-04-08,78,False
2018-04-15,27,False
2018-04-22,0,False
2018-04-29,41,False
2018-05-06,52,False
2018-05-13,39,False
2018-05-20,78,False
2018-05-27,26,False
2018-06-03,53,False
2018-06-10,26,False
2018-06-17,0,False
2018-06-24,27,False
2018-07-01,27,False
2018-07-08,27,False
2018-07-15,83,False
2018-07-22,28,False
2018-07-29,29,False
2018-08-05,64,False
2018-08-12,36,False
2018-08-19,70,False
2018-08-26,28,False
2018-09-02,77,False
2018-09-09,51,False
2018-09-16,38,False
2018-09-23,38,False
2018-09-30,51,False
2018-10-07,65,False
2018-10-14,52,False
2018-10-21,51,False
2018-10-28,63,False
2018-11-04,48,False
2018-11-11,51,False
2018-11-18,25,False
2018-11-25,25,False
2018-12-02,26,False
2018-12-09,25,False
2018-12-16,26,False
2018-12-23,0,False
2018-12-30,30,False
2019-01-06,52,False
2019-01-13,37,False
2019-01-20,49,False
2019-01-27,49,False
2019-02-03,37,False
2019-02-10,25,False
2019-02-17,25,False
2019-02-24,26,False
2019-03-03,26,False
2019-03-10,51,False
2019-03-17,39,False
2019-03-24,66,False
2019-03-31,53,False
2019-04-07,51,False
2019-04-14,27,False
2019-04-21,59,False
2019-04-28,67,False
2019-05-05,25,False
2019-05-12,100,False
2019-05-19,37,False
2019-05-26,0,False
2019-06-02,26,False
2019-06-09,26,False
2019-06-16,26,False
2019-06-23,54,False
2019-06-30,0,False
2019-07-07,26,False
2019-07-14,0,False
2019-07-21,42,False
2019-07-28,0,False
2019-08-04,31,False
2019-08-11,35,False
2019-08-18,0,False
2019-08-25,58,False
2019-09-01,50,False
2019-09-08,25,False
2019-09-15,25,False
2019-09-22,36,False
2019-09-29,24,False
2019-10-06,49,False
2019-10-13,24,False
2019-10-20,35,False
2019-10-27,83,False
2019-11-03,46,False
2019-11-10,47,False
2019-11-17,23,False
2019-11-24,0,False
2019-12-01,47,False
2019-12-08,24,False
2019-12-15,49,False
2019-12-22,29,False
2019-12-29,42,False
2020-01-05,36,False
2020-01-12,22,False
2020-01-19,46,False
2020-01-26,66,False
2020-02-02,44,False
2020-02-09,34,False
2020-02-16,22,False
2020-02-23,42,False
2020-03-01,42,False
2020-03-08,63,False
2020-03-15,0,False
2020-03-22,20,False
2020-03-29,21,False
2020-04-05,64,False
2020-04-12,22,False
2020-04-19,41,False
2020-04-26,71,True
