date,composizioni floreali,isPartial
2018-01-07,27,False
2018-01-14,27,False
2018-01-21,26,False
2018-01-28,0,False
2018-02-04,0,False
2018-02-11,51,False
2018-02-18,36,False
2018-02-25,47,False
2018-03-04,47,False
2018-03-11,24,False
2018-03-18,73,False
2018-03-25,52,False
2018-04-01,27,False
2018-04-08,48,False
2018-04-15,25,False
2018-04-22,39,False
2018-04-29,25,False
2018-05-06,24,False
2018-05-13,36,False
2018-05-20,24,False
2018-05-27,0,False
2018-06-03,25,False
2018-06-10,24,False
2018-06-17,24,False
2018-06-24,25,False
2018-07-01,25,False
2018-07-08,25,False
2018-07-15,0,False
2018-07-22,26,False
2018-07-29,0,False
2018-08-05,41,False
2018-08-12,0,False
2018-08-19,0,False
2018-08-26,29,False
2018-09-02,50,False
2018-09-09,0,False
2018-09-16,46,False
2018-09-23,24,False
2018-09-30,24,False
2018-10-07,49,False
2018-10-14,24,False
2018-10-21,0,False
2018-10-28,24,False
2018-11-04,0,False
2018-11-11,24,False
2018-11-18,24,False
2018-11-25,24,False
2018-12-02,22,False
2018-12-09,37,False
2018-12-16,26,False
2018-12-23,0,False
2018-12-30,28,False
2019-01-06,27,False
2019-01-13,0,False
2019-01-20,25,False
2019-01-27,22,False
2019-02-03,39,False
2019-02-10,0,False
2019-02-17,27,False
2019-02-24,59,False
2019-03-03,84,False
2019-03-10,41,False
2019-03-17,0,False
2019-03-24,67,False
2019-03-31,53,False
2019-04-07,100,False
2019-04-14,26,False
2019-04-21,30,False
2019-04-28,26,False
2019-05-05,47,False
2019-05-12,26,False
2019-05-19,25,False
2019-05-26,25,False
2019-06-02,26,False
2019-06-09,39,False
2019-06-16,27,False
2019-06-23,0,False
2019-06-30,57,False
2019-07-07,26,False
2019-07-14,57,False
2019-07-21,28,False
2019-07-28,30,False
2019-08-04,0,False
2019-08-11,0,False
2019-08-18,33,False
2019-08-25,29,False
2019-09-01,0,False
2019-09-08,0,False
2019-09-15,25,False
2019-09-22,0,False
2019-09-29,25,False
2019-10-06,26,False
2019-10-13,26,False
2019-10-20,38,False
2019-10-27,26,False
2019-11-03,25,False
2019-11-10,0,False
2019-11-17,0,False
2019-11-24,25,False
2019-12-01,0,False
2019-12-08,0,False
2019-12-15,52,False
2019-12-22,0,False
2019-12-29,0,False
2020-01-05,39,False
2020-01-12,0,False
2020-01-19,24,False
2020-01-26,24,False
2020-02-02,47,False
2020-02-09,24,False
2020-02-16,24,False
2020-02-23,47,False
2020-03-01,23,False
2020-03-08,45,False
2020-03-15,0,False
2020-03-22,21,False
2020-03-29,22,False
2020-04-05,23,False
2020-04-12,23,False
2020-04-19,0,False
2020-04-26,0,True
