date,composizioni floreali,isPartial
2018-01-07,22,False
2018-01-14,42,False
2018-01-21,0,False
2018-01-28,21,False
2018-02-04,21,False
2018-02-11,42,False
2018-02-18,0,False
2018-02-25,40,False
2018-03-04,0,False
2018-03-11,60,False
2018-03-18,61,False
2018-03-25,21,False
2018-04-01,22,False
2018-04-08,81,False
2018-04-15,0,False
2018-04-22,0,False
2018-04-29,21,False
2018-05-06,20,False
2018-05-13,40,False
2018-05-20,100,False
2018-05-27,0,False
2018-06-03,20,False
2018-06-10,20,False
2018-06-17,0,False
2018-06-24,21,False
2018-07-01,21,False
2018-07-08,0,False
2018-07-15,63,False
2018-07-22,22,False
2018-07-29,0,False
2018-08-05,49,False
2018-08-12,0,False
2018-08-19,0,False
2018-08-26,0,False
2018-09-02,59,False
2018-09-09,39,False
2018-09-16,39,False
2018-09-23,20,False
2018-09-30,39,False
2018-10-07,20,False
2018-10-14,40,False
2018-10-21,58,False
2018-10-28,39,False
2018-11-04,37,False
2018-11-11,39,False
2018-11-18,19,False
2018-11-25,20,False
2018-12-02,20,False
2018-12-09,19,False
2018-12-16,20,False
2018-12-23,0,False
2018-12-30,23,False
2019-01-06,60,False
2019-01-13,38,False
2019-01-20,38,False
2019-01-27,38,False
2019-02-03,19,False
2019-02-10,0,False
2019-02-17,0,False
2019-02-24,20,False
2019-03-03,20,False
2019-03-10,0,False
2019-03-17,40,False
2019-03-24,41,False
2019-03-31,0,False
2019-04-07,0,False
2019-04-14,21,False
2019-04-21,45,False
2019-04-28,21,False
2019-05-05,0,False
2019-05-12,77,False
2019-05-19,38,False
2019-05-26,0,False
2019-06-02,0,False
2019-06-09,20,False
2019-06-16,20,False
2019-06-23,62,False
2019-06-30,0,False
2019-07-07,20,False
2019-07-14,0,False
2019-07-21,43,False
2019-07-28,0,False
2019-08-04,24,False
2019-08-11,0,False
2019-08-18,0,False
2019-08-25,44,False
2019-09-01,38,False
2019-09-08,19,False
2019-09-15,19,False
2019-09-22,18,False
2019-09-29,0,False
2019-10-06,37,False
2019-10-13,19,False
2019-10-20,18,False
2019-10-27,37,False
2019-11-03,53,False
2019-11-10,36,False
2019-11-17,18,False
2019-11-24,0,False
2019-12-01,0,False
2019-12-08,0,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,43,False
2020-01-05,18,False
2020-01-12,0,False
2020-01-19,35,False
2020-01-26,34,False
2020-02-02,17,False
2020-02-09,17,False
2020-02-16,17,False
2020-02-23,16,False
2020-03-01,32,False
2020-03-08,48,False
2020-03-15,0,False
2020-03-22,16,False
2020-03-29,16,False
2020-04-05,0,False
2020-04-12,0,False
2020-04-19,32,False
2020-04-26,0,True
