date,Heizung Wartung,isPartial
2018-01-07,94,False
2018-01-14,77,False
2018-01-21,63,False
2018-01-28,31,False
2018-02-04,64,False
2018-02-11,48,False
2018-02-18,47,False
2018-02-25,31,False
2018-03-04,48,False
2018-03-11,0,False
2018-03-18,31,False
2018-03-25,34,False
2018-04-01,0,False
2018-04-08,0,False
2018-04-15,32,False
2018-04-22,0,False
2018-04-29,33,False
2018-05-06,33,False
2018-05-13,0,False
2018-05-20,33,False
2018-05-27,0,False
2018-06-03,62,False
2018-06-10,30,False
2018-06-17,31,False
2018-06-24,63,False
2018-07-01,31,False
2018-07-08,60,False
2018-07-15,48,False
2018-07-22,32,False
2018-07-29,33,False
2018-08-05,0,False
2018-08-12,0,False
2018-08-19,32,False
2018-08-26,31,False
2018-09-02,32,False
2018-09-09,63,False
2018-09-16,32,False
2018-09-23,65,False
2018-09-30,32,False
2018-10-07,80,False
2018-10-14,48,False
2018-10-21,65,False
2018-10-28,31,False
2018-11-04,31,False
2018-11-11,61,False
2018-11-18,74,False
2018-11-25,31,False
2018-12-02,45,False
2018-12-09,30,False
2018-12-16,47,False
2018-12-23,36,False
2018-12-30,66,False
2019-01-06,44,False
2019-01-13,43,False
2019-01-20,58,False
2019-01-27,0,False
2019-02-03,29,False
2019-02-10,60,False
2019-02-17,30,False
2019-02-24,61,False
2019-03-03,30,False
2019-03-10,28,False
2019-03-17,76,False
2019-03-24,30,False
2019-03-31,30,False
2019-04-07,31,False
2019-04-14,66,False
2019-04-21,64,False
2019-04-28,45,False
2019-05-05,29,False
2019-05-12,30,False
2019-05-19,59,False
2019-05-26,46,False
2019-06-02,0,False
2019-06-09,90,False
2019-06-16,31,False
2019-06-23,61,False
2019-06-30,59,False
2019-07-07,0,False
2019-07-14,47,False
2019-07-21,0,False
2019-07-28,33,False
2019-08-04,100,False
2019-08-11,0,False
2019-08-18,47,False
2019-08-25,30,False
2019-09-01,44,False
2019-09-08,60,False
2019-09-15,61,False
2019-09-22,29,False
2019-09-29,59,False
2019-10-06,58,False
2019-10-13,73,False
2019-10-20,44,False
2019-10-27,43,False
2019-11-03,82,False
2019-11-10,28,False
2019-11-17,27,False
2019-11-24,27,False
2019-12-01,42,False
2019-12-08,55,False
2019-12-15,28,False
2019-12-22,0,False
2019-12-29,45,False
2020-01-05,80,False
2020-01-12,90,False
2020-01-19,40,False
2020-01-26,53,False
2020-02-02,77,False
2020-02-09,25,False
2020-02-16,27,False
2020-02-23,26,False
2020-03-01,51,False
2020-03-08,36,False
2020-03-15,24,False
2020-03-22,48,False
2020-03-29,0,False
2020-04-05,26,False
2020-04-12,75,False
2020-04-19,48,False
2020-04-26,0,False
2020-05-03,24,False
2020-05-10,0,False
