date,Heizung Wartung,isPartial
2018-01-07,23,False
2018-01-14,22,False
2018-01-21,22,False
2018-01-28,46,False
2018-02-04,47,False
2018-02-11,23,False
2018-02-18,46,False
2018-02-25,0,False
2018-03-04,39,False
2018-03-11,46,False
2018-03-18,23,False
2018-03-25,49,False
2018-04-01,100,False
2018-04-08,24,False
2018-04-15,24,False
2018-04-22,24,False
2018-04-29,0,False
2018-05-06,0,False
2018-05-13,0,False
2018-05-20,0,False
2018-05-27,25,False
2018-06-03,0,False
2018-06-10,23,False
2018-06-17,47,False
2018-06-24,48,False
2018-07-01,23,False
2018-07-08,0,False
2018-07-15,0,False
2018-07-22,0,False
2018-07-29,25,False
2018-08-05,0,False
2018-08-12,0,False
2018-08-19,26,False
2018-08-26,0,False
2018-09-02,49,False
2018-09-09,0,False
2018-09-16,47,False
2018-09-23,24,False
2018-09-30,24,False
2018-10-07,23,False
2018-10-14,23,False
2018-10-21,23,False
2018-10-28,23,False
2018-11-04,45,False
2018-11-11,0,False
2018-11-18,36,False
2018-11-25,22,False
2018-12-02,22,False
2018-12-09,22,False
2018-12-16,35,False
2018-12-23,0,False
2018-12-30,24,False
2019-01-06,0,False
2019-01-13,28,False
2019-01-20,32,False
2019-01-27,32,False
2019-02-03,21,False
2019-02-10,22,False
2019-02-17,22,False
2019-02-24,22,False
2019-03-03,22,False
2019-03-10,21,False
2019-03-17,22,False
2019-03-24,22,False
2019-03-31,44,False
2019-04-07,22,False
2019-04-14,0,False
2019-04-21,46,False
2019-04-28,22,False
2019-05-05,21,False
2019-05-12,22,False
2019-05-19,21,False
2019-05-26,22,False
2019-06-02,22,False
2019-06-09,23,False
2019-06-16,0,False
2019-06-23,22,False
2019-06-30,33,False
2019-07-07,42,False
2019-07-14,22,False
2019-07-21,23,False
2019-07-28,46,False
2019-08-04,49,False
2019-08-11,23,False
2019-08-18,0,False
2019-08-25,37,False
2019-09-01,23,False
2019-09-08,22,False
2019-09-15,22,False
2019-09-22,21,False
2019-09-29,0,False
2019-10-06,21,False
2019-10-13,0,False
2019-10-20,21,False
2019-10-27,21,False
2019-11-03,20,False
2019-11-10,41,False
2019-11-17,20,False
2019-11-24,40,False
2019-12-01,0,False
2019-12-08,40,False
2019-12-15,21,False
2019-12-22,24,False
2019-12-29,45,False
2020-01-05,20,False
2020-01-12,19,False
2020-01-19,39,False
2020-01-26,29,False
2020-02-02,39,False
2020-02-09,26,False
2020-02-16,20,False
2020-02-23,19,False
2020-03-01,19,False
2020-03-08,0,False
2020-03-15,17,False
2020-03-22,17,False
2020-03-29,26,False
2020-04-05,19,False
2020-04-12,55,False
2020-04-19,18,False
2020-04-26,0,False
2020-05-03,17,False
2020-05-10,17,False
