date,conseil jardinage,isPartial
2018-01-07,32,False
2018-01-14,32,False
2018-01-21,0,False
2018-01-28,32,False
2018-02-04,48,False
2018-02-11,0,False
2018-02-18,33,False
2018-02-25,33,False
2018-03-04,32,False
2018-03-11,33,False
2018-03-18,33,False
2018-03-25,33,False
2018-04-01,100,False
2018-04-08,50,False
2018-04-15,35,False
2018-04-22,34,False
2018-04-29,0,False
2018-05-06,0,False
2018-05-13,33,False
2018-05-20,34,False
2018-05-27,64,False
2018-06-03,33,False
2018-06-10,63,False
2018-06-17,33,False
2018-06-24,33,False
2018-07-01,0,False
2018-07-08,0,False
2018-07-15,0,False
2018-07-22,0,False
2018-07-29,0,False
2018-08-05,0,False
2018-08-12,38,False
2018-08-19,36,False
2018-08-26,69,False
2018-09-02,68,False
2018-09-09,0,False
2018-09-16,0,False
2018-09-23,34,False
2018-09-30,33,False
2018-10-07,0,False
2018-10-14,34,False
2018-10-21,0,False
2018-10-28,34,False
2018-11-04,33,False
2018-11-11,32,False
2018-11-18,32,False
2018-11-25,33,False
2018-12-02,33,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,0,False
2019-01-13,33,False
2019-01-20,31,False
2019-01-27,31,False
2019-02-03,0,False
2019-02-10,33,False
2019-02-17,51,False
2019-02-24,33,False
2019-03-03,0,False
2019-03-10,0,False
2019-03-17,34,False
2019-03-24,68,False
2019-03-31,33,False
2019-04-07,33,False
2019-04-14,0,False
2019-04-21,0,False
2019-04-28,0,False
2019-05-05,64,False
2019-05-12,64,False
2019-05-19,32,False
2019-05-26,0,False
2019-06-02,31,False
2019-06-09,31,False
2019-06-16,33,False
2019-06-23,32,False
2019-06-30,0,False
2019-07-07,0,False
2019-07-14,0,False
2019-07-21,34,False
2019-07-28,0,False
2019-08-04,0,False
2019-08-11,34,False
2019-08-18,0,False
2019-08-25,33,False
2019-09-01,0,False
2019-09-08,31,False
2019-09-15,0,False
2019-09-22,30,False
2019-09-29,0,False
2019-10-06,30,False
2019-10-13,30,False
2019-10-20,0,False
2019-10-27,30,False
2019-11-03,0,False
2019-11-10,29,False
2019-11-17,0,False
2019-11-24,0,False
2019-12-01,0,False
2019-12-08,0,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,32,False
2020-01-05,29,False
2020-01-12,28,False
2020-01-19,57,False
2020-01-26,28,False
2020-02-02,28,False
2020-02-09,0,False
2020-02-16,29,False
2020-02-23,28,False
2020-03-01,68,False
2020-03-08,0,False
2020-03-15,52,False
2020-03-22,76,False
2020-03-29,0,False
2020-04-05,25,False
2020-04-12,26,False
2020-04-19,34,False
2020-04-26,24,False
2020-05-03,96,False
2020-05-10,38,False
2020-05-17,54,False
2020-05-24,35,False
2020-05-31,25,False
2020-06-07,25,False
2020-06-14,0,False
2020-06-21,0,True
