date,depannage volet roulant,isPartial
2018-01-07,28,False
2018-01-14,0,False
2018-01-21,28,False
2018-01-28,0,False
2018-02-04,0,False
2018-02-11,29,False
2018-02-18,0,False
2018-02-25,30,False
2018-03-04,0,False
2018-03-11,0,False
2018-03-18,0,False
2018-03-25,0,False
2018-04-01,0,False
2018-04-08,29,False
2018-04-15,0,False
2018-04-22,0,False
2018-04-29,30,False
2018-05-06,0,False
2018-05-13,58,False
2018-05-20,29,False
2018-05-27,28,False
2018-06-03,0,False
2018-06-10,0,False
2018-06-17,0,False
2018-06-24,29,False
2018-07-01,0,False
2018-07-08,0,False
2018-07-15,0,False
2018-07-22,0,False
2018-07-29,0,False
2018-08-05,36,False
2018-08-12,0,False
2018-08-19,0,False
2018-08-26,31,False
2018-09-02,30,False
2018-09-09,0,False
2018-09-16,0,False
2018-09-23,0,False
2018-09-30,28,False
2018-10-07,38,False
2018-10-14,27,False
2018-10-21,0,False
2018-10-28,30,False
2018-11-04,57,False
2018-11-11,27,False
2018-11-18,0,False
2018-11-25,0,False
2018-12-02,42,False
2018-12-09,29,False
2018-12-16,29,False
2018-12-23,0,False
2018-12-30,33,False
2019-01-06,0,False
2019-01-13,0,False
2019-01-20,0,False
2019-01-27,28,False
2019-02-03,26,False
2019-02-10,84,False
2019-02-17,28,False
2019-02-24,29,False
2019-03-03,57,False
2019-03-10,0,False
2019-03-17,0,False
2019-03-24,30,False
2019-03-31,0,False
2019-04-07,0,False
2019-04-14,31,False
2019-04-21,33,False
2019-04-28,0,False
2019-05-05,0,False
2019-05-12,30,False
2019-05-19,0,False
2019-05-26,0,False
2019-06-02,55,False
2019-06-09,0,False
2019-06-16,30,False
2019-06-23,0,False
2019-06-30,30,False
2019-07-07,0,False
2019-07-14,33,False
2019-07-21,0,False
2019-07-28,0,False
2019-08-04,77,False
2019-08-11,0,False
2019-08-18,38,False
2019-08-25,66,False
2019-09-01,29,False
2019-09-08,30,False
2019-09-15,29,False
2019-09-22,28,False
2019-09-29,28,False
2019-10-06,29,False
2019-10-13,0,False
2019-10-20,30,False
2019-10-27,30,False
2019-11-03,0,False
2019-11-10,29,False
2019-11-17,29,False
2019-11-24,0,False
2019-12-01,27,False
2019-12-08,0,False
2019-12-15,0,False
2019-12-22,69,False
2019-12-29,32,False
2020-01-05,0,False
2020-01-12,27,False
2020-01-19,28,False
2020-01-26,0,False
2020-02-02,28,False
2020-02-09,0,False
2020-02-16,29,False
2020-02-23,27,False
2020-03-01,0,False
2020-03-08,26,False
2020-03-15,28,False
2020-03-22,0,False
2020-03-29,0,False
2020-04-05,28,False
2020-04-12,29,False
2020-04-19,28,False
2020-04-26,27,False
2020-05-03,0,False
2020-05-10,27,False
2020-05-17,28,False
2020-05-24,0,False
2020-05-31,0,False
2020-06-07,0,False
2020-06-14,0,False
2020-06-21,100,True
