date,depannage volet roulant,isPartial
2018-01-07,48,False
2018-01-14,48,False
2018-01-21,56,False
2018-01-28,29,False
2018-02-04,29,False
2018-02-11,29,False
2018-02-18,30,False
2018-02-25,29,False
2018-03-04,43,False
2018-03-11,29,False
2018-03-18,44,False
2018-03-25,29,False
2018-04-01,60,False
2018-04-08,49,False
2018-04-15,47,False
2018-04-22,31,False
2018-04-29,60,False
2018-05-06,31,False
2018-05-13,59,False
2018-05-20,30,False
2018-05-27,48,False
2018-06-03,0,False
2018-06-10,28,False
2018-06-17,44,False
2018-06-24,29,False
2018-07-01,0,False
2018-07-08,60,False
2018-07-15,63,False
2018-07-22,48,False
2018-07-29,53,False
2018-08-05,53,False
2018-08-12,83,False
2018-08-19,80,False
2018-08-26,46,False
2018-09-02,30,False
2018-09-09,0,False
2018-09-16,58,False
2018-09-23,30,False
2018-09-30,40,False
2018-10-07,44,False
2018-10-14,45,False
2018-10-21,50,False
2018-10-28,61,False
2018-11-04,48,False
2018-11-11,73,False
2018-11-18,38,False
2018-11-25,43,False
2018-12-02,48,False
2018-12-09,49,False
2018-12-16,100,False
2018-12-23,34,False
2018-12-30,32,False
2019-01-06,58,False
2019-01-13,58,False
2019-01-20,71,False
2019-01-27,28,False
2019-02-03,70,False
2019-02-10,39,False
2019-02-17,50,False
2019-02-24,30,False
2019-03-03,57,False
2019-03-10,29,False
2019-03-17,30,False
2019-03-24,30,False
2019-03-31,29,False
2019-04-07,30,False
2019-04-14,45,False
2019-04-21,90,False
2019-04-28,0,False
2019-05-05,57,False
2019-05-12,0,False
2019-05-19,47,False
2019-05-26,29,False
2019-06-02,90,False
2019-06-09,28,False
2019-06-16,68,False
2019-06-23,57,False
2019-06-30,29,False
2019-07-07,28,False
2019-07-14,69,False
2019-07-21,61,False
2019-07-28,31,False
2019-08-04,72,False
2019-08-11,30,False
2019-08-18,51,False
2019-08-25,86,False
2019-09-01,28,False
2019-09-08,28,False
2019-09-15,56,False
2019-09-22,45,False
2019-09-29,36,False
2019-10-06,41,False
2019-10-13,40,False
2019-10-20,41,False
2019-10-27,62,False
2019-11-03,53,False
2019-11-10,44,False
2019-11-17,26,False
2019-11-24,25,False
2019-12-01,60,False
2019-12-08,26,False
2019-12-15,26,False
2019-12-22,29,False
2019-12-29,47,False
2020-01-05,25,False
2020-01-12,0,False
2020-01-19,38,False
2020-01-26,38,False
2020-02-02,38,False
2020-02-09,50,False
2020-02-16,51,False
2020-02-23,0,False
2020-03-01,73,False
2020-03-08,24,False
2020-03-15,69,False
2020-03-22,22,False
2020-03-29,33,False
2020-04-05,22,False
2020-04-12,35,False
2020-04-19,23,False
2020-04-26,43,False
2020-05-03,50,False
2020-05-10,34,False
2020-05-17,24,False
2020-05-24,55,False
2020-05-31,30,False
2020-06-07,23,False
2020-06-14,46,False
2020-06-21,0,True
