date,Lehmputz,isPartial
2018-01-07,55,False
2018-01-14,49,False
2018-01-21,49,False
2018-01-28,50,False
2018-02-04,33,False
2018-02-11,67,False
2018-02-18,83,False
2018-02-25,49,False
2018-03-04,66,False
2018-03-11,33,False
2018-03-18,90,False
2018-03-25,68,False
2018-04-01,45,False
2018-04-08,68,False
2018-04-15,52,False
2018-04-22,54,False
2018-04-29,34,False
2018-05-06,52,False
2018-05-13,33,False
2018-05-20,35,False
2018-05-27,48,False
2018-06-03,66,False
2018-06-10,79,False
2018-06-17,32,False
2018-06-24,33,False
2018-07-01,57,False
2018-07-08,35,False
2018-07-15,36,False
2018-07-22,52,False
2018-07-29,33,False
2018-08-05,63,False
2018-08-12,62,False
2018-08-19,31,False
2018-08-26,48,False
2018-09-02,82,False
2018-09-09,32,False
2018-09-16,49,False
2018-09-23,33,False
2018-09-30,34,False
2018-10-07,46,False
2018-10-14,33,False
2018-10-21,47,False
2018-10-28,42,False
2018-11-04,32,False
2018-11-11,65,False
2018-11-18,53,False
2018-11-25,32,False
2018-12-02,0,False
2018-12-09,65,False
2018-12-16,50,False
2018-12-23,49,False
2018-12-30,45,False
2019-01-06,45,False
2019-01-13,0,False
2019-01-20,61,False
2019-01-27,51,False
2019-02-03,61,False
2019-02-10,47,False
2019-02-17,31,False
2019-02-24,64,False
2019-03-03,72,False
2019-03-10,60,False
2019-03-17,94,False
2019-03-24,32,False
2019-03-31,64,False
2019-04-07,100,False
2019-04-14,70,False
2019-04-21,33,False
2019-04-28,48,False
2019-05-05,31,False
2019-05-12,48,False
2019-05-19,0,False
2019-05-26,79,False
2019-06-02,31,False
2019-06-09,31,False
2019-06-16,31,False
2019-06-23,47,False
2019-06-30,0,False
2019-07-07,79,False
2019-07-14,50,False
2019-07-21,35,False
2019-07-28,54,False
2019-08-04,32,False
2019-08-11,29,False
2019-08-18,31,False
2019-08-25,60,False
2019-09-01,30,False
2019-09-08,30,False
2019-09-15,30,False
2019-09-22,90,False
2019-09-29,46,False
2019-10-06,45,False
2019-10-13,44,False
2019-10-20,90,False
2019-10-27,58,False
2019-11-03,57,False
2019-11-10,0,False
2019-11-17,0,False
2019-11-24,47,False
2019-12-01,85,False
2019-12-08,43,False
2019-12-15,44,False
2019-12-22,31,False
2019-12-29,44,False
2020-01-05,0,False
2020-01-12,53,False
2020-01-19,42,False
2020-01-26,27,False
2020-02-02,68,False
2020-02-09,80,False
2020-02-16,55,False
2020-02-23,27,False
2020-03-01,37,False
2020-03-08,51,False
2020-03-15,50,False
2020-03-22,51,False
2020-03-29,38,False
2020-04-05,41,False
2020-04-12,44,False
2020-04-19,25,False
2020-04-26,41,False
2020-05-03,42,False
2020-05-10,50,False
