date,Lehmputz,isPartial
2018-01-07,43,False
2018-01-14,28,False
2018-01-21,57,False
2018-01-28,44,False
2018-02-04,59,False
2018-02-11,29,False
2018-02-18,44,False
2018-02-25,29,False
2018-03-04,39,False
2018-03-11,39,False
2018-03-18,45,False
2018-03-25,31,False
2018-04-01,32,False
2018-04-08,30,False
2018-04-15,0,False
2018-04-22,45,False
2018-04-29,31,False
2018-05-06,31,False
2018-05-13,30,False
2018-05-20,33,False
2018-05-27,32,False
2018-06-03,31,False
2018-06-10,29,False
2018-06-17,30,False
2018-06-24,30,False
2018-07-01,0,False
2018-07-08,59,False
2018-07-15,40,False
2018-07-22,61,False
2018-07-29,31,False
2018-08-05,48,False
2018-08-12,0,False
2018-08-19,100,False
2018-08-26,65,False
2018-09-02,46,False
2018-09-09,31,False
2018-09-16,30,False
2018-09-23,46,False
2018-09-30,30,False
2018-10-07,40,False
2018-10-14,30,False
2018-10-21,29,False
2018-10-28,44,False
2018-11-04,28,False
2018-11-11,29,False
2018-11-18,82,False
2018-11-25,71,False
2018-12-02,0,False
2018-12-09,56,False
2018-12-16,29,False
2018-12-23,34,False
2018-12-30,61,False
2019-01-06,41,False
2019-01-13,54,False
2019-01-20,40,False
2019-01-27,36,False
2019-02-03,80,False
2019-02-10,55,False
2019-02-17,56,False
2019-02-24,42,False
2019-03-03,28,False
2019-03-10,54,False
2019-03-17,28,False
2019-03-24,37,False
2019-03-31,37,False
2019-04-07,28,False
2019-04-14,30,False
2019-04-21,0,False
2019-04-28,42,False
2019-05-05,81,False
2019-05-12,56,False
2019-05-19,27,False
2019-05-26,43,False
2019-06-02,57,False
2019-06-09,29,False
2019-06-16,29,False
2019-06-23,56,False
2019-06-30,55,False
2019-07-07,40,False
2019-07-14,0,False
2019-07-21,29,False
2019-07-28,49,False
2019-08-04,31,False
2019-08-11,50,False
2019-08-18,62,False
2019-08-25,41,False
2019-09-01,39,False
2019-09-08,42,False
2019-09-15,28,False
2019-09-22,41,False
2019-09-29,55,False
2019-10-06,54,False
2019-10-13,53,False
2019-10-20,40,False
2019-10-27,62,False
2019-11-03,90,False
2019-11-10,39,False
2019-11-17,60,False
2019-11-24,34,False
2019-12-01,26,False
2019-12-08,26,False
2019-12-15,67,False
2019-12-22,31,False
2019-12-29,87,False
2020-01-05,43,False
2020-01-12,49,False
2020-01-19,38,False
2020-01-26,41,False
2020-02-02,25,False
2020-02-09,57,False
2020-02-16,0,False
2020-02-23,25,False
2020-03-01,40,False
2020-03-08,53,False
2020-03-15,44,False
2020-03-22,22,False
2020-03-29,55,False
2020-04-05,24,False
2020-04-12,23,False
2020-04-19,67,False
2020-04-26,22,False
2020-05-03,59,False
2020-05-10,29,False
