date,floristería,isPartial
2018-01-07,34,False
2018-01-14,0,False
2018-01-21,33,False
2018-01-28,66,False
2018-02-04,0,False
2018-02-11,34,False
2018-02-18,0,False
2018-02-25,33,False
2018-03-04,34,False
2018-03-11,33,False
2018-03-18,0,False
2018-03-25,42,False
2018-04-01,41,False
2018-04-08,33,False
2018-04-15,0,False
2018-04-22,33,False
2018-04-29,0,False
2018-05-06,65,False
2018-05-13,0,False
2018-05-20,34,False
2018-05-27,33,False
2018-06-03,0,False
2018-06-10,48,False
2018-06-17,0,False
2018-06-24,37,False
2018-07-01,37,False
2018-07-08,37,False
2018-07-15,76,False
2018-07-22,0,False
2018-07-29,44,False
2018-08-05,45,False
2018-08-12,48,False
2018-08-19,0,False
2018-08-26,41,False
2018-09-02,36,False
2018-09-09,35,False
2018-09-16,0,False
2018-09-23,66,False
2018-09-30,33,False
2018-10-07,0,False
2018-10-14,33,False
2018-10-21,0,False
2018-10-28,70,False
2018-11-04,33,False
2018-11-11,0,False
2018-11-18,33,False
2018-11-25,33,False
2018-12-02,0,False
2018-12-09,67,False
2018-12-16,67,False
2018-12-23,60,False
2018-12-30,38,False
2019-01-06,33,False
2019-01-13,0,False
2019-01-20,31,False
2019-01-27,31,False
2019-02-03,65,False
2019-02-10,81,False
2019-02-17,33,False
2019-02-24,33,False
2019-03-03,100,False
2019-03-10,33,False
2019-03-17,68,False
2019-03-24,0,False
2019-03-31,31,False
2019-04-07,32,False
2019-04-14,38,False
2019-04-21,56,False
2019-04-28,66,False
2019-05-05,64,False
2019-05-12,46,False
2019-05-19,31,False
2019-05-26,31,False
2019-06-02,46,False
2019-06-09,94,False
2019-06-16,67,False
2019-06-23,69,False
2019-06-30,0,False
2019-07-07,69,False
2019-07-14,72,False
2019-07-21,38,False
2019-07-28,41,False
2019-08-04,86,False
2019-08-11,0,False
2019-08-18,86,False
2019-08-25,75,False
2019-09-01,34,False
2019-09-08,63,False
2019-09-15,61,False
2019-09-22,45,False
2019-09-29,59,False
2019-10-06,60,False
2019-10-13,0,False
2019-10-20,29,False
2019-10-27,29,False
2019-11-03,42,False
2019-11-10,28,False
2019-11-17,0,False
2019-11-24,0,False
2019-12-01,61,False
2019-12-08,57,False
2019-12-15,29,False
2019-12-22,0,False
2019-12-29,0,False
2020-01-05,29,False
2020-01-12,53,False
2020-01-19,27,False
2020-01-26,27,False
2020-02-02,26,False
2020-02-09,81,False
2020-02-16,97,False
2020-02-23,54,False
2020-03-01,39,False
2020-03-08,0,False
2020-03-15,26,False
2020-03-22,23,False
2020-03-29,22,False
2020-04-05,96,False
2020-04-12,63,True
