date,floristería,isPartial
2018-01-07,18,False
2018-01-14,27,False
2018-01-21,18,False
2018-01-28,40,False
2018-02-04,31,False
2018-02-11,59,False
2018-02-18,41,False
2018-02-25,18,False
2018-03-04,26,False
2018-03-11,22,False
2018-03-18,23,False
2018-03-25,12,False
2018-04-01,22,False
2018-04-08,26,False
2018-04-15,26,False
2018-04-22,13,False
2018-04-29,100,False
2018-05-06,48,False
2018-05-13,37,False
2018-05-20,22,False
2018-05-27,39,False
2018-06-03,26,False
2018-06-10,35,False
2018-06-17,23,False
2018-06-24,19,False
2018-07-01,19,False
2018-07-08,29,False
2018-07-15,21,False
2018-07-22,49,False
2018-07-29,34,False
2018-08-05,36,False
2018-08-12,13,False
2018-08-19,12,False
2018-08-26,11,False
2018-09-02,32,False
2018-09-09,31,False
2018-09-16,26,False
2018-09-23,43,False
2018-09-30,30,False
2018-10-07,64,False
2018-10-14,34,False
2018-10-21,34,False
2018-10-28,45,False
2018-11-04,31,False
2018-11-11,24,False
2018-11-18,36,False
2018-11-25,16,False
2018-12-02,30,False
2018-12-09,17,False
2018-12-16,22,False
2018-12-23,21,False
2018-12-30,23,False
2019-01-06,9,False
2019-01-13,25,False
2019-01-20,47,False
2019-01-27,41,False
2019-02-03,21,False
2019-02-10,87,False
2019-02-17,29,False
2019-02-24,15,False
2019-03-03,26,False
2019-03-10,22,False
2019-03-17,43,False
2019-03-24,26,False
2019-03-31,25,False
2019-04-07,30,False
2019-04-14,37,False
2019-04-21,25,False
2019-04-28,58,False
2019-05-05,72,False
2019-05-12,34,False
2019-05-19,25,False
2019-05-26,48,False
2019-06-02,32,False
2019-06-09,67,False
2019-06-16,51,False
2019-06-23,26,False
2019-06-30,28,False
2019-07-07,39,False
2019-07-14,24,False
2019-07-21,33,False
2019-07-28,11,False
2019-08-04,35,False
2019-08-11,38,False
2019-08-18,24,False
2019-08-25,56,False
2019-09-01,20,False
2019-09-08,16,False
2019-09-15,23,False
2019-09-22,28,False
2019-09-29,28,False
2019-10-06,12,False
2019-10-13,11,False
2019-10-20,27,False
2019-10-27,48,False
2019-11-03,30,False
2019-11-10,18,False
2019-11-17,22,False
2019-11-24,25,False
2019-12-01,40,False
2019-12-08,16,False
2019-12-15,39,False
2019-12-22,32,False
2019-12-29,51,False
2020-01-05,43,False
2020-01-12,21,False
2020-01-19,43,False
2020-01-26,36,False
2020-02-02,25,False
2020-02-09,99,False
2020-02-16,29,False
2020-02-23,29,False
2020-03-01,46,False
2020-03-08,10,False
2020-03-15,7,False
2020-03-22,14,False
2020-03-29,28,False
2020-04-05,26,False
2020-04-12,42,True
