date,empresas mensajería,isPartial
2018-01-07,47,False
2018-01-14,36,False
2018-01-21,0,False
2018-01-28,35,False
2018-02-04,35,False
2018-02-11,0,False
2018-02-18,72,False
2018-02-25,34,False
2018-03-04,34,False
2018-03-11,35,False
2018-03-18,0,False
2018-03-25,39,False
2018-04-01,0,False
2018-04-08,34,False
2018-04-15,35,False
2018-04-22,0,False
2018-04-29,36,False
2018-05-06,35,False
2018-05-13,36,False
2018-05-20,0,False
2018-05-27,35,False
2018-06-03,51,False
2018-06-10,66,False
2018-06-17,0,False
2018-06-24,36,False
2018-07-01,36,False
2018-07-08,36,False
2018-07-15,37,False
2018-07-22,37,False
2018-07-29,56,False
2018-08-05,0,False
2018-08-12,0,False
2018-08-19,0,False
2018-08-26,37,False
2018-09-02,0,False
2018-09-09,35,False
2018-09-16,0,False
2018-09-23,34,False
2018-09-30,69,False
2018-10-07,72,False
2018-10-14,34,False
2018-10-21,35,False
2018-10-28,35,False
2018-11-04,0,False
2018-11-11,51,False
2018-11-18,0,False
2018-11-25,68,False
2018-12-02,36,False
2018-12-09,53,False
2018-12-16,36,False
2018-12-23,41,False
2018-12-30,0,False
2019-01-06,35,False
2019-01-13,0,False
2019-01-20,32,False
2019-01-27,0,False
2019-02-03,34,False
2019-02-10,34,False
2019-02-17,57,False
2019-02-24,0,False
2019-03-03,0,False
2019-03-10,0,False
2019-03-17,0,False
2019-03-24,35,False
2019-03-31,66,False
2019-04-07,50,False
2019-04-14,35,False
2019-04-21,68,False
2019-04-28,0,False
2019-05-05,0,False
2019-05-12,100,False
2019-05-19,0,False
2019-05-26,32,False
2019-06-02,32,False
2019-06-09,49,False
2019-06-16,51,False
2019-06-23,70,False
2019-06-30,0,False
2019-07-07,33,False
2019-07-14,35,False
2019-07-21,53,False
2019-07-28,73,False
2019-08-04,36,False
2019-08-11,37,False
2019-08-18,53,False
2019-08-25,34,False
2019-09-01,0,False
2019-09-08,32,False
2019-09-15,31,False
2019-09-22,0,False
2019-09-29,32,False
2019-10-06,31,False
2019-10-13,31,False
2019-10-20,62,False
2019-10-27,31,False
2019-11-03,0,False
2019-11-10,30,False
2019-11-17,0,False
2019-11-24,30,False
2019-12-01,32,False
2019-12-08,64,False
2019-12-15,0,False
2019-12-22,34,False
2019-12-29,34,False
2020-01-05,62,False
2020-01-12,38,False
2020-01-19,38,False
2020-01-26,44,False
2020-02-02,30,False
2020-02-09,30,False
2020-02-16,0,False
2020-02-23,43,False
2020-03-01,56,False
2020-03-08,27,False
2020-03-15,55,False
2020-03-22,90,False
2020-03-29,51,False
2020-04-05,41,False
2020-04-12,35,False
2020-04-19,25,False
2020-04-26,43,False
2020-05-03,76,False
2020-05-10,42,False
2020-05-17,76,True
