date,entrenador personal,isPartial
2018-01-07,34,False
2018-01-14,0,False
2018-01-21,66,False
2018-01-28,33,False
2018-02-04,33,False
2018-02-11,0,False
2018-02-18,34,False
2018-02-25,0,False
2018-03-04,0,False
2018-03-11,0,False
2018-03-18,35,False
2018-03-25,0,False
2018-04-01,53,False
2018-04-08,33,False
2018-04-15,0,False
2018-04-22,32,False
2018-04-29,34,False
2018-05-06,32,False
2018-05-13,34,False
2018-05-20,34,False
2018-05-27,33,False
2018-06-03,32,False
2018-06-10,32,False
2018-06-17,35,False
2018-06-24,0,False
2018-07-01,0,False
2018-07-08,35,False
2018-07-15,37,False
2018-07-22,0,False
2018-07-29,37,False
2018-08-05,74,False
2018-08-12,0,False
2018-08-19,56,False
2018-08-26,54,False
2018-09-02,33,False
2018-09-09,48,False
2018-09-16,33,False
2018-09-23,0,False
2018-09-30,50,False
2018-10-07,34,False
2018-10-14,32,False
2018-10-21,0,False
2018-10-28,0,False
2018-11-04,0,False
2018-11-11,33,False
2018-11-18,0,False
2018-11-25,0,False
2018-12-02,0,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,39,False
2018-12-30,39,False
2019-01-06,0,False
2019-01-13,65,False
2019-01-20,30,False
2019-01-27,32,False
2019-02-03,33,False
2019-02-10,33,False
2019-02-17,0,False
2019-02-24,0,False
2019-03-03,33,False
2019-03-10,67,False
2019-03-17,34,False
2019-03-24,0,False
2019-03-31,31,False
2019-04-07,68,False
2019-04-14,0,False
2019-04-21,100,False
2019-04-28,0,False
2019-05-05,33,False
2019-05-12,49,False
2019-05-19,0,False
2019-05-26,0,False
2019-06-02,0,False
2019-06-09,32,False
2019-06-16,65,False
2019-06-23,66,False
2019-06-30,33,False
2019-07-07,50,False
2019-07-14,0,False
2019-07-21,0,False
2019-07-28,54,False
2019-08-04,0,False
2019-08-11,36,False
2019-08-18,35,False
2019-08-25,65,False
2019-09-01,31,False
2019-09-08,29,False
2019-09-15,32,False
2019-09-22,31,False
2019-09-29,30,False
2019-10-06,0,False
2019-10-13,45,False
2019-10-20,29,False
2019-10-27,30,False
2019-11-03,0,False
2019-11-10,58,False
2019-11-17,0,False
2019-11-24,28,False
2019-12-01,29,False
2019-12-08,0,False
2019-12-15,29,False
2019-12-22,0,False
2019-12-29,32,False
2020-01-05,0,False
2020-01-12,53,False
2020-01-19,38,False
2020-01-26,41,False
2020-02-02,0,False
2020-02-09,68,False
2020-02-16,27,False
2020-02-23,26,False
2020-03-01,26,False
2020-03-08,25,False
2020-03-15,23,False
2020-03-22,0,False
2020-03-29,42,False
2020-04-05,24,False
2020-04-12,22,False
2020-04-19,32,False
2020-04-26,67,False
2020-05-03,22,False
2020-05-10,0,False
2020-05-17,26,True
