date,entrenador personal,isPartial
2018-01-07,57,False
2018-01-14,0,False
2018-01-21,0,False
2018-01-28,0,False
2018-02-04,54,False
2018-02-11,77,False
2018-02-18,0,False
2018-02-25,74,False
2018-03-04,36,False
2018-03-11,0,False
2018-03-18,35,False
2018-03-25,0,False
2018-04-01,52,False
2018-04-08,47,False
2018-04-15,45,False
2018-04-22,32,False
2018-04-29,30,False
2018-05-06,30,False
2018-05-13,31,False
2018-05-20,29,False
2018-05-27,28,False
2018-06-03,0,False
2018-06-10,0,False
2018-06-17,28,False
2018-06-24,46,False
2018-07-01,67,False
2018-07-08,26,False
2018-07-15,26,False
2018-07-22,51,False
2018-07-29,25,False
2018-08-05,40,False
2018-08-12,24,False
2018-08-19,44,False
2018-08-26,26,False
2018-09-02,26,False
2018-09-09,39,False
2018-09-16,27,False
2018-09-23,28,False
2018-09-30,43,False
2018-10-07,29,False
2018-10-14,58,False
2018-10-21,32,False
2018-10-28,69,False
2018-11-04,35,False
2018-11-11,73,False
2018-11-18,36,False
2018-11-25,37,False
2018-12-02,60,False
2018-12-09,39,False
2018-12-16,40,False
2018-12-23,0,False
2018-12-30,90,False
2019-01-06,39,False
2019-01-13,57,False
2019-01-20,35,False
2019-01-27,36,False
2019-02-03,0,False
2019-02-10,37,False
2019-02-17,37,False
2019-02-24,57,False
2019-03-03,0,False
2019-03-10,0,False
2019-03-17,71,False
2019-03-24,35,False
2019-03-31,66,False
2019-04-07,0,False
2019-04-14,31,False
2019-04-21,31,False
2019-04-28,75,False
2019-05-05,45,False
2019-05-12,29,False
2019-05-19,28,False
2019-05-26,27,False
2019-06-02,26,False
2019-06-09,34,False
2019-06-16,40,False
2019-06-23,27,False
2019-06-30,35,False
2019-07-07,25,False
2019-07-14,25,False
2019-07-21,25,False
2019-07-28,25,False
2019-08-04,0,False
2019-08-11,36,False
2019-08-18,24,False
2019-08-25,35,False
2019-09-01,24,False
2019-09-08,23,False
2019-09-15,25,False
2019-09-22,50,False
2019-09-29,39,False
2019-10-06,38,False
2019-10-13,26,False
2019-10-20,26,False
2019-10-27,40,False
2019-11-03,0,False
2019-11-10,30,False
2019-11-17,31,False
2019-11-24,32,False
2019-12-01,33,False
2019-12-08,34,False
2019-12-15,100,False
2019-12-22,0,False
2019-12-29,37,False
2020-01-05,33,False
2020-01-12,0,False
2020-01-19,40,False
2020-01-26,31,False
2020-02-02,46,False
2020-02-09,30,False
2020-02-16,0,False
2020-02-23,45,False
2020-03-01,71,False
2020-03-08,27,False
2020-03-15,25,False
2020-03-22,48,False
2020-03-29,48,False
2020-04-05,0,False
2020-04-12,0,False
2020-04-19,25,False
2020-04-26,25,False
2020-05-03,37,False
2020-05-10,52,False
2020-05-17,31,True
