date,confettata matrimonio,isPartial
2018-01-07,37,False
2018-01-14,73,False
2018-01-21,24,False
2018-01-28,72,False
2018-02-04,60,False
2018-02-11,36,False
2018-02-18,23,False
2018-02-25,23,False
2018-03-04,35,False
2018-03-11,71,False
2018-03-18,59,False
2018-03-25,50,False
2018-04-01,78,False
2018-04-08,48,False
2018-04-15,24,False
2018-04-22,51,False
2018-04-29,49,False
2018-05-06,48,False
2018-05-13,24,False
2018-05-20,61,False
2018-05-27,49,False
2018-06-03,49,False
2018-06-10,35,False
2018-06-17,72,False
2018-06-24,73,False
2018-07-01,48,False
2018-07-08,24,False
2018-07-15,25,False
2018-07-22,37,False
2018-07-29,50,False
2018-08-05,26,False
2018-08-12,55,False
2018-08-19,54,False
2018-08-26,37,False
2018-09-02,36,False
2018-09-09,48,False
2018-09-16,35,False
2018-09-23,24,False
2018-09-30,36,False
2018-10-07,24,False
2018-10-14,49,False
2018-10-21,24,False
2018-10-28,24,False
2018-11-04,23,False
2018-11-11,12,False
2018-11-18,12,False
2018-11-25,0,False
2018-12-02,24,False
2018-12-09,24,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,60,False
2019-01-13,24,False
2019-01-20,23,False
2019-01-27,22,False
2019-02-03,23,False
2019-02-10,46,False
2019-02-17,35,False
2019-02-24,23,False
2019-03-03,49,False
2019-03-10,12,False
2019-03-17,60,False
2019-03-24,84,False
2019-03-31,48,False
2019-04-07,47,False
2019-04-14,24,False
2019-04-21,26,False
2019-04-28,48,False
2019-05-05,0,False
2019-05-12,46,False
2019-05-19,68,False
2019-05-26,100,False
2019-06-02,59,False
2019-06-09,36,False
2019-06-16,48,False
2019-06-23,24,False
2019-06-30,85,False
2019-07-07,59,False
2019-07-14,49,False
2019-07-21,37,False
2019-07-28,25,False
2019-08-04,13,False
2019-08-11,0,False
2019-08-18,25,False
2019-08-25,58,False
2019-09-01,33,False
2019-09-08,34,False
2019-09-15,11,False
2019-09-22,77,False
2019-09-29,22,False
2019-10-06,11,False
2019-10-13,11,False
2019-10-20,22,False
2019-10-27,0,False
2019-11-03,11,False
2019-11-10,11,False
2019-11-17,32,False
2019-11-24,0,False
2019-12-01,11,False
2019-12-08,11,False
2019-12-15,11,False
2019-12-22,0,False
2019-12-29,37,False
2020-01-05,55,False
2020-01-12,21,False
2020-01-19,63,False
2020-01-26,21,False
2020-02-02,61,False
2020-02-09,21,False
2020-02-16,21,False
2020-02-23,29,False
2020-03-01,20,False
2020-03-08,0,False
2020-03-15,0,False
2020-03-22,0,False
2020-03-29,0,False
2020-04-05,0,False
2020-04-12,0,False
2020-04-19,9,False
2020-04-26,0,True
