date,Steingarten,isPartial
2018-01-07,0,False
2018-01-14,24,False
2018-01-21,0,False
2018-01-28,25,False
2018-02-04,13,False
2018-02-11,25,False
2018-02-18,12,False
2018-02-25,0,False
2018-03-04,24,False
2018-03-11,18,False
2018-03-18,12,False
2018-03-25,26,False
2018-04-01,20,False
2018-04-08,66,False
2018-04-15,53,False
2018-04-22,52,False
2018-04-29,48,False
2018-05-06,54,False
2018-05-13,32,False
2018-05-20,40,False
2018-05-27,33,False
2018-06-03,26,False
2018-06-10,25,False
2018-06-17,25,False
2018-06-24,31,False
2018-07-01,38,False
2018-07-08,19,False
2018-07-15,39,False
2018-07-22,26,False
2018-07-29,81,False
2018-08-05,26,False
2018-08-12,34,False
2018-08-19,26,False
2018-08-26,25,False
2018-09-02,26,False
2018-09-09,0,False
2018-09-16,26,False
2018-09-23,13,False
2018-09-30,0,False
2018-10-07,19,False
2018-10-14,0,False
2018-10-21,13,False
2018-10-28,13,False
2018-11-04,12,False
2018-11-11,0,False
2018-11-18,0,False
2018-11-25,12,False
2018-12-02,25,False
2018-12-09,0,False
2018-12-16,13,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,0,False
2019-01-13,0,False
2019-01-20,12,False
2019-01-27,12,False
2019-02-03,12,False
2019-02-10,12,False
2019-02-17,0,False
2019-02-24,0,False
2019-03-03,18,False
2019-03-10,34,False
2019-03-17,30,False
2019-03-24,48,False
2019-03-31,31,False
2019-04-07,43,False
2019-04-14,66,False
2019-04-21,39,False
2019-04-28,31,False
2019-05-05,35,False
2019-05-12,18,False
2019-05-19,36,False
2019-05-26,53,False
2019-06-02,49,False
2019-06-09,13,False
2019-06-16,0,False
2019-06-23,44,False
2019-06-30,25,False
2019-07-07,12,False
2019-07-14,13,False
2019-07-21,20,False
2019-07-28,19,False
2019-08-04,39,False
2019-08-11,32,False
2019-08-18,18,False
2019-08-25,24,False
2019-09-01,12,False
2019-09-08,24,False
2019-09-15,12,False
2019-09-22,12,False
2019-09-29,11,False
2019-10-06,23,False
2019-10-13,12,False
2019-10-20,12,False
2019-10-27,0,False
2019-11-03,11,False
2019-11-10,22,False
2019-11-17,0,False
2019-11-24,11,False
2019-12-01,0,False
2019-12-08,11,False
2019-12-15,11,False
2019-12-22,0,False
2019-12-29,12,False
2020-01-05,0,False
2020-01-12,0,False
2020-01-19,10,False
2020-01-26,10,False
2020-02-02,0,False
2020-02-09,10,False
2020-02-16,21,False
2020-02-23,20,False
2020-03-01,20,False
2020-03-08,29,False
2020-03-15,35,False
2020-03-22,24,False
2020-03-29,44,False
2020-04-05,59,False
2020-04-12,82,False
2020-04-19,65,False
2020-04-26,100,False
2020-05-03,82,False
2020-05-10,51,False
2020-05-17,38,False
2020-05-24,41,False
2020-05-31,41,False
2020-06-07,46,False
2020-06-14,30,False
2020-06-21,36,False
2020-06-28,21,False
2020-07-05,16,False
