date,medecin naturopathe,isPartial
2018-01-07,37,False
2018-01-14,56,False
2018-01-21,56,False
2018-01-28,0,False
2018-02-04,37,False
2018-02-11,28,False
2018-02-18,58,False
2018-02-25,19,False
2018-03-04,47,False
2018-03-11,57,False
2018-03-18,38,False
2018-03-25,29,False
2018-04-01,30,False
2018-04-08,38,False
2018-04-15,31,False
2018-04-22,100,False
2018-04-29,29,False
2018-05-06,20,False
2018-05-13,57,False
2018-05-20,59,False
2018-05-27,19,False
2018-06-03,57,False
2018-06-10,18,False
2018-06-17,38,False
2018-06-24,0,False
2018-07-01,38,False
2018-07-08,20,False
2018-07-15,21,False
2018-07-22,21,False
2018-07-29,21,False
2018-08-05,21,False
2018-08-12,0,False
2018-08-19,42,False
2018-08-26,60,False
2018-09-02,20,False
2018-09-09,58,False
2018-09-16,39,False
2018-09-23,29,False
2018-09-30,58,False
2018-10-07,29,False
2018-10-14,39,False
2018-10-21,29,False
2018-10-28,59,False
2018-11-04,75,False
2018-11-11,38,False
2018-11-18,0,False
2018-11-25,38,False
2018-12-02,19,False
2018-12-09,0,False
2018-12-16,30,False
2018-12-23,0,False
2018-12-30,21,False
2019-01-06,0,False
2019-01-13,19,False
2019-01-20,28,False
2019-01-27,37,False
2019-02-03,37,False
2019-02-10,29,False
2019-02-17,20,False
2019-02-24,58,False
2019-03-03,0,False
2019-03-10,38,False
2019-03-17,68,False
2019-03-24,39,False
2019-03-31,47,False
2019-04-07,48,False
2019-04-14,49,False
2019-04-21,20,False
2019-04-28,38,False
2019-05-05,28,False
2019-05-12,28,False
2019-05-19,28,False
2019-05-26,38,False
2019-06-02,18,False
2019-06-09,18,False
2019-06-16,19,False
2019-06-23,28,False
2019-06-30,0,False
2019-07-07,38,False
2019-07-14,39,False
2019-07-21,20,False
2019-07-28,41,False
2019-08-04,20,False
2019-08-11,40,False
2019-08-18,0,False
2019-08-25,28,False
2019-09-01,27,False
2019-09-08,45,False
2019-09-15,45,False
2019-09-22,52,False
2019-09-29,52,False
2019-10-06,53,False
2019-10-13,53,False
2019-10-20,18,False
2019-10-27,35,False
2019-11-03,17,False
2019-11-10,17,False
2019-11-17,34,False
2019-11-24,50,False
2019-12-01,0,False
2019-12-08,25,False
2019-12-15,17,False
2019-12-22,19,False
2019-12-29,36,False
2020-01-05,33,False
2020-01-12,32,False
2020-01-19,34,False
2020-01-26,33,False
2020-02-02,16,False
2020-02-09,33,False
2020-02-16,33,False
2020-02-23,48,False
2020-03-01,0,False
2020-03-08,0,False
2020-03-15,30,False
2020-03-22,15,False
2020-03-29,29,False
2020-04-05,15,False
2020-04-12,15,False
2020-04-19,15,False
2020-04-26,21,False
2020-05-03,14,False
2020-05-10,30,False
2020-05-17,36,True
