date,Balkon,isPartial
2018-01-07,7,False
2018-01-14,11,False
2018-01-21,4,False
2018-01-28,15,False
2018-02-04,8,False
2018-02-11,15,False
2018-02-18,19,False
2018-02-25,16,False
2018-03-04,7,False
2018-03-11,22,False
2018-03-18,37,False
2018-03-25,31,False
2018-04-01,57,False
2018-04-08,51,False
2018-04-15,67,False
2018-04-22,67,False
2018-04-29,55,False
2018-05-06,40,False
2018-05-13,19,False
2018-05-20,16,False
2018-05-27,36,False
2018-06-03,30,False
2018-06-10,11,False
2018-06-17,20,False
2018-06-24,15,False
2018-07-01,23,False
2018-07-08,8,False
2018-07-15,23,False
2018-07-22,20,False
2018-07-29,16,False
2018-08-05,8,False
2018-08-12,31,False
2018-08-19,15,False
2018-08-26,11,False
2018-09-02,8,False
2018-09-09,16,False
2018-09-16,11,False
2018-09-23,16,False
2018-09-30,21,False
2018-10-07,9,False
2018-10-14,9,False
2018-10-21,14,False
2018-10-28,13,False
2018-11-04,12,False
2018-11-11,19,False
2018-11-18,9,False
2018-11-25,5,False
2018-12-02,4,False
2018-12-09,0,False
2018-12-16,10,False
2018-12-23,5,False
2018-12-30,11,False
2019-01-06,7,False
2019-01-13,7,False
2019-01-20,10,False
2019-01-27,7,False
2019-02-03,21,False
2019-02-10,11,False
2019-02-17,11,False
2019-02-24,36,False
2019-03-03,33,False
2019-03-10,36,False
2019-03-17,40,False
2019-03-24,51,False
2019-03-31,18,False
2019-04-07,36,False
2019-04-14,27,False
2019-04-21,49,False
2019-04-28,36,False
2019-05-05,21,False
2019-05-12,28,False
2019-05-19,38,False
2019-05-26,35,False
2019-06-02,36,False
2019-06-09,44,False
2019-06-16,29,False
2019-06-23,29,False
2019-06-30,21,False
2019-07-07,28,False
2019-07-14,22,False
2019-07-21,42,False
2019-07-28,22,False
2019-08-04,15,False
2019-08-11,11,False
2019-08-18,11,False
2019-08-25,14,False
2019-09-01,21,False
2019-09-08,22,False
2019-09-15,8,False
2019-09-22,30,False
2019-09-29,4,False
2019-10-06,8,False
2019-10-13,12,False
2019-10-20,8,False
2019-10-27,19,False
2019-11-03,8,False
2019-11-10,11,False
2019-11-17,11,False
2019-11-24,27,False
2019-12-01,8,False
2019-12-08,12,False
2019-12-15,8,False
2019-12-22,9,False
2019-12-29,3,False
2020-01-05,6,False
2020-01-12,13,False
2020-01-19,4,False
2020-01-26,7,False
2020-02-02,10,False
2020-02-09,13,False
2020-02-16,7,False
2020-02-23,28,False
2020-03-01,21,False
2020-03-08,24,False
2020-03-15,36,False
2020-03-22,32,False
2020-03-29,39,False
2020-04-05,87,False
2020-04-12,100,False
2020-04-19,93,False
2020-04-26,61,False
2020-05-03,73,False
2020-05-10,62,False
2020-05-17,69,False
2020-05-24,43,False
2020-05-31,30,False
2020-06-07,52,False
2020-06-14,27,False
2020-06-21,30,False
2020-06-28,34,False
2020-07-05,43,False
