date,Wasserschadensanierung,isPartial
2018-01-07,0,False
2018-01-14,0,False
2018-01-21,37,False
2018-01-28,37,False
2018-02-04,58,False
2018-02-11,0,False
2018-02-18,38,False
2018-02-25,38,False
2018-03-04,38,False
2018-03-11,0,False
2018-03-18,38,False
2018-03-25,0,False
2018-04-01,0,False
2018-04-08,0,False
2018-04-15,0,False
2018-04-22,0,False
2018-04-29,0,False
2018-05-06,79,False
2018-05-13,75,False
2018-05-20,0,False
2018-05-27,76,False
2018-06-03,38,False
2018-06-10,0,False
2018-06-17,0,False
2018-06-24,38,False
2018-07-01,0,False
2018-07-08,0,False
2018-07-15,39,False
2018-07-22,40,False
2018-07-29,40,False
2018-08-05,40,False
2018-08-12,0,False
2018-08-19,0,False
2018-08-26,38,False
2018-09-02,0,False
2018-09-09,0,False
2018-09-16,0,False
2018-09-23,0,False
2018-09-30,0,False
2018-10-07,38,False
2018-10-14,78,False
2018-10-21,39,False
2018-10-28,76,False
2018-11-04,37,False
2018-11-11,74,False
2018-11-18,36,False
2018-11-25,0,False
2018-12-02,37,False
2018-12-09,37,False
2018-12-16,0,False
2018-12-23,43,False
2018-12-30,0,False
2019-01-06,71,False
2019-01-13,35,False
2019-01-20,70,False
2019-01-27,35,False
2019-02-03,0,False
2019-02-10,36,False
2019-02-17,36,False
2019-02-24,37,False
2019-03-03,36,False
2019-03-10,0,False
2019-03-17,55,False
2019-03-24,37,False
2019-03-31,71,False
2019-04-07,36,False
2019-04-14,40,False
2019-04-21,38,False
2019-04-28,0,False
2019-05-05,35,False
2019-05-12,0,False
2019-05-19,35,False
2019-05-26,37,False
2019-06-02,36,False
2019-06-09,37,False
2019-06-16,37,False
2019-06-23,0,False
2019-06-30,36,False
2019-07-07,71,False
2019-07-14,38,False
2019-07-21,0,False
2019-07-28,79,False
2019-08-04,40,False
2019-08-11,0,False
2019-08-18,0,False
2019-08-25,0,False
2019-09-01,71,False
2019-09-08,0,False
2019-09-15,37,False
2019-09-22,35,False
2019-09-29,36,False
2019-10-06,35,False
2019-10-13,35,False
2019-10-20,0,False
2019-10-27,35,False
2019-11-03,100,False
2019-11-10,34,False
2019-11-17,33,False
2019-11-24,32,False
2019-12-01,33,False
2019-12-08,34,False
2019-12-15,34,False
2019-12-22,0,False
2019-12-29,36,False
2020-01-05,65,False
2020-01-12,31,False
2020-01-19,32,False
2020-01-26,0,False
2020-02-02,31,False
2020-02-09,61,False
2020-02-16,32,False
2020-02-23,31,False
2020-03-01,31,False
2020-03-08,29,False
2020-03-15,29,False
2020-03-22,29,False
2020-03-29,0,False
2020-04-05,47,False
2020-04-12,0,False
2020-04-19,59,False
2020-04-26,0,False
2020-05-03,29,False
2020-05-10,89,False
