date,Wasserschadensanierung,isPartial
2018-01-07,58,False
2018-01-14,23,False
2018-01-21,69,False
2018-01-28,57,False
2018-02-04,95,False
2018-02-11,36,False
2018-02-18,24,False
2018-02-25,47,False
2018-03-04,23,False
2018-03-11,70,False
2018-03-18,59,False
2018-03-25,25,False
2018-04-01,50,False
2018-04-08,36,False
2018-04-15,100,False
2018-04-22,47,False
2018-04-29,49,False
2018-05-06,25,False
2018-05-13,35,False
2018-05-20,0,False
2018-05-27,24,False
2018-06-03,48,False
2018-06-10,46,False
2018-06-17,23,False
2018-06-24,0,False
2018-07-01,71,False
2018-07-08,24,False
2018-07-15,25,False
2018-07-22,49,False
2018-07-29,49,False
2018-08-05,60,False
2018-08-12,49,False
2018-08-19,25,False
2018-08-26,24,False
2018-09-02,36,False
2018-09-09,24,False
2018-09-16,36,False
2018-09-23,35,False
2018-09-30,48,False
2018-10-07,35,False
2018-10-14,0,False
2018-10-21,47,False
2018-10-28,23,False
2018-11-04,22,False
2018-11-11,46,False
2018-11-18,0,False
2018-11-25,23,False
2018-12-02,0,False
2018-12-09,23,False
2018-12-16,23,False
2018-12-23,54,False
2018-12-30,0,False
2019-01-06,55,False
2019-01-13,32,False
2019-01-20,54,False
2019-01-27,22,False
2019-02-03,45,False
2019-02-10,22,False
2019-02-17,22,False
2019-02-24,80,False
2019-03-03,44,False
2019-03-10,98,False
2019-03-17,34,False
2019-03-24,34,False
2019-03-31,23,False
2019-04-07,44,False
2019-04-14,49,False
2019-04-21,36,False
2019-04-28,23,False
2019-05-05,22,False
2019-05-12,34,False
2019-05-19,88,False
2019-05-26,46,False
2019-06-02,33,False
2019-06-09,34,False
2019-06-16,35,False
2019-06-23,34,False
2019-06-30,56,False
2019-07-07,44,False
2019-07-14,35,False
2019-07-21,36,False
2019-07-28,24,False
2019-08-04,24,False
2019-08-11,45,False
2019-08-18,35,False
2019-08-25,34,False
2019-09-01,44,False
2019-09-08,23,False
2019-09-15,45,False
2019-09-22,22,False
2019-09-29,44,False
2019-10-06,22,False
2019-10-13,54,False
2019-10-20,32,False
2019-10-27,64,False
2019-11-03,41,False
2019-11-10,62,False
2019-11-17,21,False
2019-11-24,21,False
2019-12-01,62,False
2019-12-08,63,False
2019-12-15,43,False
2019-12-22,37,False
2019-12-29,45,False
2020-01-05,30,False
2020-01-12,49,False
2020-01-19,60,False
2020-01-26,29,False
2020-02-02,20,False
2020-02-09,29,False
2020-02-16,91,False
2020-02-23,59,False
2020-03-01,29,False
2020-03-08,37,False
2020-03-15,18,False
2020-03-22,44,False
2020-03-29,26,False
2020-04-05,49,False
2020-04-12,19,False
2020-04-19,36,False
2020-04-26,18,False
2020-05-03,27,False
2020-05-10,54,False
