date,matrimonio civile,isPartial
2018-01-07,65,False
2018-01-14,77,False
2018-01-21,77,False
2018-01-28,65,False
2018-02-04,54,False
2018-02-11,57,False
2018-02-18,75,False
2018-02-25,61,False
2018-03-04,59,False
2018-03-11,71,False
2018-03-18,65,False
2018-03-25,70,False
2018-04-01,61,False
2018-04-08,64,False
2018-04-15,56,False
2018-04-22,86,False
2018-04-29,70,False
2018-05-06,62,False
2018-05-13,78,False
2018-05-20,92,False
2018-05-27,96,False
2018-06-03,83,False
2018-06-10,76,False
2018-06-17,86,False
2018-06-24,85,False
2018-07-01,79,False
2018-07-08,60,False
2018-07-15,87,False
2018-07-22,71,False
2018-07-29,51,False
2018-08-05,57,False
2018-08-12,54,False
2018-08-19,72,False
2018-08-26,100,False
2018-09-02,96,False
2018-09-09,77,False
2018-09-16,71,False
2018-09-23,73,False
2018-09-30,63,False
2018-10-07,54,False
2018-10-14,47,False
2018-10-21,73,False
2018-10-28,54,False
2018-11-04,35,False
2018-11-11,41,False
2018-11-18,55,False
2018-11-25,51,False
2018-12-02,44,False
2018-12-09,20,False
2018-12-16,30,False
2018-12-23,67,False
2018-12-30,46,False
2019-01-06,79,False
2019-01-13,82,False
2019-01-20,69,False
2019-01-27,66,False
2019-02-03,64,False
2019-02-10,53,False
2019-02-17,59,False
2019-02-24,67,False
2019-03-03,79,False
2019-03-10,71,False
2019-03-17,57,False
2019-03-24,74,False
2019-03-31,85,False
2019-04-07,55,False
2019-04-14,72,False
2019-04-21,57,False
2019-04-28,98,False
2019-05-05,75,False
2019-05-12,70,False
2019-05-19,74,False
2019-05-26,77,False
2019-06-02,96,False
2019-06-09,82,False
2019-06-16,85,False
2019-06-23,80,False
2019-06-30,85,False
2019-07-07,76,False
2019-07-14,74,False
2019-07-21,84,False
2019-07-28,81,False
2019-08-04,51,False
2019-08-11,66,False
2019-08-18,73,False
2019-08-25,93,False
2019-09-01,96,False
2019-09-08,88,False
2019-09-15,86,False
2019-09-22,56,False
2019-09-29,59,False
2019-10-06,49,False
2019-10-13,58,False
2019-10-20,52,False
2019-10-27,54,False
2019-11-03,58,False
2019-11-10,56,False
2019-11-17,45,False
2019-11-24,45,False
2019-12-01,36,False
2019-12-08,40,False
2019-12-15,41,False
2019-12-22,36,False
2019-12-29,70,False
2020-01-05,72,False
2020-01-12,91,False
2020-01-19,69,False
2020-01-26,57,False
2020-02-02,71,False
2020-02-09,61,False
2020-02-16,72,False
2020-02-23,46,False
2020-03-01,66,False
2020-03-08,22,False
2020-03-15,24,False
2020-03-22,32,False
2020-03-29,33,False
2020-04-05,31,False
2020-04-12,47,False
2020-04-19,41,False
2020-04-26,42,True
