date,matrimonio civile,isPartial
2018-01-07,49,False
2018-01-14,24,False
2018-01-21,48,False
2018-01-28,60,False
2018-02-04,35,False
2018-02-11,0,False
2018-02-18,46,False
2018-02-25,66,False
2018-03-04,24,False
2018-03-11,24,False
2018-03-18,35,False
2018-03-25,25,False
2018-04-01,51,False
2018-04-08,24,False
2018-04-15,62,False
2018-04-22,26,False
2018-04-29,25,False
2018-05-06,37,False
2018-05-13,61,False
2018-05-20,49,False
2018-05-27,88,False
2018-06-03,100,False
2018-06-10,23,False
2018-06-17,24,False
2018-06-24,69,False
2018-07-01,48,False
2018-07-08,47,False
2018-07-15,36,False
2018-07-22,58,False
2018-07-29,46,False
2018-08-05,34,False
2018-08-12,41,False
2018-08-19,41,False
2018-08-26,31,False
2018-09-02,56,False
2018-09-09,23,False
2018-09-16,23,False
2018-09-23,48,False
2018-09-30,48,False
2018-10-07,0,False
2018-10-14,50,False
2018-10-21,37,False
2018-10-28,24,False
2018-11-04,24,False
2018-11-11,25,False
2018-11-18,73,False
2018-11-25,0,False
2018-12-02,26,False
2018-12-09,25,False
2018-12-16,0,False
2018-12-23,26,False
2018-12-30,0,False
2019-01-06,47,False
2019-01-13,59,False
2019-01-20,87,False
2019-01-27,33,False
2019-02-03,22,False
2019-02-10,22,False
2019-02-17,22,False
2019-02-24,44,False
2019-03-03,70,False
2019-03-10,67,False
2019-03-17,46,False
2019-03-24,68,False
2019-03-31,45,False
2019-04-07,66,False
2019-04-14,46,False
2019-04-21,35,False
2019-04-28,66,False
2019-05-05,22,False
2019-05-12,43,False
2019-05-19,65,False
2019-05-26,93,False
2019-06-02,23,False
2019-06-09,70,False
2019-06-16,69,False
2019-06-23,22,False
2019-06-30,57,False
2019-07-07,42,False
2019-07-14,22,False
2019-07-21,34,False
2019-07-28,32,False
2019-08-04,22,False
2019-08-11,44,False
2019-08-18,32,False
2019-08-25,21,False
2019-09-01,20,False
2019-09-08,41,False
2019-09-15,51,False
2019-09-22,51,False
2019-09-29,42,False
2019-10-06,21,False
2019-10-13,44,False
2019-10-20,42,False
2019-10-27,42,False
2019-11-03,61,False
2019-11-10,31,False
2019-11-17,21,False
2019-11-24,0,False
2019-12-01,42,False
2019-12-08,22,False
2019-12-15,0,False
2019-12-22,56,False
2019-12-29,43,False
2020-01-05,41,False
2020-01-12,39,False
2020-01-19,40,False
2020-01-26,30,False
2020-02-02,19,False
2020-02-09,40,False
2020-02-16,40,False
2020-02-23,38,False
2020-03-01,55,False
2020-03-08,0,False
2020-03-15,25,False
2020-03-22,16,False
2020-03-29,24,False
2020-04-05,52,False
2020-04-12,0,False
2020-04-19,16,False
2020-04-26,0,True
