date,matrimonio civile,isPartial
2018-01-07,48,False
2018-01-14,58,False
2018-01-21,29,False
2018-01-28,19,False
2018-02-04,76,False
2018-02-11,48,False
2018-02-18,39,False
2018-02-25,29,False
2018-03-04,30,False
2018-03-11,20,False
2018-03-18,31,False
2018-03-25,41,False
2018-04-01,22,False
2018-04-08,21,False
2018-04-15,0,False
2018-04-22,77,False
2018-04-29,0,False
2018-05-06,21,False
2018-05-13,31,False
2018-05-20,41,False
2018-05-27,41,False
2018-06-03,72,False
2018-06-10,50,False
2018-06-17,0,False
2018-06-24,31,False
2018-07-01,0,False
2018-07-08,20,False
2018-07-15,61,False
2018-07-22,41,False
2018-07-29,72,False
2018-08-05,42,False
2018-08-12,23,False
2018-08-19,63,False
2018-08-26,59,False
2018-09-02,39,False
2018-09-09,20,False
2018-09-16,20,False
2018-09-23,51,False
2018-09-30,61,False
2018-10-07,42,False
2018-10-14,32,False
2018-10-21,20,False
2018-10-28,49,False
2018-11-04,0,False
2018-11-11,42,False
2018-11-18,20,False
2018-11-25,21,False
2018-12-02,32,False
2018-12-09,22,False
2018-12-16,33,False
2018-12-23,25,False
2018-12-30,44,False
2019-01-06,100,False
2019-01-13,99,False
2019-01-20,38,False
2019-01-27,56,False
2019-02-03,57,False
2019-02-10,57,False
2019-02-17,77,False
2019-02-24,57,False
2019-03-03,59,False
2019-03-10,49,False
2019-03-17,20,False
2019-03-24,0,False
2019-03-31,29,False
2019-04-07,39,False
2019-04-14,40,False
2019-04-21,31,False
2019-04-28,76,False
2019-05-05,55,False
2019-05-12,46,False
2019-05-19,37,False
2019-05-26,27,False
2019-06-02,59,False
2019-06-09,29,False
2019-06-16,76,False
2019-06-23,20,False
2019-06-30,59,False
2019-07-07,20,False
2019-07-14,21,False
2019-07-21,31,False
2019-07-28,40,False
2019-08-04,64,False
2019-08-11,46,False
2019-08-18,41,False
2019-08-25,38,False
2019-09-01,18,False
2019-09-08,29,False
2019-09-15,39,False
2019-09-22,19,False
2019-09-29,37,False
2019-10-06,19,False
2019-10-13,56,False
2019-10-20,64,False
2019-10-27,18,False
2019-11-03,18,False
2019-11-10,35,False
2019-11-17,36,False
2019-11-24,27,False
2019-12-01,47,False
2019-12-08,56,False
2019-12-15,37,False
2019-12-22,85,False
2019-12-29,40,False
2020-01-05,54,False
2020-01-12,17,False
2020-01-19,26,False
2020-01-26,85,False
2020-02-02,17,False
2020-02-09,35,False
2020-02-16,26,False
2020-02-23,50,False
2020-03-01,32,False
2020-03-08,31,False
2020-03-15,31,False
2020-03-22,15,False
2020-03-29,15,False
2020-04-05,16,False
2020-04-12,16,False
2020-04-19,30,False
2020-04-26,26,True
