date,Vliestapete tapezieren,isPartial
2018-01-07,0,False
2018-01-14,0,False
2018-01-21,0,False
2018-01-28,0,False
2018-02-04,40,False
2018-02-11,0,False
2018-02-18,30,False
2018-02-25,30,False
2018-03-04,29,False
2018-03-11,30,False
2018-03-18,0,False
2018-03-25,31,False
2018-04-01,31,False
2018-04-08,31,False
2018-04-15,31,False
2018-04-22,29,False
2018-04-29,0,False
2018-05-06,0,False
2018-05-13,30,False
2018-05-20,0,False
2018-05-27,29,False
2018-06-03,30,False
2018-06-10,0,False
2018-06-17,0,False
2018-06-24,0,False
2018-07-01,0,False
2018-07-08,31,False
2018-07-15,0,False
2018-07-22,47,False
2018-07-29,30,False
2018-08-05,28,False
2018-08-12,0,False
2018-08-19,28,False
2018-08-26,29,False
2018-09-02,30,False
2018-09-09,44,False
2018-09-16,0,False
2018-09-23,30,False
2018-09-30,31,False
2018-10-07,0,False
2018-10-14,30,False
2018-10-21,0,False
2018-10-28,43,False
2018-11-04,29,False
2018-11-11,44,False
2018-11-18,29,False
2018-11-25,58,False
2018-12-02,0,False
2018-12-09,30,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,31,False
2019-01-06,27,False
2019-01-13,0,False
2019-01-20,28,False
2019-01-27,56,False
2019-02-03,28,False
2019-02-10,57,False
2019-02-17,0,False
2019-02-24,29,False
2019-03-03,28,False
2019-03-10,27,False
2019-03-17,28,False
2019-03-24,29,False
2019-03-31,29,False
2019-04-07,30,False
2019-04-14,32,False
2019-04-21,30,False
2019-04-28,29,False
2019-05-05,0,False
2019-05-12,0,False
2019-05-19,28,False
2019-05-26,0,False
2019-06-02,28,False
2019-06-09,28,False
2019-06-16,28,False
2019-06-23,29,False
2019-06-30,28,False
2019-07-07,29,False
2019-07-14,30,False
2019-07-21,31,False
2019-07-28,30,False
2019-08-04,29,False
2019-08-11,0,False
2019-08-18,28,False
2019-08-25,27,False
2019-09-01,27,False
2019-09-08,27,False
2019-09-15,27,False
2019-09-22,27,False
2019-09-29,41,False
2019-10-06,0,False
2019-10-13,27,False
2019-10-20,27,False
2019-10-27,53,False
2019-11-03,76,False
2019-11-10,26,False
2019-11-17,26,False
2019-11-24,25,False
2019-12-01,26,False
2019-12-08,26,False
2019-12-15,27,False
2019-12-22,29,False
2019-12-29,40,False
2020-01-05,25,False
2020-01-12,24,False
2020-01-19,50,False
2020-01-26,100,False
2020-02-02,49,False
2020-02-09,24,False
2020-02-16,25,False
2020-02-23,0,False
2020-03-01,25,False
2020-03-08,23,False
2020-03-15,38,False
2020-03-22,23,False
2020-03-29,23,False
2020-04-05,25,False
2020-04-12,24,False
2020-04-19,23,False
2020-04-26,22,False
2020-05-03,45,False
2020-05-10,22,False
