date,association yoga,isPartial
2018-01-07,45,False
2018-01-14,27,False
2018-01-21,36,False
2018-01-28,18,False
2018-02-04,27,False
2018-02-11,18,False
2018-02-18,26,False
2018-02-25,0,False
2018-03-04,19,False
2018-03-11,28,False
2018-03-18,19,False
2018-03-25,28,False
2018-04-01,19,False
2018-04-08,55,False
2018-04-15,20,False
2018-04-22,20,False
2018-04-29,26,False
2018-05-06,60,False
2018-05-13,28,False
2018-05-20,19,False
2018-05-27,27,False
2018-06-03,24,False
2018-06-10,18,False
2018-06-17,36,False
2018-06-24,74,False
2018-07-01,27,False
2018-07-08,38,False
2018-07-15,31,False
2018-07-22,21,False
2018-07-29,44,False
2018-08-05,38,False
2018-08-12,48,False
2018-08-19,100,False
2018-08-26,66,False
2018-09-02,56,False
2018-09-09,36,False
2018-09-16,54,False
2018-09-23,73,False
2018-09-30,36,False
2018-10-07,54,False
2018-10-14,17,False
2018-10-21,18,False
2018-10-28,20,False
2018-11-04,45,False
2018-11-11,35,False
2018-11-18,30,False
2018-11-25,18,False
2018-12-02,18,False
2018-12-09,19,False
2018-12-16,31,False
2018-12-23,46,False
2018-12-30,31,False
2019-01-06,37,False
2019-01-13,24,False
2019-01-20,35,False
2019-01-27,18,False
2019-02-03,0,False
2019-02-10,54,False
2019-02-17,18,False
2019-02-24,19,False
2019-03-03,18,False
2019-03-10,37,False
2019-03-17,37,False
2019-03-24,20,False
2019-03-31,19,False
2019-04-07,19,False
2019-04-14,20,False
2019-04-21,0,False
2019-04-28,21,False
2019-05-05,27,False
2019-05-12,39,False
2019-05-19,19,False
2019-05-26,20,False
2019-06-02,18,False
2019-06-09,29,False
2019-06-16,19,False
2019-06-23,0,False
2019-06-30,0,False
2019-07-07,20,False
2019-07-14,35,False
2019-07-21,33,False
2019-07-28,0,False
2019-08-04,49,False
2019-08-11,34,False
2019-08-18,40,False
2019-08-25,71,False
2019-09-01,88,False
2019-09-08,63,False
2019-09-15,87,False
2019-09-22,42,False
2019-09-29,18,False
2019-10-06,37,False
2019-10-13,31,False
2019-10-20,25,False
2019-10-27,19,False
2019-11-03,27,False
2019-11-10,18,False
2019-11-17,37,False
2019-11-24,27,False
2019-12-01,26,False
2019-12-08,18,False
2019-12-15,0,False
2019-12-22,22,False
2019-12-29,21,False
2020-01-05,18,False
2020-01-12,23,False
2020-01-19,18,False
2020-01-26,35,False
2020-02-02,36,False
2020-02-09,36,False
2020-02-16,0,False
2020-02-23,17,False
2020-03-01,68,False
2020-03-08,17,False
2020-03-15,0,False
2020-03-22,36,False
2020-03-29,18,False
2020-04-05,0,False
2020-04-12,18,False
2020-04-19,18,False
2020-04-26,17,False
2020-05-03,22,False
2020-05-10,17,False
2020-05-17,21,True
