date,association yoga,isPartial
2018-01-07,31,False
2018-01-14,31,False
2018-01-21,30,False
2018-01-28,0,False
2018-02-04,0,False
2018-02-11,0,False
2018-02-18,31,False
2018-02-25,30,False
2018-03-04,30,False
2018-03-11,30,False
2018-03-18,31,False
2018-03-25,0,False
2018-04-01,33,False
2018-04-08,33,False
2018-04-15,0,False
2018-04-22,0,False
2018-04-29,0,False
2018-05-06,0,False
2018-05-13,32,False
2018-05-20,33,False
2018-05-27,32,False
2018-06-03,33,False
2018-06-10,0,False
2018-06-17,0,False
2018-06-24,33,False
2018-07-01,32,False
2018-07-08,33,False
2018-07-15,0,False
2018-07-22,0,False
2018-07-29,35,False
2018-08-05,0,False
2018-08-12,37,False
2018-08-19,35,False
2018-08-26,78,False
2018-09-02,100,False
2018-09-09,67,False
2018-09-16,56,False
2018-09-23,33,False
2018-09-30,82,False
2018-10-07,33,False
2018-10-14,33,False
2018-10-21,34,False
2018-10-28,0,False
2018-11-04,32,False
2018-11-11,0,False
2018-11-18,32,False
2018-11-25,64,False
2018-12-02,32,False
2018-12-09,64,False
2018-12-16,33,False
2018-12-23,0,False
2018-12-30,34,False
2019-01-06,32,False
2019-01-13,32,False
2019-01-20,30,False
2019-01-27,30,False
2019-02-03,31,False
2019-02-10,31,False
2019-02-17,33,False
2019-02-24,31,False
2019-03-03,0,False
2019-03-10,31,False
2019-03-17,0,False
2019-03-24,0,False
2019-03-31,0,False
2019-04-07,0,False
2019-04-14,62,False
2019-04-21,0,False
2019-04-28,61,False
2019-05-05,29,False
2019-05-12,30,False
2019-05-19,30,False
2019-05-26,31,False
2019-06-02,30,False
2019-06-09,29,False
2019-06-16,61,False
2019-06-23,46,False
2019-06-30,0,False
2019-07-07,0,False
2019-07-14,62,False
2019-07-21,0,False
2019-07-28,32,False
2019-08-04,64,False
2019-08-11,34,False
2019-08-18,46,False
2019-08-25,95,False
2019-09-01,67,False
2019-09-08,58,False
2019-09-15,39,False
2019-09-22,0,False
2019-09-29,44,False
2019-10-06,59,False
2019-10-13,59,False
2019-10-20,29,False
2019-10-27,28,False
2019-11-03,0,False
2019-11-10,28,False
2019-11-17,27,False
2019-11-24,26,False
2019-12-01,40,False
2019-12-08,27,False
2019-12-15,55,False
2019-12-22,59,False
2019-12-29,0,False
2020-01-05,27,False
2020-01-12,53,False
2020-01-19,0,False
2020-01-26,26,False
2020-02-02,26,False
2020-02-09,26,False
2020-02-16,25,False
2020-02-23,25,False
2020-03-01,25,False
2020-03-08,25,False
2020-03-15,0,False
2020-03-22,0,False
2020-03-29,24,False
2020-04-05,24,False
2020-04-12,24,False
2020-04-19,0,False
2020-04-26,0,False
2020-05-03,0,False
2020-05-10,0,False
2020-05-17,30,True
