date,Wasserinstallateur,isPartial
2018-01-07,72,False
2018-01-14,24,False
2018-01-21,24,False
2018-01-28,24,False
2018-02-04,25,False
2018-02-11,41,False
2018-02-18,0,False
2018-02-25,48,False
2018-03-04,37,False
2018-03-11,32,False
2018-03-18,24,False
2018-03-25,35,False
2018-04-01,0,False
2018-04-08,49,False
2018-04-15,42,False
2018-04-22,32,False
2018-04-29,25,False
2018-05-06,25,False
2018-05-13,32,False
2018-05-20,26,False
2018-05-27,24,False
2018-06-03,24,False
2018-06-10,23,False
2018-06-17,47,False
2018-06-24,0,False
2018-07-01,0,False
2018-07-08,23,False
2018-07-15,100,False
2018-07-22,38,False
2018-07-29,26,False
2018-08-05,51,False
2018-08-12,38,False
2018-08-19,25,False
2018-08-26,0,False
2018-09-02,25,False
2018-09-09,25,False
2018-09-16,99,False
2018-09-23,25,False
2018-09-30,25,False
2018-10-07,50,False
2018-10-14,37,False
2018-10-21,50,False
2018-10-28,24,False
2018-11-04,59,False
2018-11-11,36,False
2018-11-18,69,False
2018-11-25,24,False
2018-12-02,47,False
2018-12-09,24,False
2018-12-16,36,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,45,False
2019-01-13,44,False
2019-01-20,37,False
2019-01-27,33,False
2019-02-03,0,False
2019-02-10,31,False
2019-02-17,23,False
2019-02-24,24,False
2019-03-03,23,False
2019-03-10,33,False
2019-03-17,24,False
2019-03-24,24,False
2019-03-31,34,False
2019-04-07,24,False
2019-04-14,63,False
2019-04-21,50,False
2019-04-28,23,False
2019-05-05,23,False
2019-05-12,35,False
2019-05-19,31,False
2019-05-26,24,False
2019-06-02,23,False
2019-06-09,47,False
2019-06-16,0,False
2019-06-23,0,False
2019-06-30,23,False
2019-07-07,46,False
2019-07-14,36,False
2019-07-21,26,False
2019-07-28,51,False
2019-08-04,26,False
2019-08-11,24,False
2019-08-18,24,False
2019-08-25,39,False
2019-09-01,34,False
2019-09-08,39,False
2019-09-15,47,False
2019-09-22,23,False
2019-09-29,46,False
2019-10-06,67,False
2019-10-13,34,False
2019-10-20,34,False
2019-10-27,30,False
2019-11-03,43,False
2019-11-10,36,False
2019-11-17,42,False
2019-11-24,31,False
2019-12-01,32,False
2019-12-08,22,False
2019-12-15,22,False
2019-12-22,37,False
2019-12-29,31,False
2020-01-05,21,False
2020-01-12,20,False
2020-01-19,61,False
2020-01-26,20,False
2020-02-02,40,False
2020-02-09,20,False
2020-02-16,20,False
2020-02-23,26,False
2020-03-01,20,False
2020-03-08,19,False
2020-03-15,28,False
2020-03-22,56,False
2020-03-29,18,False
2020-04-05,40,False
2020-04-12,29,False
2020-04-19,37,False
2020-04-26,18,False
2020-05-03,31,False
2020-05-10,18,False
