date,matrimonio castello,isPartial
2018-01-07,0,False
2018-01-14,0,False
2018-01-21,0,False
2018-01-28,54,False
2018-02-04,35,False
2018-02-11,0,False
2018-02-18,37,False
2018-02-25,0,False
2018-03-04,36,False
2018-03-11,0,False
2018-03-18,19,False
2018-03-25,39,False
2018-04-01,60,False
2018-04-08,37,False
2018-04-15,59,False
2018-04-22,20,False
2018-04-29,57,False
2018-05-06,19,False
2018-05-13,0,False
2018-05-20,38,False
2018-05-27,38,False
2018-06-03,37,False
2018-06-10,18,False
2018-06-17,0,False
2018-06-24,21,False
2018-07-01,82,False
2018-07-08,0,False
2018-07-15,21,False
2018-07-22,43,False
2018-07-29,0,False
2018-08-05,49,False
2018-08-12,28,False
2018-08-19,0,False
2018-08-26,43,False
2018-09-02,62,False
2018-09-09,41,False
2018-09-16,100,False
2018-09-23,81,False
2018-09-30,0,False
2018-10-07,41,False
2018-10-14,0,False
2018-10-21,20,False
2018-10-28,20,False
2018-11-04,0,False
2018-11-11,58,False
2018-11-18,0,False
2018-11-25,75,False
2018-12-02,19,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,42,False
2019-01-06,74,False
2019-01-13,37,False
2019-01-20,17,False
2019-01-27,17,False
2019-02-03,34,False
2019-02-10,0,False
2019-02-17,53,False
2019-02-24,18,False
2019-03-03,37,False
2019-03-10,18,False
2019-03-17,18,False
2019-03-24,36,False
2019-03-31,18,False
2019-04-07,0,False
2019-04-14,18,False
2019-04-21,40,False
2019-04-28,0,False
2019-05-05,18,False
2019-05-12,18,False
2019-05-19,0,False
2019-05-26,35,False
2019-06-02,18,False
2019-06-09,69,False
2019-06-16,18,False
2019-06-23,37,False
2019-06-30,18,False
2019-07-07,56,False
2019-07-14,19,False
2019-07-21,39,False
2019-07-28,0,False
2019-08-04,21,False
2019-08-11,24,False
2019-08-18,21,False
2019-08-25,38,False
2019-09-01,34,False
2019-09-08,53,False
2019-09-15,34,False
2019-09-22,0,False
2019-09-29,0,False
2019-10-06,71,False
2019-10-13,52,False
2019-10-20,66,False
2019-10-27,17,False
2019-11-03,16,False
2019-11-10,0,False
2019-11-17,0,False
2019-11-24,0,False
2019-12-01,0,False
2019-12-08,0,False
2019-12-15,17,False
2019-12-22,38,False
2019-12-29,0,False
2020-01-05,32,False
2020-01-12,15,False
2020-01-19,31,False
2020-01-26,15,False
2020-02-02,30,False
2020-02-09,47,False
2020-02-16,31,False
2020-02-23,0,False
2020-03-01,0,False
2020-03-08,0,False
2020-03-15,0,False
2020-03-22,0,False
2020-03-29,14,False
2020-04-05,0,False
2020-04-12,29,False
2020-04-19,0,False
2020-04-26,23,True
