date,camicie donna,isPartial
2018-01-07,24,False
2018-01-14,48,False
2018-01-21,0,False
2018-01-28,0,False
2018-02-04,47,False
2018-02-11,0,False
2018-02-18,48,False
2018-02-25,35,False
2018-03-04,62,False
2018-03-11,50,False
2018-03-18,25,False
2018-03-25,0,False
2018-04-01,54,False
2018-04-08,77,False
2018-04-15,51,False
2018-04-22,53,False
2018-04-29,39,False
2018-05-06,37,False
2018-05-13,52,False
2018-05-20,51,False
2018-05-27,53,False
2018-06-03,0,False
2018-06-10,24,False
2018-06-17,49,False
2018-06-24,25,False
2018-07-01,0,False
2018-07-08,51,False
2018-07-15,26,False
2018-07-22,53,False
2018-07-29,0,False
2018-08-05,28,False
2018-08-12,30,False
2018-08-19,60,False
2018-08-26,54,False
2018-09-02,26,False
2018-09-09,25,False
2018-09-16,48,False
2018-09-23,50,False
2018-09-30,24,False
2018-10-07,39,False
2018-10-14,53,False
2018-10-21,25,False
2018-10-28,74,False
2018-11-04,25,False
2018-11-11,27,False
2018-11-18,0,False
2018-11-25,26,False
2018-12-02,0,False
2018-12-09,27,False
2018-12-16,27,False
2018-12-23,28,False
2018-12-30,27,False
2019-01-06,25,False
2019-01-13,25,False
2019-01-20,23,False
2019-01-27,47,False
2019-02-03,24,False
2019-02-10,24,False
2019-02-17,72,False
2019-02-24,0,False
2019-03-03,25,False
2019-03-10,72,False
2019-03-17,75,False
2019-03-24,25,False
2019-03-31,100,False
2019-04-07,0,False
2019-04-14,39,False
2019-04-21,26,False
2019-04-28,49,False
2019-05-05,49,False
2019-05-12,49,False
2019-05-19,36,False
2019-05-26,46,False
2019-06-02,76,False
2019-06-09,53,False
2019-06-16,39,False
2019-06-23,27,False
2019-06-30,27,False
2019-07-07,65,False
2019-07-14,39,False
2019-07-21,54,False
2019-07-28,0,False
2019-08-04,42,False
2019-08-11,30,False
2019-08-18,28,False
2019-08-25,49,False
2019-09-01,0,False
2019-09-08,0,False
2019-09-15,23,False
2019-09-22,23,False
2019-09-29,23,False
2019-10-06,24,False
2019-10-13,47,False
2019-10-20,34,False
2019-10-27,57,False
2019-11-03,22,False
2019-11-10,23,False
2019-11-17,57,False
2019-11-24,57,False
2019-12-01,24,False
2019-12-08,24,False
2019-12-15,24,False
2019-12-22,0,False
2019-12-29,25,False
2020-01-05,35,False
2020-01-12,22,False
2020-01-19,46,False
2020-01-26,0,False
2020-02-02,43,False
2020-02-09,45,False
2020-02-16,45,False
2020-02-23,32,False
2020-03-01,42,False
2020-03-08,0,False
2020-03-15,39,False
2020-03-22,36,False
2020-03-29,18,False
2020-04-05,20,False
2020-04-12,20,False
2020-04-19,18,False
2020-04-26,24,True
