date,camicie donna,isPartial
2018-01-07,26,False
2018-01-14,54,False
2018-01-21,40,False
2018-01-28,27,False
2018-02-04,51,False
2018-02-11,41,False
2018-02-18,27,False
2018-02-25,0,False
2018-03-04,28,False
2018-03-11,100,False
2018-03-18,28,False
2018-03-25,46,False
2018-04-01,32,False
2018-04-08,85,False
2018-04-15,43,False
2018-04-22,30,False
2018-04-29,29,False
2018-05-06,44,False
2018-05-13,57,False
2018-05-20,58,False
2018-05-27,0,False
2018-06-03,29,False
2018-06-10,53,False
2018-06-17,28,False
2018-06-24,84,False
2018-07-01,0,False
2018-07-08,28,False
2018-07-15,0,False
2018-07-22,28,False
2018-07-29,0,False
2018-08-05,26,False
2018-08-12,0,False
2018-08-19,25,False
2018-08-26,0,False
2018-09-02,55,False
2018-09-09,28,False
2018-09-16,39,False
2018-09-23,27,False
2018-09-30,27,False
2018-10-07,0,False
2018-10-14,0,False
2018-10-21,56,False
2018-10-28,28,False
2018-11-04,28,False
2018-11-11,29,False
2018-11-18,29,False
2018-11-25,29,False
2018-12-02,31,False
2018-12-09,0,False
2018-12-16,77,False
2018-12-23,65,False
2018-12-30,29,False
2019-01-06,27,False
2019-01-13,83,False
2019-01-20,39,False
2019-01-27,0,False
2019-02-03,77,False
2019-02-10,26,False
2019-02-17,0,False
2019-02-24,54,False
2019-03-03,28,False
2019-03-10,27,False
2019-03-17,27,False
2019-03-24,27,False
2019-03-31,80,False
2019-04-07,28,False
2019-04-14,56,False
2019-04-21,59,False
2019-04-28,27,False
2019-05-05,27,False
2019-05-12,53,False
2019-05-19,82,False
2019-05-26,0,False
2019-06-02,27,False
2019-06-09,0,False
2019-06-16,29,False
2019-06-23,0,False
2019-06-30,29,False
2019-07-07,0,False
2019-07-14,55,False
2019-07-21,0,False
2019-07-28,0,False
2019-08-04,0,False
2019-08-11,28,False
2019-08-18,26,False
2019-08-25,25,False
2019-09-01,0,False
2019-09-08,52,False
2019-09-15,26,False
2019-09-22,52,False
2019-09-29,39,False
2019-10-06,65,False
2019-10-13,27,False
2019-10-20,25,False
2019-10-27,26,False
2019-11-03,64,False
2019-11-10,80,False
2019-11-17,0,False
2019-11-24,0,False
2019-12-01,54,False
2019-12-08,27,False
2019-12-15,0,False
2019-12-22,44,False
2019-12-29,57,False
2020-01-05,26,False
2020-01-12,63,False
2020-01-19,51,False
2020-01-26,38,False
2020-02-02,0,False
2020-02-09,0,False
2020-02-16,52,False
2020-02-23,0,False
2020-03-01,24,False
2020-03-08,22,False
2020-03-15,21,False
2020-03-22,0,False
2020-03-29,0,False
2020-04-05,0,False
2020-04-12,45,False
2020-04-19,21,False
2020-04-26,40,True
