date,camicie donna,isPartial
2018-01-07,20,False
2018-01-14,41,False
2018-01-21,100,False
2018-01-28,40,False
2018-02-04,20,False
2018-02-11,38,False
2018-02-18,54,False
2018-02-25,35,False
2018-03-04,71,False
2018-03-11,27,False
2018-03-18,27,False
2018-03-25,49,False
2018-04-01,51,False
2018-04-08,64,False
2018-04-15,56,False
2018-04-22,50,False
2018-04-29,85,False
2018-05-06,55,False
2018-05-13,54,False
2018-05-20,37,False
2018-05-27,57,False
2018-06-03,77,False
2018-06-10,36,False
2018-06-17,27,False
2018-06-24,48,False
2018-07-01,28,False
2018-07-08,38,False
2018-07-15,19,False
2018-07-22,49,False
2018-07-29,30,False
2018-08-05,0,False
2018-08-12,49,False
2018-08-19,26,False
2018-08-26,33,False
2018-09-02,37,False
2018-09-09,36,False
2018-09-16,18,False
2018-09-23,45,False
2018-09-30,36,False
2018-10-07,55,False
2018-10-14,55,False
2018-10-21,37,False
2018-10-28,36,False
2018-11-04,26,False
2018-11-11,53,False
2018-11-18,54,False
2018-11-25,18,False
2018-12-02,50,False
2018-12-09,56,False
2018-12-16,49,False
2018-12-23,24,False
2018-12-30,21,False
2019-01-06,0,False
2019-01-13,30,False
2019-01-20,19,False
2019-01-27,17,False
2019-02-03,29,False
2019-02-10,59,False
2019-02-17,30,False
2019-02-24,27,False
2019-03-03,42,False
2019-03-10,51,False
2019-03-17,63,False
2019-03-24,30,False
2019-03-31,79,False
2019-04-07,38,False
2019-04-14,39,False
2019-04-21,34,False
2019-04-28,69,False
2019-05-05,63,False
2019-05-12,77,False
2019-05-19,39,False
2019-05-26,0,False
2019-06-02,40,False
2019-06-09,40,False
2019-06-16,62,False
2019-06-23,21,False
2019-06-30,0,False
2019-07-07,0,False
2019-07-14,43,False
2019-07-21,21,False
2019-07-28,0,False
2019-08-04,24,False
2019-08-11,0,False
2019-08-18,0,False
2019-08-25,44,False
2019-09-01,47,False
2019-09-08,0,False
2019-09-15,38,False
2019-09-22,38,False
2019-09-29,19,False
2019-10-06,39,False
2019-10-13,58,False
2019-10-20,38,False
2019-10-27,77,False
2019-11-03,37,False
2019-11-10,19,False
2019-11-17,37,False
2019-11-24,95,False
2019-12-01,78,False
2019-12-08,29,False
2019-12-15,59,False
2019-12-22,0,False
2019-12-29,0,False
2020-01-05,38,False
2020-01-12,36,False
2020-01-19,37,False
2020-01-26,36,False
2020-02-02,45,False
2020-02-09,37,False
2020-02-16,55,False
2020-02-23,71,False
2020-03-01,35,False
2020-03-08,17,False
2020-03-15,35,False
2020-03-22,33,False
2020-03-29,17,False
2020-04-05,18,False
2020-04-12,18,False
2020-04-19,33,False
2020-04-26,0,True
