date,Rollo Fenster,isPartial
2018-01-07,76,False
2018-01-14,0,False
2018-01-21,0,False
2018-01-28,39,False
2018-02-04,0,False
2018-02-11,0,False
2018-02-18,0,False
2018-02-25,38,False
2018-03-04,0,False
2018-03-11,38,False
2018-03-18,38,False
2018-03-25,0,False
2018-04-01,43,False
2018-04-08,38,False
2018-04-15,38,False
2018-04-22,0,False
2018-04-29,79,False
2018-05-06,40,False
2018-05-13,0,False
2018-05-20,81,False
2018-05-27,0,False
2018-06-03,58,False
2018-06-10,0,False
2018-06-17,76,False
2018-06-24,38,False
2018-07-01,41,False
2018-07-08,0,False
2018-07-15,43,False
2018-07-22,44,False
2018-07-29,45,False
2018-08-05,44,False
2018-08-12,0,False
2018-08-19,0,False
2018-08-26,83,False
2018-09-02,81,False
2018-09-09,40,False
2018-09-16,0,False
2018-09-23,40,False
2018-09-30,38,False
2018-10-07,37,False
2018-10-14,0,False
2018-10-21,37,False
2018-10-28,0,False
2018-11-04,37,False
2018-11-11,36,False
2018-11-18,34,False
2018-11-25,0,False
2018-12-02,35,False
2018-12-09,35,False
2018-12-16,36,False
2018-12-23,46,False
2018-12-30,43,False
2019-01-06,0,False
2019-01-13,0,False
2019-01-20,0,False
2019-01-27,75,False
2019-02-03,0,False
2019-02-10,0,False
2019-02-17,38,False
2019-02-24,56,False
2019-03-03,37,False
2019-03-10,54,False
2019-03-17,38,False
2019-03-24,0,False
2019-03-31,76,False
2019-04-07,0,False
2019-04-14,0,False
2019-04-21,41,False
2019-04-28,38,False
2019-05-05,0,False
2019-05-12,55,False
2019-05-19,0,False
2019-05-26,0,False
2019-06-02,39,False
2019-06-09,0,False
2019-06-16,39,False
2019-06-23,0,False
2019-06-30,0,False
2019-07-07,41,False
2019-07-14,86,False
2019-07-21,0,False
2019-07-28,0,False
2019-08-04,45,False
2019-08-11,0,False
2019-08-18,43,False
2019-08-25,40,False
2019-09-01,38,False
2019-09-08,0,False
2019-09-15,37,False
2019-09-22,36,False
2019-09-29,0,False
2019-10-06,35,False
2019-10-13,34,False
2019-10-20,0,False
2019-10-27,35,False
2019-11-03,0,False
2019-11-10,33,False
2019-11-17,0,False
2019-11-24,0,False
2019-12-01,0,False
2019-12-08,34,False
2019-12-15,70,False
2019-12-22,0,False
2019-12-29,0,False
2020-01-05,0,False
2020-01-12,33,False
2020-01-19,65,False
2020-01-26,33,False
2020-02-02,0,False
2020-02-09,0,False
2020-02-16,0,False
2020-02-23,0,False
2020-03-01,32,False
2020-03-08,0,False
2020-03-15,33,False
2020-03-22,34,False
2020-03-29,0,False
2020-04-05,38,False
2020-04-12,37,False
2020-04-19,35,False
2020-04-26,36,False
2020-05-03,52,False
2020-05-10,34,False
2020-05-17,72,False
2020-05-24,34,False
2020-05-31,34,False
2020-06-07,35,False
2020-06-14,0,False
2020-06-21,100,False
2020-06-28,34,False
2020-07-05,35,False
