date,Linoleum,isPartial
2018-01-07,26,False
2018-01-14,27,False
2018-01-21,28,False
2018-01-28,82,False
2018-02-04,0,False
2018-02-11,28,False
2018-02-18,84,False
2018-02-25,84,False
2018-03-04,28,False
2018-03-11,0,False
2018-03-18,28,False
2018-03-25,28,False
2018-04-01,0,False
2018-04-08,0,False
2018-04-15,76,False
2018-04-22,0,False
2018-04-29,29,False
2018-05-06,30,False
2018-05-13,29,False
2018-05-20,30,False
2018-05-27,28,False
2018-06-03,0,False
2018-06-10,26,False
2018-06-17,26,False
2018-06-24,27,False
2018-07-01,0,False
2018-07-08,23,False
2018-07-15,35,False
2018-07-22,0,False
2018-07-29,21,False
2018-08-05,21,False
2018-08-12,31,False
2018-08-19,24,False
2018-08-26,27,False
2018-09-02,0,False
2018-09-09,27,False
2018-09-16,27,False
2018-09-23,28,False
2018-09-30,0,False
2018-10-07,29,False
2018-10-14,0,False
2018-10-21,54,False
2018-10-28,27,False
2018-11-04,53,False
2018-11-11,28,False
2018-11-18,26,False
2018-11-25,28,False
2018-12-02,27,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,27,False
2018-12-30,0,False
2019-01-06,25,False
2019-01-13,25,False
2019-01-20,25,False
2019-01-27,0,False
2019-02-03,0,False
2019-02-10,27,False
2019-02-17,26,False
2019-02-24,26,False
2019-03-03,51,False
2019-03-10,25,False
2019-03-17,0,False
2019-03-24,26,False
2019-03-31,27,False
2019-04-07,27,False
2019-04-14,82,False
2019-04-21,52,False
2019-04-28,26,False
2019-05-05,0,False
2019-05-12,26,False
2019-05-19,25,False
2019-05-26,25,False
2019-06-02,100,False
2019-06-09,37,False
2019-06-16,25,False
2019-06-23,25,False
2019-06-30,72,False
2019-07-07,61,False
2019-07-14,0,False
2019-07-21,24,False
2019-07-28,23,False
2019-08-04,0,False
2019-08-11,23,False
2019-08-18,24,False
2019-08-25,24,False
2019-09-01,47,False
2019-09-08,24,False
2019-09-15,24,False
2019-09-22,24,False
2019-09-29,23,False
2019-10-06,24,False
2019-10-13,22,False
2019-10-20,0,False
2019-10-27,34,False
2019-11-03,67,False
2019-11-10,0,False
2019-11-17,22,False
2019-11-24,23,False
2019-12-01,0,False
2019-12-08,36,False
2019-12-15,24,False
2019-12-22,0,False
2019-12-29,44,False
2020-01-05,21,False
2020-01-12,32,False
2020-01-19,32,False
2020-01-26,21,False
2020-02-02,0,False
2020-02-09,34,False
2020-02-16,0,False
2020-02-23,22,False
2020-03-01,43,False
2020-03-08,20,False
2020-03-15,20,False
2020-03-22,30,False
2020-03-29,38,False
2020-04-05,0,False
2020-04-12,31,False
2020-04-19,62,False
2020-04-26,40,False
2020-05-03,61,False
2020-05-10,0,False
