date,torta morbida,isPartial
2018-01-07,17,False
2018-01-14,22,False
2018-01-21,17,False
2018-01-28,38,False
2018-02-04,44,False
2018-02-11,39,False
2018-02-18,63,False
2018-02-25,45,False
2018-03-04,46,False
2018-03-11,57,False
2018-03-18,12,False
2018-03-25,24,False
2018-04-01,44,False
2018-04-08,12,False
2018-04-15,12,False
2018-04-22,32,False
2018-04-29,25,False
2018-05-06,18,False
2018-05-13,18,False
2018-05-20,12,False
2018-05-27,12,False
2018-06-03,12,False
2018-06-10,23,False
2018-06-17,24,False
2018-06-24,24,False
2018-07-01,23,False
2018-07-08,12,False
2018-07-15,12,False
2018-07-22,12,False
2018-07-29,24,False
2018-08-05,12,False
2018-08-12,13,False
2018-08-19,24,False
2018-08-26,17,False
2018-09-02,29,False
2018-09-09,47,False
2018-09-16,23,False
2018-09-23,54,False
2018-09-30,41,False
2018-10-07,37,False
2018-10-14,49,False
2018-10-21,36,False
2018-10-28,74,False
2018-11-04,64,False
2018-11-11,49,False
2018-11-18,18,False
2018-11-25,54,False
2018-12-02,0,False
2018-12-09,19,False
2018-12-16,13,False
2018-12-23,29,False
2018-12-30,13,False
2019-01-06,17,False
2019-01-13,34,False
2019-01-20,28,False
2019-01-27,22,False
2019-02-03,55,False
2019-02-10,11,False
2019-02-17,28,False
2019-02-24,22,False
2019-03-03,29,False
2019-03-10,46,False
2019-03-17,23,False
2019-03-24,70,False
2019-03-31,22,False
2019-04-07,17,False
2019-04-14,17,False
2019-04-21,18,False
2019-04-28,22,False
2019-05-05,32,False
2019-05-12,37,False
2019-05-19,27,False
2019-05-26,26,False
2019-06-02,34,False
2019-06-09,11,False
2019-06-16,11,False
2019-06-23,23,False
2019-06-30,0,False
2019-07-07,12,False
2019-07-14,0,False
2019-07-21,0,False
2019-07-28,18,False
2019-08-04,12,False
2019-08-11,27,False
2019-08-18,12,False
2019-08-25,33,False
2019-09-01,16,False
2019-09-08,22,False
2019-09-15,22,False
2019-09-22,33,False
2019-09-29,22,False
2019-10-06,11,False
2019-10-13,38,False
2019-10-20,32,False
2019-10-27,21,False
2019-11-03,31,False
2019-11-10,41,False
2019-11-17,31,False
2019-11-24,10,False
2019-12-01,16,False
2019-12-08,27,False
2019-12-15,11,False
2019-12-22,12,False
2019-12-29,18,False
2020-01-05,10,False
2020-01-12,29,False
2020-01-19,20,False
2020-01-26,39,False
2020-02-02,25,False
2020-02-09,10,False
2020-02-16,10,False
2020-02-23,29,False
2020-03-01,51,False
2020-03-08,27,False
2020-03-15,100,False
2020-03-22,98,False
2020-03-29,61,False
2020-04-05,69,False
2020-04-12,60,False
2020-04-19,40,False
2020-04-26,53,True
