date,torta morbida,isPartial
2018-01-07,31,False
2018-01-14,15,False
2018-01-21,45,False
2018-01-28,30,False
2018-02-04,44,False
2018-02-11,15,False
2018-02-18,36,False
2018-02-25,42,False
2018-03-04,59,False
2018-03-11,44,False
2018-03-18,38,False
2018-03-25,31,False
2018-04-01,25,False
2018-04-08,30,False
2018-04-15,39,False
2018-04-22,0,False
2018-04-29,30,False
2018-05-06,37,False
2018-05-13,31,False
2018-05-20,38,False
2018-05-27,46,False
2018-06-03,0,False
2018-06-10,0,False
2018-06-17,61,False
2018-06-24,0,False
2018-07-01,15,False
2018-07-08,30,False
2018-07-15,23,False
2018-07-22,0,False
2018-07-29,0,False
2018-08-05,51,False
2018-08-12,0,False
2018-08-19,25,False
2018-08-26,30,False
2018-09-02,37,False
2018-09-09,67,False
2018-09-16,30,False
2018-09-23,44,False
2018-09-30,68,False
2018-10-07,46,False
2018-10-14,23,False
2018-10-21,69,False
2018-10-28,37,False
2018-11-04,50,False
2018-11-11,38,False
2018-11-18,29,False
2018-11-25,37,False
2018-12-02,31,False
2018-12-09,23,False
2018-12-16,40,False
2018-12-23,19,False
2018-12-30,37,False
2019-01-06,16,False
2019-01-13,29,False
2019-01-20,44,False
2019-01-27,37,False
2019-02-03,44,False
2019-02-10,30,False
2019-02-17,15,False
2019-02-24,30,False
2019-03-03,46,False
2019-03-10,31,False
2019-03-17,67,False
2019-03-24,46,False
2019-03-31,15,False
2019-04-07,38,False
2019-04-14,31,False
2019-04-21,43,False
2019-04-28,55,False
2019-05-05,53,False
2019-05-12,14,False
2019-05-19,36,False
2019-05-26,21,False
2019-06-02,15,False
2019-06-09,30,False
2019-06-16,30,False
2019-06-23,16,False
2019-06-30,15,False
2019-07-07,0,False
2019-07-14,15,False
2019-07-21,30,False
2019-07-28,15,False
2019-08-04,0,False
2019-08-11,17,False
2019-08-18,53,False
2019-08-25,21,False
2019-09-01,40,False
2019-09-08,34,False
2019-09-15,40,False
2019-09-22,13,False
2019-09-29,76,False
2019-10-06,35,False
2019-10-13,28,False
2019-10-20,62,False
2019-10-27,35,False
2019-11-03,27,False
2019-11-10,27,False
2019-11-17,27,False
2019-11-24,26,False
2019-12-01,28,False
2019-12-08,14,False
2019-12-15,43,False
2019-12-22,17,False
2019-12-29,32,False
2020-01-05,14,False
2020-01-12,19,False
2020-01-19,45,False
2020-01-26,12,False
2020-02-02,13,False
2020-02-09,26,False
2020-02-16,26,False
2020-02-23,71,False
2020-03-01,54,False
2020-03-08,52,False
2020-03-15,88,False
2020-03-22,76,False
2020-03-29,100,False
2020-04-05,53,False
2020-04-12,65,False
2020-04-19,79,False
2020-04-26,68,True
