date,piscine semi enterrée en bois,isPartial
2018-01-07,18,False
2018-01-14,0,False
2018-01-21,45,False
2018-01-28,18,False
2018-02-04,18,False
2018-02-11,27,False
2018-02-18,18,False
2018-02-25,24,False
2018-03-04,0,False
2018-03-11,27,False
2018-03-18,18,False
2018-03-25,37,False
2018-04-01,37,False
2018-04-08,18,False
2018-04-15,39,False
2018-04-22,19,False
2018-04-29,19,False
2018-05-06,52,False
2018-05-13,18,False
2018-05-20,38,False
2018-05-27,30,False
2018-06-03,30,False
2018-06-10,17,False
2018-06-17,28,False
2018-06-24,55,False
2018-07-01,54,False
2018-07-08,47,False
2018-07-15,30,False
2018-07-22,20,False
2018-07-29,60,False
2018-08-05,30,False
2018-08-12,51,False
2018-08-19,33,False
2018-08-26,19,False
2018-09-02,38,False
2018-09-09,37,False
2018-09-16,19,False
2018-09-23,0,False
2018-09-30,0,False
2018-10-07,18,False
2018-10-14,0,False
2018-10-21,19,False
2018-10-28,19,False
2018-11-04,0,False
2018-11-11,0,False
2018-11-18,0,False
2018-11-25,18,False
2018-12-02,18,False
2018-12-09,0,False
2018-12-16,19,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,24,False
2019-01-13,0,False
2019-01-20,26,False
2019-01-27,0,False
2019-02-03,18,False
2019-02-10,0,False
2019-02-17,0,False
2019-02-24,18,False
2019-03-03,36,False
2019-03-10,36,False
2019-03-17,19,False
2019-03-24,19,False
2019-03-31,45,False
2019-04-07,28,False
2019-04-14,19,False
2019-04-21,25,False
2019-04-28,0,False
2019-05-05,18,False
2019-05-12,36,False
2019-05-19,27,False
2019-05-26,54,False
2019-06-02,28,False
2019-06-09,26,False
2019-06-16,18,False
2019-06-23,83,False
2019-06-30,48,False
2019-07-07,18,False
2019-07-14,75,False
2019-07-21,31,False
2019-07-28,19,False
2019-08-04,29,False
2019-08-11,19,False
2019-08-18,0,False
2019-08-25,27,False
2019-09-01,0,False
2019-09-08,17,False
2019-09-15,26,False
2019-09-22,33,False
2019-09-29,17,False
2019-10-06,25,False
2019-10-13,0,False
2019-10-20,17,False
2019-10-27,17,False
2019-11-03,16,False
2019-11-10,0,False
2019-11-17,16,False
2019-11-24,16,False
2019-12-01,16,False
2019-12-08,16,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,0,False
2020-01-05,32,False
2020-01-12,16,False
2020-01-19,16,False
2020-01-26,16,False
2020-02-02,31,False
2020-02-09,32,False
2020-02-16,16,False
2020-02-23,15,False
2020-03-01,31,False
2020-03-08,30,False
2020-03-15,0,False
2020-03-22,28,False
2020-03-29,37,False
2020-04-05,38,False
2020-04-12,53,False
2020-04-19,33,False
2020-04-26,53,False
2020-05-03,45,False
2020-05-10,28,False
2020-05-17,100,True
