date,couronne de fleurs mariage,isPartial
2018-01-07,24,False
2018-01-14,23,False
2018-01-21,47,False
2018-01-28,36,False
2018-02-04,24,False
2018-02-11,48,False
2018-02-18,49,False
2018-02-25,96,False
2018-03-04,72,False
2018-03-11,48,False
2018-03-18,49,False
2018-03-25,86,False
2018-04-01,25,False
2018-04-08,73,False
2018-04-15,66,False
2018-04-22,100,False
2018-04-29,37,False
2018-05-06,51,False
2018-05-13,97,False
2018-05-20,25,False
2018-05-27,24,False
2018-06-03,60,False
2018-06-10,70,False
2018-06-17,37,False
2018-06-24,37,False
2018-07-01,48,False
2018-07-08,49,False
2018-07-15,52,False
2018-07-22,52,False
2018-07-29,53,False
2018-08-05,26,False
2018-08-12,55,False
2018-08-19,66,False
2018-08-26,50,False
2018-09-02,50,False
2018-09-09,0,False
2018-09-16,37,False
2018-09-23,50,False
2018-09-30,0,False
2018-10-07,49,False
2018-10-14,37,False
2018-10-21,51,False
2018-10-28,0,False
2018-11-04,24,False
2018-11-11,24,False
2018-11-18,24,False
2018-11-25,49,False
2018-12-02,48,False
2018-12-09,37,False
2018-12-16,50,False
2018-12-23,0,False
2018-12-30,53,False
2019-01-06,24,False
2019-01-13,24,False
2019-01-20,46,False
2019-01-27,0,False
2019-02-03,23,False
2019-02-10,24,False
2019-02-17,37,False
2019-02-24,37,False
2019-03-03,59,False
2019-03-10,48,False
2019-03-17,25,False
2019-03-24,62,False
2019-03-31,24,False
2019-04-07,49,False
2019-04-14,63,False
2019-04-21,61,False
2019-04-28,24,False
2019-05-05,59,False
2019-05-12,96,False
2019-05-19,24,False
2019-05-26,73,False
2019-06-02,34,False
2019-06-09,23,False
2019-06-16,72,False
2019-06-23,24,False
2019-06-30,36,False
2019-07-07,24,False
2019-07-14,24,False
2019-07-21,75,False
2019-07-28,77,False
2019-08-04,26,False
2019-08-11,26,False
2019-08-18,63,False
2019-08-25,24,False
2019-09-01,0,False
2019-09-08,23,False
2019-09-15,92,False
2019-09-22,22,False
2019-09-29,22,False
2019-10-06,22,False
2019-10-13,0,False
2019-10-20,45,False
2019-10-27,22,False
2019-11-03,22,False
2019-11-10,22,False
2019-11-17,0,False
2019-11-24,21,False
2019-12-01,0,False
2019-12-08,21,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,23,False
2020-01-05,21,False
2020-01-12,21,False
2020-01-19,53,False
2020-01-26,42,False
2020-02-02,32,False
2020-02-09,83,False
2020-02-16,64,False
2020-02-23,20,False
2020-03-01,40,False
2020-03-08,60,False
2020-03-15,29,False
2020-03-22,18,False
2020-03-29,18,False
2020-04-05,19,False
2020-04-12,89,True
